Date,Open,High,Low,Close,Volume
2021-01-04,53.0,54.0,51.0,51.0,29522000
2021-01-05,51.0,52.0,50.0,51.0,63023400
2021-01-06,51.0,61.0,50.0,59.0,265614100
2021-01-07,60.0,62.0,55.0,55.0,115808000
2021-01-08,55.0,56.0,52.0,53.0,31320100
2021-01-11,52.0,54.0,51.0,53.0,25111000
2021-01-12,53.0,53.0,51.0,52.0,22180500
2021-01-13,52.0,53.0,51.0,53.0,25203700
2021-01-14,53.0,54.0,52.0,53.0,18207000
2021-01-15,53.0,64.0,53.0,62.0,314662800
2021-01-18,62.0,63.0,58.0,58.0,41804700
2021-01-19,58.0,58.0,54.0,54.0,21550300
2021-01-20,54.0,56.0,51.0,54.0,34382700
2021-01-21,54.0,54.0,52.0,53.0,12496000
2021-01-22,53.0,54.0,51.0,51.0,22469900
2021-01-25,51.0,55.0,50.0,51.0,32969100
2021-01-26,52.0,54.0,51.0,52.0,49011400
2021-01-27,53.0,53.0,51.0,51.0,25742000
2021-01-28,51.0,52.0,50.0,51.0,16378500
2021-01-29,51.0,53.0,51.0,52.0,39943700
2021-02-01,52.0,58.0,51.0,56.0,40272100
2021-02-02,56.0,57.0,53.0,53.0,11185300
2021-02-03,53.0,53.0,51.0,52.0,7531800
2021-02-04,51.0,53.0,51.0,51.0,6661000
2021-02-05,51.0,53.0,51.0,52.0,5880100
2021-02-08,52.0,53.0,51.0,52.0,5831700
2021-02-09,52.0,53.0,51.0,51.0,6048000
2021-02-10,51.0,53.0,51.0,52.0,5641000
2021-02-11,52.0,53.0,51.0,52.0,9085600
2021-02-15,52.0,52.0,51.0,52.0,5562100
2021-02-16,51.0,52.0,51.0,51.0,13616300
2021-02-17,51.0,52.0,50.0,51.0,8214800
2021-02-18,51.0,52.0,50.0,51.0,6588100
2021-02-19,51.0,52.0,50.0,51.0,5831900
2021-02-22,51.0,51.0,50.0,51.0,18312600
2021-02-23,51.0,51.0,50.0,50.0,5135600
