Date,Open,High,Low,Close,Volume
2021-01-04,55.0,62.0,52.0,55.0,23293700
2021-01-05,55.0,67.0,55.0,63.0,39888500
2021-01-06,64.0,65.0,59.0,60.0,19846000
2021-01-07,60.0,61.0,59.0,60.0,9829400
2021-01-08,61.0,61.0,58.0,59.0,12970800
2021-01-11,60.0,66.0,59.0,61.0,17225500
2021-01-12,60.0,63.0,57.0,59.0,8054700
2021-01-13,59.0,60.0,55.0,55.0,17215900
2021-01-14,55.0,56.0,52.0,53.0,19734300
2021-01-15,53.0,53.0,51.0,53.0,13650300
2021-01-18,53.0,53.0,50.0,50.0,31892400
2021-01-19,50.0,59.0,50.0,53.0,40260600
2021-01-20,53.0,54.0,50.0,51.0,43476900
2021-01-21,51.0,52.0,50.0,51.0,7843400
2021-01-22,51.0,51.0,50.0,50.0,12957900
2021-01-25,50.0,51.0,50.0,50.0,3728800
2021-01-26,50.0,51.0,50.0,50.0,2310000
2021-01-27,50.0,50.0,50.0,50.0,62000
2021-01-28,50.0,50.0,50.0,50.0,212300
2021-01-29,50.0,50.0,50.0,50.0,78100
2021-02-01,50.0,50.0,50.0,50.0,957200
2021-02-02,50.0,50.0,50.0,50.0,208700
2021-02-03,50.0,50.0,50.0,50.0,3349200
2021-02-04,50.0,50.0,50.0,50.0,61400
2021-02-05,50.0,50.0,50.0,50.0,108600
2021-02-08,50.0,50.0,50.0,50.0,779300
2021-02-09,50.0,50.0,50.0,50.0,92900
2021-02-10,50.0,50.0,50.0,50.0,12500
2021-02-11,50.0,50.0,50.0,50.0,90500
2021-02-15,50.0,50.0,50.0,50.0,23400
2021-02-16,50.0,50.0,50.0,50.0,69900
2021-02-17,50.0,50.0,50.0,50.0,26700
2021-02-18,50.0,50.0,50.0,50.0,62200
2021-02-19,50.0,50.0,50.0,50.0,40800
2021-02-22,50.0,50.0,50.0,50.0,234400
2021-02-23,50.0,50.0,50.0,50.0,43800
2021-02-24,50.0,50.0,50.0,50.0,321500
2021-02-25,50.0,50.0,50.0,50.0,136300
2021-02-26,50.0,50.0,50.0,50.0,44200
2021-03-01,50.0,50.0,50.0,50.0,27000
2021-03-02,50.0,50.0,50.0,50.0,18700
2021-03-03,50.0,54.0,50.0,50.0,27916300
2021-03-04,50.0,51.0,50.0,50.0,4989200
2021-03-05,50.0,50.0,50.0,50.0,1195800
2021-03-08,50.0,50.0,50.0,50.0,527500
2021-03-09,50.0,50.0,50.0,50.0,96100
2021-03-10,50.0,50.0,50.0,50.0,195300
2021-03-12,50.0,50.0,50.0,50.0,85600
2021-03-15,50.0,50.0,50.0,50.0,384400
2021-03-16,50.0,51.0,50.0,50.0,7101400
2021-03-17,50.0,54.0,50.0,52.0,26350400
2021-03-18,52.0,54.0,50.0,51.0,32157000
2021-03-19,51.0,51.0,50.0,51.0,5300700
2021-03-22,51.0,51.0,50.0,50.0,3387100
2021-03-23,50.0,50.0,50.0,50.0,566900
2021-03-24,50.0,50.0,50.0,50.0,1127300
2021-03-25,50.0,50.0,50.0,50.0,3657500
2021-03-26,50.0,50.0,50.0,50.0,365300
2021-03-29,50.0,51.0,50.0,50.0,1753200
2021-03-30,50.0,51.0,50.0,51.0,4741700
2021-03-31,51.0,51.0,50.0,50.0,2517600
2021-04-01,50.0,50.0,50.0,50.0,323600
2021-04-05,50.0,50.0,50.0,50.0,21700
2021-04-06,50.0,50.0,50.0,50.0,64700
2021-04-07,50.0,50.0,50.0,50.0,274600
2021-04-08,50.0,50.0,50.0,50.0,179100
2021-04-09,50.0,51.0,50.0,50.0,23824800
2021-04-12,50.0,50.0,50.0,50.0,3621500
2021-04-13,50.0,50.0,50.0,50.0,126900
2021-04-14,50.0,50.0,50.0,50.0,57200
2021-04-15,50.0,50.0,50.0,50.0,246900
2021-04-16,50.0,50.0,50.0,50.0,66600
2021-04-19,50.0,51.0,50.0,50.0,6972000
2021-04-20,50.0,54.0,50.0,50.0,56515700
2021-04-21,50.0,50.0,50.0,50.0,658800
2021-04-22,50.0,50.0,50.0,50.0,362600
2021-04-23,50.0,50.0,50.0,50.0,282000
2021-04-26,50.0,50.0,50.0,50.0,56400
2021-04-27,50.0,50.0,50.0,50.0,51400
2021-04-28,50.0,50.0,50.0,50.0,142500
2021-04-29,50.0,50.0,50.0,50.0,48000
2021-04-30,50.0,50.0,50.0,50.0,58900
2021-05-03,50.0,50.0,50.0,50.0,58300
2021-05-04,50.0,50.0,50.0,50.0,157700
2021-05-05,50.0,50.0,50.0,50.0,244600
2021-05-06,50.0,50.0,50.0,50.0,246500
2021-05-07,50.0,50.0,50.0,50.0,168500
2021-05-10,50.0,50.0,50.0,50.0,121100
2021-05-11,50.0,50.0,50.0,50.0,131700
2021-05-17,50.0,50.0,50.0,50.0,11700
2021-05-18,50.0,50.0,50.0,50.0,512300
2021-05-19,50.0,50.0,50.0,50.0,7800
2021-05-20,50.0,50.0,50.0,50.0,1700
2021-05-21,50.0,50.0,50.0,50.0,15000
2021-05-24,50.0,50.0,50.0,50.0,2200
2021-05-25,50.0,50.0,50.0,50.0,92400
2021-05-27,50.0,50.0,50.0,50.0,698500
2021-05-28,50.0,50.0,50.0,50.0,25500
2021-05-31,50.0,50.0,50.0,50.0,28000
2021-06-02,50.0,50.0,50.0,50.0,15900
2021-06-03,50.0,50.0,50.0,50.0,38200
2021-06-04,50.0,50.0,50.0,50.0,4300
2021-06-07,50.0,50.0,50.0,50.0,9800
2021-06-08,50.0,50.0,50.0,50.0,5000
2021-06-09,50.0,50.0,50.0,50.0,4900
2021-06-10,50.0,50.0,50.0,50.0,46600
2021-06-11,50.0,50.0,50.0,50.0,8600
2021-06-14,50.0,50.0,50.0,50.0,27400
2021-06-15,50.0,50.0,50.0,50.0,7500
2021-06-16,50.0,50.0,50.0,50.0,9900
2021-06-17,50.0,50.0,50.0,50.0,16400
2021-06-18,50.0,50.0,50.0,50.0,48800
2021-06-21,50.0,50.0,50.0,50.0,101300
2021-06-22,50.0,50.0,50.0,50.0,189400
2021-06-23,50.0,50.0,50.0,50.0,22000
2021-06-24,50.0,50.0,50.0,50.0,125800
2021-06-25,50.0,50.0,50.0,50.0,6600
2021-06-28,50.0,50.0,50.0,50.0,108600
2021-06-29,50.0,50.0,50.0,50.0,124700
2021-06-30,50.0,50.0,50.0,50.0,3200
2021-07-01,50.0,50.0,50.0,50.0,11600
2021-07-02,50.0,50.0,50.0,50.0,1100
2021-07-05,50.0,50.0,50.0,50.0,235300
2021-07-06,50.0,50.0,50.0,50.0,14300
2021-07-07,50.0,50.0,50.0,50.0,1100
2021-07-08,50.0,50.0,50.0,50.0,18800
2021-07-09,50.0,50.0,50.0,50.0,45500
2021-07-12,50.0,50.0,50.0,50.0,6800
2021-07-13,50.0,50.0,50.0,50.0,5800
2021-07-14,50.0,50.0,50.0,50.0,4800
2021-07-15,50.0,50.0,50.0,50.0,4403100
2021-07-16,50.0,50.0,50.0,50.0,7631300
2021-07-19,50.0,51.0,50.0,50.0,14896300
2021-07-21,50.0,51.0,50.0,50.0,10038000
2021-07-22,50.0,51.0,50.0,50.0,9899100
2021-07-23,50.0,50.0,50.0,50.0,8567800
2021-07-26,50.0,50.0,50.0,50.0,1510700
2021-07-27,50.0,50.0,50.0,50.0,219900
2021-07-28,50.0,50.0,50.0,50.0,6094600
2021-07-29,50.0,50.0,50.0,50.0,8560800
2021-07-30,50.0,50.0,50.0,50.0,7439900
2021-08-02,50.0,50.0,50.0,50.0,9263400
2021-08-03,50.0,50.0,50.0,50.0,5530000
2021-08-04,50.0,50.0,50.0,50.0,7535600
2021-08-05,50.0,50.0,50.0,50.0,6316700
2021-08-06,50.0,50.0,50.0,50.0,5617300
2021-08-09,50.0,50.0,50.0,50.0,12337200
2021-08-10,50.0,50.0,50.0,50.0,9287000
2021-08-12,50.0,50.0,50.0,50.0,10340300
2021-08-13,50.0,50.0,50.0,50.0,12575900
2021-08-16,50.0,50.0,50.0,50.0,12421500
2021-08-18,50.0,50.0,50.0,50.0,8038200
2021-08-19,50.0,50.0,50.0,50.0,11777800
2021-08-20,50.0,50.0,50.0,50.0,9740800
2021-08-23,50.0,50.0,50.0,50.0,8167800
2021-08-24,50.0,50.0,50.0,50.0,329300
2021-08-25,50.0,50.0,50.0,50.0,101200
2021-08-26,50.0,50.0,50.0,50.0,3034700
2021-08-27,50.0,50.0,50.0,50.0,144200
2021-08-30,50.0,50.0,50.0,50.0,118500
2021-08-31,50.0,50.0,50.0,50.0,23200
2021-09-01,50.0,50.0,50.0,50.0,11700
2021-09-02,50.0,50.0,50.0,50.0,50500
2021-09-03,50.0,50.0,50.0,50.0,117400
2021-09-06,50.0,50.0,50.0,50.0,312000
2021-09-07,50.0,50.0,50.0,50.0,152000
2021-09-08,50.0,50.0,50.0,50.0,58200
2021-09-09,50.0,50.0,50.0,50.0,57800
2021-09-10,50.0,50.0,50.0,50.0,549600
2021-09-13,50.0,50.0,50.0,50.0,713600
2021-09-14,50.0,51.0,50.0,50.0,3982500
2021-09-15,50.0,67.0,50.0,67.0,276759300
2021-09-16,70.0,90.0,67.0,74.0,936540200
2021-09-17,76.0,87.0,70.0,71.0,347022400
2021-09-20,71.0,81.0,70.0,75.0,100309200
2021-09-21,76.0,101.0,73.0,101.0,730125500
2021-09-22,105.0,126.0,101.0,113.0,752351100
2021-09-23,117.0,124.0,112.0,117.0,349187700
2021-09-24,117.0,118.0,109.0,109.0,89398800
2021-09-27,102.0,109.0,102.0,102.0,18640100
2021-09-28,95.0,104.0,95.0,95.0,136286400
