Date,Open,High,Low,Close,Volume
2021-01-04,50.0,50.0,50.0,50.0,1500000
2021-01-05,50.0,50.0,50.0,50.0,500
2021-01-06,50.0,50.0,50.0,50.0,350500
2021-01-07,50.0,50.0,50.0,50.0,9800
2021-01-08,50.0,50.0,50.0,50.0,10200
2021-01-11,50.0,50.0,50.0,50.0,14700
2021-01-12,50.0,50.0,50.0,50.0,12900
2021-01-13,50.0,50.0,50.0,50.0,200700
2021-01-14,50.0,50.0,50.0,50.0,20600
2021-01-15,50.0,50.0,50.0,50.0,43100
2021-01-18,50.0,50.0,50.0,50.0,20100
2021-01-19,50.0,50.0,50.0,50.0,130500
2021-01-20,50.0,50.0,50.0,50.0,5200
2021-01-21,50.0,50.0,50.0,50.0,0
2021-01-22,50.0,50.0,50.0,50.0,600
2021-01-25,50.0,50.0,50.0,50.0,1200
2021-01-26,50.0,50.0,50.0,50.0,0
2021-01-27,50.0,50.0,50.0,50.0,300
2021-01-28,50.0,50.0,50.0,50.0,200
2021-01-29,50.0,50.0,50.0,50.0,300
2021-02-01,50.0,50.0,50.0,50.0,5200
2021-02-02,50.0,50.0,50.0,50.0,100
2021-02-03,50.0,50.0,50.0,50.0,5200
2021-02-04,50.0,50.0,50.0,50.0,400
2021-02-05,50.0,50.0,50.0,50.0,100
2021-02-08,50.0,50.0,50.0,50.0,12900
2021-02-09,50.0,50.0,50.0,50.0,600
2021-02-10,50.0,50.0,50.0,50.0,100
2021-02-11,50.0,50.0,50.0,50.0,300
2021-02-15,50.0,50.0,50.0,50.0,20100
2021-02-16,50.0,50.0,50.0,50.0,300
2021-02-17,50.0,59.0,50.0,50.0,3157900
2021-02-18,50.0,50.0,50.0,50.0,89300
2021-02-19,50.0,50.0,50.0,50.0,13000
2021-02-22,50.0,50.0,50.0,50.0,5100
2021-02-23,50.0,50.0,50.0,50.0,10400
2021-02-24,50.0,50.0,50.0,50.0,2600
2021-02-25,50.0,50.0,50.0,50.0,69100
2021-02-26,50.0,50.0,50.0,50.0,200
2021-03-01,50.0,50.0,50.0,50.0,52200
2021-03-02,50.0,50.0,50.0,50.0,140700
2021-03-03,50.0,50.0,50.0,50.0,951700
2021-03-04,50.0,50.0,50.0,50.0,140700
2021-03-05,50.0,51.0,50.0,51.0,1028700
2021-03-08,50.0,51.0,50.0,50.0,2639300
2021-03-09,50.0,50.0,50.0,50.0,369300
2021-03-10,50.0,50.0,50.0,50.0,31500
2021-03-12,50.0,50.0,50.0,50.0,121600
2021-03-15,50.0,50.0,50.0,50.0,54500
2021-03-16,50.0,50.0,50.0,50.0,5200
2021-03-17,50.0,50.0,50.0,50.0,100
2021-03-18,50.0,50.0,50.0,50.0,34100
2021-03-19,50.0,50.0,50.0,50.0,84600
2021-03-22,50.0,51.0,50.0,50.0,2332600
2021-03-23,50.0,51.0,50.0,50.0,5505800
2021-03-24,50.0,50.0,50.0,50.0,506000
2021-03-25,50.0,50.0,50.0,50.0,2000
2021-03-26,50.0,52.0,50.0,50.0,15701500
2021-03-29,50.0,51.0,50.0,50.0,4046100
2021-03-30,50.0,51.0,50.0,50.0,998700
2021-03-31,50.0,50.0,50.0,50.0,22300
2021-04-01,50.0,50.0,50.0,50.0,6800
2021-04-05,50.0,50.0,50.0,50.0,21700
2021-04-06,50.0,50.0,50.0,50.0,400
2021-04-07,50.0,50.0,50.0,50.0,137700
2021-04-08,50.0,50.0,50.0,50.0,24200
2021-04-09,50.0,50.0,50.0,50.0,90500
2021-04-12,50.0,50.0,50.0,50.0,9900
2021-04-13,50.0,50.0,50.0,50.0,17000
2021-04-14,50.0,50.0,50.0,50.0,6100
2021-04-15,50.0,50.0,50.0,50.0,263800
2021-04-16,50.0,50.0,50.0,50.0,122200
2021-04-19,50.0,50.0,50.0,50.0,652900
2021-04-20,50.0,50.0,50.0,50.0,20700
2021-04-21,50.0,50.0,50.0,50.0,200900
2021-04-22,50.0,50.0,50.0,50.0,9400
2021-04-23,50.0,50.0,50.0,50.0,1300
2021-04-26,50.0,50.0,50.0,50.0,105900
2021-04-27,50.0,50.0,50.0,50.0,6400
2021-04-28,50.0,50.0,50.0,50.0,17900
2021-04-29,50.0,50.0,50.0,50.0,600
2021-04-30,50.0,50.0,50.0,50.0,7300
2021-05-03,50.0,50.0,50.0,50.0,32400
2021-05-04,50.0,50.0,50.0,50.0,36900
2021-05-05,50.0,50.0,50.0,50.0,49400
2021-05-06,50.0,50.0,50.0,50.0,39300
2021-05-07,50.0,50.0,50.0,50.0,1300
2021-05-10,50.0,50.0,50.0,50.0,1400
2021-05-11,50.0,50.0,50.0,50.0,54300
2021-05-17,50.0,50.0,50.0,50.0,2600
2021-05-18,50.0,50.0,50.0,50.0,500
2021-05-19,50.0,50.0,50.0,50.0,2900
2021-05-20,50.0,50.0,50.0,50.0,1500
2021-05-21,50.0,50.0,50.0,50.0,1900
2021-05-24,50.0,50.0,50.0,50.0,400
2021-05-25,50.0,50.0,50.0,50.0,15000
2021-05-27,50.0,50.0,50.0,50.0,0
2021-05-28,50.0,50.0,50.0,50.0,6600
2021-05-31,50.0,50.0,50.0,50.0,4100
2021-06-02,50.0,50.0,50.0,50.0,3700
2021-06-03,50.0,50.0,50.0,50.0,64100
2021-06-04,50.0,50.0,50.0,50.0,1000
2021-06-07,50.0,50.0,50.0,50.0,24200
2021-06-08,50.0,50.0,50.0,50.0,800
2021-06-09,50.0,50.0,50.0,50.0,2100
2021-06-10,50.0,50.0,50.0,50.0,400
2021-06-11,50.0,50.0,50.0,50.0,700
2021-06-14,50.0,50.0,50.0,50.0,800
2021-06-15,50.0,50.0,50.0,50.0,1400
2021-06-16,50.0,50.0,50.0,50.0,0
2021-06-17,50.0,50.0,50.0,50.0,2500
2021-06-18,50.0,50.0,50.0,50.0,1200
2021-06-21,50.0,50.0,50.0,50.0,4200
2021-06-22,50.0,50.0,50.0,50.0,105200
2021-06-23,50.0,50.0,50.0,50.0,400
2021-06-24,50.0,50.0,50.0,50.0,0
2021-06-25,50.0,50.0,50.0,50.0,13700
2021-06-28,50.0,50.0,50.0,50.0,300
2021-06-29,50.0,50.0,50.0,50.0,8300
2021-06-30,50.0,50.0,50.0,50.0,800
2021-07-01,50.0,50.0,50.0,50.0,200
2021-07-02,50.0,50.0,50.0,50.0,2100
2021-07-05,50.0,50.0,50.0,50.0,1200
2021-07-06,50.0,50.0,50.0,50.0,14600
2021-07-07,50.0,50.0,50.0,50.0,33500
2021-07-08,50.0,50.0,50.0,50.0,27300
2021-07-09,50.0,50.0,50.0,50.0,1100
2021-07-12,50.0,50.0,50.0,50.0,27200
2021-07-13,50.0,50.0,50.0,50.0,3000
2021-07-14,50.0,50.0,50.0,50.0,0
2021-07-15,50.0,50.0,50.0,50.0,18600
2021-07-16,50.0,50.0,50.0,50.0,6600
2021-07-19,50.0,50.0,50.0,50.0,600
2021-07-21,50.0,50.0,50.0,50.0,6200
2021-07-22,50.0,50.0,50.0,50.0,17100
2021-07-23,50.0,50.0,50.0,50.0,2000
2021-07-26,50.0,50.0,50.0,50.0,2100
2021-07-27,50.0,50.0,50.0,50.0,1600
2021-07-28,50.0,50.0,50.0,50.0,501200
2021-07-29,50.0,50.0,50.0,50.0,3000
2021-07-30,50.0,50.0,50.0,50.0,6500
2021-08-02,50.0,50.0,50.0,50.0,300
2021-08-03,50.0,50.0,50.0,50.0,200
2021-08-04,50.0,50.0,50.0,50.0,3200
2021-08-05,50.0,50.0,50.0,50.0,9800
2021-08-06,50.0,50.0,50.0,50.0,7000
2021-08-09,50.0,50.0,50.0,50.0,2800
2021-08-10,50.0,50.0,50.0,50.0,66500
