Date,Open,High,Low,Close,Volume
2021-01-04,50.0,50.0,50.0,50.0,300
2021-01-05,50.0,50.0,50.0,50.0,100
2021-01-06,50.0,50.0,50.0,50.0,0
2021-01-07,50.0,50.0,50.0,50.0,400
2021-01-08,50.0,50.0,50.0,50.0,20100
2021-01-11,50.0,50.0,50.0,50.0,3000
2021-01-12,50.0,50.0,50.0,50.0,100
2021-01-13,50.0,50.0,50.0,50.0,0
2021-01-14,50.0,50.0,50.0,50.0,8100
2021-01-15,50.0,50.0,50.0,50.0,2800
2021-01-18,50.0,50.0,50.0,50.0,10400
2021-01-19,50.0,50.0,50.0,50.0,10100
2021-01-20,50.0,50.0,50.0,50.0,2800
2021-01-21,50.0,50.0,50.0,50.0,0
2021-01-22,50.0,50.0,50.0,50.0,500
2021-01-25,50.0,50.0,50.0,50.0,1300
2021-01-26,50.0,50.0,50.0,50.0,1400
2021-01-27,50.0,50.0,50.0,50.0,100
2021-01-28,50.0,50.0,50.0,50.0,11300
2021-01-29,50.0,50.0,50.0,50.0,0
2021-02-01,50.0,50.0,50.0,50.0,300
2021-02-02,50.0,50.0,50.0,50.0,200
2021-02-03,50.0,50.0,50.0,50.0,0
2021-02-04,50.0,50.0,50.0,50.0,200
2021-02-05,50.0,50.0,50.0,50.0,4100
2021-02-08,50.0,50.0,50.0,50.0,20500
2021-02-09,50.0,50.0,50.0,50.0,100
2021-02-10,50.0,50.0,50.0,50.0,200
2021-02-11,50.0,50.0,50.0,50.0,200
2021-02-15,50.0,50.0,50.0,50.0,7100
2021-02-16,50.0,50.0,50.0,50.0,100
2021-02-17,50.0,50.0,50.0,50.0,800
2021-02-18,50.0,50.0,50.0,50.0,0
2021-02-19,50.0,50.0,50.0,50.0,20100
2021-02-22,50.0,50.0,50.0,50.0,0
2021-02-23,50.0,50.0,50.0,50.0,0
2021-02-24,50.0,67.0,50.0,50.0,5087900
2021-02-25,50.0,50.0,50.0,50.0,81100
2021-02-26,50.0,50.0,50.0,50.0,5700
2021-03-01,50.0,50.0,50.0,50.0,1500
2021-03-02,50.0,50.0,50.0,50.0,20500
2021-03-03,50.0,50.0,50.0,50.0,200
2021-03-04,50.0,50.0,50.0,50.0,1000
2021-03-05,50.0,50.0,50.0,50.0,1600
2021-03-08,50.0,50.0,50.0,50.0,1000
2021-03-09,50.0,50.0,50.0,50.0,12300
2021-03-10,50.0,50.0,50.0,50.0,600
2021-03-12,50.0,50.0,50.0,50.0,24200
2021-03-15,50.0,50.0,50.0,50.0,16400
2021-03-16,50.0,50.0,50.0,50.0,9400
2021-03-17,50.0,50.0,50.0,50.0,2300
2021-03-18,50.0,50.0,50.0,50.0,4600
2021-03-19,50.0,50.0,50.0,50.0,2100
2021-03-22,50.0,50.0,50.0,50.0,23300
2021-03-23,50.0,50.0,50.0,50.0,29300
2021-03-24,50.0,50.0,50.0,50.0,600
2021-03-25,50.0,50.0,50.0,50.0,147300
2021-03-26,50.0,50.0,50.0,50.0,60700
2021-03-29,50.0,50.0,50.0,50.0,64800
2021-03-30,50.0,50.0,50.0,50.0,10600
2021-03-31,50.0,50.0,50.0,50.0,33700
2021-04-01,50.0,50.0,50.0,50.0,2600
2021-04-05,50.0,50.0,50.0,50.0,2200
2021-04-06,50.0,50.0,50.0,50.0,1300
2021-04-07,50.0,50.0,50.0,50.0,3500
2021-04-08,50.0,50.0,50.0,50.0,13200
2021-04-09,50.0,50.0,50.0,50.0,1400
2021-04-12,50.0,50.0,50.0,50.0,4200
2021-04-13,50.0,50.0,50.0,50.0,18000
2021-04-14,50.0,50.0,50.0,50.0,3300
2021-04-15,50.0,67.0,50.0,53.0,7721500
2021-04-16,54.0,71.0,53.0,71.0,24623500
2021-04-19,72.0,89.0,67.0,67.0,17870100
2021-04-20,63.0,68.0,63.0,63.0,527700
2021-04-21,60.0,61.0,59.0,59.0,1419000
2021-04-22,56.0,79.0,55.0,79.0,17230500
2021-04-23,86.0,104.0,76.0,80.0,89530600
2021-04-26,80.0,93.0,75.0,82.0,48268000
2021-04-27,84.0,92.0,79.0,85.0,54181300
2021-04-28,89.0,89.0,80.0,81.0,24394400
