Date,Open,High,Low,Close,Volume
2025-07-10,312.0,312.0,312.0,312.0,727800
2025-07-11,390.0,390.0,390.0,390.0,2036000
2025-07-14,486.0,486.0,486.0,486.0,26228500
2025-07-15,605.0,605.0,515.0,605.0,81518000
2025-07-16,700.0,755.0,695.0,755.0,65058000
2025-07-17,855.0,930.0,770.0,805.0,260580500
2025-07-18,825.0,835.0,700.0,720.0,89447300
2025-07-21,710.0,710.0,615.0,615.0,127074500
2025-07-22,615.0,675.0,540.0,595.0,150513500
2025-07-23,595.0,610.0,545.0,555.0,33940100
2025-07-24,535.0,605.0,520.0,545.0,43551600
2025-07-25,545.0,580.0,545.0,550.0,13504200
2025-07-28,555.0,570.0,545.0,550.0,9479800
2025-07-29,550.0,555.0,510.0,520.0,16664700
2025-07-30,525.0,525.0,488.0,488.0,24243400
2025-07-31,488.0,492.0,450.0,456.0,27002900
2025-08-01,466.0,510.0,466.0,492.0,37642700
2025-08-04,492.0,520.0,482.0,490.0,16802100
2025-08-05,492.0,500.0,484.0,488.0,6782500
2025-08-06,490.0,498.0,482.0,484.0,8033600
2025-08-07,490.0,494.0,480.0,482.0,6800700
2025-08-08,482.0,486.0,476.0,478.0,5231600
2025-08-11,478.0,530.0,476.0,505.0,26760000
2025-08-12,510.0,530.0,505.0,510.0,11241000
2025-08-13,510.0,510.0,496.0,500.0,4688300
2025-08-14,505.0,510.0,496.0,500.0,2764900
2025-08-15,505.0,510.0,500.0,500.0,2605200
2025-08-19,505.0,510.0,498.0,505.0,3221800
2025-08-20,500.0,515.0,500.0,505.0,3596100
2025-08-21,505.0,515.0,500.0,510.0,3149900
2025-08-22,510.0,520.0,510.0,515.0,4053100
2025-08-25,515.0,640.0,515.0,615.0,136819900
2025-08-26,615.0,620.0,540.0,555.0,49457200
2025-08-27,560.0,580.0,545.0,560.0,19331400
2025-08-28,590.0,600.0,555.0,565.0,33226900
2025-08-29,555.0,555.0,496.0,535.0,22751100
2025-09-01,500.0,545.0,500.0,535.0,9840800
2025-09-02,545.0,560.0,530.0,550.0,6462300
2025-09-03,565.0,575.0,545.0,555.0,8029200
2025-09-04,555.0,610.0,550.0,570.0,23285900
2025-09-08,585.0,640.0,570.0,585.0,50394000
2025-09-09,590.0,670.0,585.0,595.0,39880200
2025-09-10,610.0,610.0,565.0,565.0,8108400
2025-09-11,565.0,580.0,550.0,560.0,7000400
2025-09-12,560.0,575.0,545.0,555.0,6711000
2025-09-15,575.0,575.0,550.0,565.0,6587900
2025-09-16,570.0,570.0,550.0,550.0,4589300
2025-09-17,545.0,545.0,515.0,525.0,9836500
2025-09-18,535.0,535.0,510.0,520.0,6278600
2025-09-19,525.0,530.0,515.0,515.0,2068700
2025-09-22,515.0,535.0,510.0,535.0,3387200
2025-09-23,535.0,535.0,520.0,530.0,2937300
2025-09-24,530.0,535.0,510.0,520.0,2988600
2025-09-25,515.0,520.0,505.0,505.0,4017200
2025-09-26,505.0,515.0,500.0,505.0,2204500
2025-09-29,505.0,515.0,500.0,515.0,2853500
2025-09-30,520.0,530.0,505.0,515.0,4031200
2025-10-01,520.0,530.0,515.0,520.0,2645200
2025-10-02,520.0,520.0,505.0,515.0,3084500
2025-10-03,525.0,570.0,510.0,530.0,19745100
2025-10-06,530.0,535.0,510.0,520.0,6049500
2025-10-07,520.0,525.0,515.0,515.0,3639700
2025-10-08,515.0,520.0,505.0,515.0,3601700
2025-10-09,515.0,520.0,510.0,515.0,2715300
2025-10-10,520.0,525.0,510.0,520.0,1696000
2025-10-13,515.0,520.0,510.0,515.0,3000600
2025-10-14,520.0,525.0,498.0,505.0,7778700
2025-10-15,510.0,510.0,498.0,500.0,5266700
2025-10-16,500.0,510.0,500.0,505.0,1597000
2025-10-17,510.0,515.0,484.0,488.0,3913200
2025-10-20,488.0,525.0,488.0,505.0,6055700
2025-10-21,505.0,515.0,498.0,510.0,8061000
2025-10-22,510.0,510.0,498.0,505.0,3029500
2025-10-23,500.0,510.0,498.0,505.0,3958400
2025-10-24,510.0,510.0,500.0,500.0,1118500
2025-10-27,500.0,505.0,490.0,505.0,2589400
2025-10-28,505.0,505.0,494.0,500.0,1711200
2025-10-29,505.0,510.0,500.0,500.0,2267100
2025-10-30,500.0,510.0,500.0,500.0,905000
2025-10-31,500.0,510.0,500.0,505.0,1575200
2025-11-03,510.0,510.0,500.0,505.0,885700
