Date,Open,High,Low,Close,Volume
2021-01-04,2990.0,2990.0,2990.0,2990.0,400
2021-01-05,2990.0,2990.0,2990.0,2990.0,0
2021-01-06,2990.0,2990.0,2990.0,2990.0,300
2021-01-07,2990.0,2990.0,2990.0,2990.0,0
2021-01-08,2990.0,2990.0,2990.0,2990.0,300
2021-01-11,2990.0,2990.0,2990.0,2990.0,0
2021-01-12,2990.0,2990.0,2990.0,2990.0,0
2021-01-13,2990.0,2990.0,2990.0,2990.0,0
2021-01-14,2990.0,2990.0,2990.0,2990.0,100
2021-01-15,2990.0,2990.0,2990.0,2990.0,0
2021-01-18,2990.0,2990.0,2990.0,2990.0,0
2021-01-19,2990.0,2990.0,2990.0,2990.0,0
2021-01-20,2990.0,2990.0,2990.0,2990.0,0
2021-01-21,2990.0,2990.0,2990.0,2990.0,0
2021-01-22,2990.0,2990.0,2990.0,2990.0,0
2021-01-25,2990.0,2990.0,2990.0,2990.0,0
2021-01-26,2990.0,2990.0,2990.0,2990.0,0
2021-01-27,2990.0,2990.0,2990.0,2990.0,0
2021-01-28,2990.0,2990.0,2990.0,2990.0,0
2021-01-29,2990.0,2990.0,2990.0,2990.0,0
2021-02-01,3000.0,3000.0,3000.0,3000.0,1300
2021-02-02,3000.0,3000.0,3000.0,3000.0,0
2021-02-03,3000.0,3000.0,3000.0,3000.0,0
2021-02-04,3000.0,3000.0,3000.0,3000.0,0
2021-02-05,3000.0,3000.0,3000.0,3000.0,0
2021-02-08,3000.0,3000.0,3000.0,3000.0,200
2021-02-09,3000.0,3000.0,3000.0,3000.0,0
2021-02-10,3000.0,3000.0,3000.0,3000.0,0
2021-02-11,3000.0,3000.0,3000.0,3000.0,0
2021-02-15,3000.0,3000.0,3000.0,3000.0,0
2021-02-16,3000.0,3000.0,2790.0,2790.0,300
2021-02-17,2790.0,2790.0,2600.0,2600.0,400
2021-02-18,2600.0,2600.0,2600.0,2600.0,0
2021-02-19,2600.0,2600.0,2600.0,2600.0,0
2021-02-22,2600.0,2600.0,2600.0,2600.0,0
2021-02-23,2600.0,2600.0,2600.0,2600.0,0
2021-02-24,2600.0,2600.0,2600.0,2600.0,0
2021-02-25,2600.0,2600.0,2600.0,2600.0,0
2021-02-26,2600.0,2600.0,2600.0,2600.0,0
2021-03-01,2600.0,2600.0,2600.0,2600.0,200
2021-03-02,2600.0,2600.0,2600.0,2600.0,300
2021-03-03,2600.0,2600.0,2600.0,2600.0,0
2021-03-04,2600.0,2600.0,2600.0,2600.0,0
2021-03-05,2600.0,2600.0,2600.0,2600.0,0
2021-03-08,2500.0,2500.0,2500.0,2500.0,400
2021-03-09,2500.0,2500.0,2500.0,2500.0,300
2021-03-10,2500.0,2500.0,2500.0,2500.0,0
2021-03-12,2500.0,2500.0,2500.0,2500.0,0
2021-03-15,2500.0,2550.0,2500.0,2500.0,2800
2021-03-16,2500.0,3100.0,2360.0,2960.0,5900
2021-03-17,2770.0,3600.0,2770.0,3490.0,5300
2021-03-18,3490.0,4350.0,3490.0,3600.0,12500
2021-03-19,3610.0,3630.0,3610.0,3630.0,600
2021-03-22,3650.0,4520.0,3390.0,4380.0,2300
2021-03-23,4390.0,4680.0,4080.0,4680.0,6100
2021-03-24,4600.0,4600.0,4500.0,4500.0,600
2021-03-25,4500.0,4500.0,4500.0,4500.0,0
2021-03-26,4350.0,4700.0,4350.0,4650.0,900
2021-03-29,4600.0,4600.0,4600.0,4600.0,100
2021-03-30,4600.0,4600.0,4600.0,4600.0,0
2021-03-31,4350.0,4350.0,4350.0,4350.0,100
2021-04-01,4200.0,4250.0,4050.0,4050.0,900
2021-04-05,3980.0,3980.0,3980.0,3980.0,100
2021-04-06,3980.0,3980.0,3980.0,3980.0,0
2021-04-07,3980.0,3980.0,3980.0,3980.0,0
2021-04-08,3980.0,3980.0,3980.0,3980.0,0
2021-04-09,3980.0,3980.0,3980.0,3980.0,0
2021-04-12,3980.0,3980.0,3980.0,3980.0,0
2021-04-13,3980.0,3980.0,3980.0,3980.0,0
2021-04-14,3980.0,3980.0,3980.0,3980.0,0
2021-04-15,3980.0,3980.0,3980.0,3980.0,0
2021-04-16,3980.0,3980.0,3980.0,3980.0,0
2021-04-19,3980.0,3980.0,3980.0,3980.0,0
2021-04-20,3980.0,3980.0,3980.0,3980.0,0
2021-04-21,3980.0,3980.0,3980.0,3980.0,0
2021-04-22,3980.0,3980.0,3980.0,3980.0,0
