Date,Open,High,Low,Close,Volume
2021-01-04,142.0,146.0,133.0,137.0,14070400
2021-01-05,129.0,147.0,129.0,146.0,27531400
2021-01-06,139.0,154.0,139.0,147.0,32364200
2021-01-07,150.0,174.0,150.0,162.0,207820500
2021-01-08,164.0,166.0,156.0,158.0,40952100
2021-01-11,158.0,160.0,150.0,152.0,26441200
2021-01-12,152.0,154.0,146.0,147.0,18917300
2021-01-13,150.0,153.0,142.0,145.0,24348100
2021-01-14,146.0,151.0,145.0,151.0,13052700
2021-01-15,152.0,158.0,146.0,150.0,26983900
2021-01-18,150.0,150.0,144.0,144.0,11360900
2021-01-19,143.0,153.0,136.0,136.0,29097400
2021-01-20,140.0,141.0,131.0,135.0,9658400
2021-01-21,139.0,161.0,136.0,158.0,67942700
2021-01-22,162.0,162.0,147.0,147.0,45065000
2021-01-25,147.0,157.0,137.0,154.0,22337600
2021-01-26,154.0,158.0,144.0,144.0,29666300
2021-01-27,143.0,163.0,134.0,147.0,260592500
2021-01-28,147.0,152.0,137.0,137.0,65465900
2021-01-29,137.0,147.0,132.0,141.0,54634200
2021-02-01,140.0,146.0,134.0,138.0,16333800
2021-02-02,139.0,142.0,138.0,140.0,13572700
2021-02-03,140.0,148.0,138.0,142.0,41442300
2021-02-04,146.0,146.0,138.0,138.0,23190400
2021-02-05,134.0,141.0,134.0,137.0,9268100
2021-02-08,138.0,140.0,136.0,138.0,12000200
2021-02-09,138.0,140.0,136.0,137.0,10417900
2021-02-10,136.0,142.0,134.0,136.0,16721100
2021-02-11,138.0,138.0,135.0,136.0,5808200
2021-02-15,136.0,140.0,136.0,140.0,9537000
2021-02-16,140.0,141.0,136.0,137.0,7755000
2021-02-17,137.0,139.0,136.0,136.0,6336500
2021-02-18,136.0,138.0,135.0,135.0,6806200
2021-02-19,134.0,136.0,132.0,133.0,5142200
2021-02-22,135.0,135.0,130.0,132.0,7262100
2021-02-23,133.0,136.0,131.0,133.0,9186700
2021-02-24,136.0,138.0,133.0,133.0,11605400
2021-02-25,133.0,134.0,132.0,133.0,2611800
2021-02-26,133.0,136.0,131.0,132.0,7814600
2021-03-01,133.0,134.0,131.0,131.0,3548900
2021-03-02,130.0,133.0,129.0,131.0,4174200
2021-03-03,131.0,142.0,130.0,135.0,34919700
2021-03-04,134.0,136.0,131.0,132.0,7761100
2021-03-05,132.0,136.0,130.0,132.0,7110500
2021-03-08,133.0,134.0,129.0,130.0,4412300
2021-03-09,130.0,137.0,129.0,130.0,30240300
2021-03-10,130.0,130.0,121.0,127.0,10391100
2021-03-12,127.0,129.0,127.0,128.0,4819400
2021-03-15,127.0,130.0,127.0,129.0,3112700
2021-03-16,129.0,134.0,129.0,130.0,12436300
2021-03-17,129.0,132.0,128.0,130.0,5614100
2021-03-18,130.0,131.0,128.0,128.0,2237400
