Date,Open,High,Low,Close,Volume
2021-01-04,372.0,388.0,372.0,372.0,12600
2021-01-05,378.0,378.0,372.0,372.0,2600
2021-01-06,352.0,380.0,352.0,380.0,12500
2021-01-07,380.0,380.0,380.0,380.0,1500
2021-01-08,378.0,378.0,356.0,356.0,700
2021-01-11,336.0,400.0,336.0,400.0,12900
2021-01-12,374.0,396.0,374.0,396.0,9100
2021-01-13,396.0,396.0,390.0,390.0,1700
2021-01-14,370.0,390.0,370.0,388.0,8200
2021-01-15,388.0,388.0,370.0,370.0,300
2021-01-18,348.0,378.0,348.0,368.0,3400
2021-01-19,368.0,388.0,368.0,386.0,2200
2021-01-20,386.0,386.0,364.0,380.0,2900
2021-01-21,428.0,428.0,398.0,398.0,3600
2021-01-22,418.0,430.0,398.0,398.0,3600
2021-01-25,398.0,398.0,378.0,378.0,700
2021-01-26,378.0,378.0,378.0,378.0,100
2021-01-27,398.0,398.0,354.0,354.0,12100
2021-01-28,354.0,354.0,348.0,352.0,9100
2021-01-29,352.0,352.0,352.0,352.0,100
2021-02-01,398.0,398.0,328.0,398.0,37500
2021-02-02,398.0,398.0,398.0,398.0,0
2021-02-03,376.0,376.0,374.0,376.0,13100
2021-02-04,356.0,400.0,356.0,398.0,3100
2021-02-05,398.0,398.0,398.0,398.0,0
2021-02-08,398.0,398.0,372.0,390.0,2200
2021-02-09,370.0,370.0,364.0,370.0,13300
2021-02-10,370.0,380.0,352.0,380.0,7400
2021-02-11,360.0,380.0,356.0,378.0,2200
2021-02-15,358.0,380.0,358.0,380.0,3700
2021-02-16,386.0,386.0,380.0,380.0,200
2021-02-17,376.0,376.0,376.0,376.0,400
2021-02-18,376.0,380.0,350.0,380.0,6800
2021-02-19,380.0,380.0,380.0,380.0,0
2021-02-22,380.0,380.0,354.0,380.0,13200
2021-02-23,380.0,380.0,356.0,380.0,2700
2021-02-24,380.0,380.0,360.0,380.0,1700
2021-02-25,380.0,380.0,380.0,380.0,0
2021-02-26,380.0,380.0,360.0,372.0,4600
2021-03-01,372.0,372.0,372.0,372.0,0
2021-03-02,348.0,380.0,348.0,362.0,102300
2021-03-03,362.0,370.0,362.0,370.0,60400
2021-03-04,370.0,370.0,370.0,370.0,1100
2021-03-05,370.0,370.0,370.0,370.0,0
2021-03-08,350.0,366.0,350.0,366.0,3200
2021-03-09,366.0,366.0,346.0,364.0,5200
2021-03-10,342.0,364.0,342.0,364.0,2200
2021-03-12,362.0,362.0,362.0,362.0,100
2021-03-15,362.0,362.0,338.0,362.0,11100
2021-03-16,362.0,380.0,362.0,380.0,57300
2021-03-17,360.0,380.0,354.0,380.0,16600
2021-03-18,380.0,380.0,380.0,380.0,2100
2021-03-19,380.0,380.0,356.0,380.0,121200
2021-03-22,360.0,474.0,360.0,474.0,45600
2021-03-23,482.0,590.0,442.0,442.0,1237300
2021-03-24,440.0,440.0,412.0,412.0,22400
2021-03-25,384.0,384.0,384.0,384.0,29900
2021-03-26,358.0,384.0,358.0,384.0,91900
2021-03-29,404.0,404.0,358.0,380.0,51200
2021-03-30,360.0,398.0,354.0,380.0,37300
2021-03-31,360.0,440.0,356.0,396.0,29000
2021-04-01,396.0,420.0,370.0,386.0,82100
2021-04-05,380.0,420.0,360.0,380.0,125900
2021-04-06,378.0,398.0,358.0,380.0,26800
2021-04-07,380.0,380.0,366.0,368.0,3800
2021-04-08,348.0,402.0,346.0,380.0,64600
2021-04-09,360.0,404.0,360.0,370.0,8300
2021-04-12,370.0,374.0,370.0,374.0,1800
2021-04-13,354.0,426.0,354.0,400.0,147500
2021-04-14,400.0,404.0,378.0,400.0,38600
2021-04-15,402.0,500.0,400.0,500.0,51000
2021-04-16,466.0,466.0,466.0,466.0,11900
2021-04-19,454.0,454.0,434.0,434.0,28800
2021-04-20,420.0,420.0,406.0,418.0,9000
2021-04-21,406.0,406.0,404.0,404.0,10800
2021-04-22,406.0,412.0,406.0,412.0,45900
2021-04-23,418.0,418.0,384.0,410.0,1400
2021-04-26,410.0,430.0,406.0,408.0,16100
2021-04-27,408.0,408.0,408.0,408.0,600
2021-04-28,406.0,406.0,406.0,406.0,4400
2021-04-29,406.0,420.0,406.0,410.0,12100
2021-04-30,412.0,412.0,382.0,384.0,10300
2021-05-03,384.0,444.0,384.0,392.0,86800
2021-05-04,384.0,430.0,372.0,404.0,33700
2021-05-05,428.0,428.0,382.0,400.0,16600
2021-05-06,380.0,390.0,378.0,378.0,49600
2021-05-07,420.0,468.0,360.0,450.0,243600
2021-05-10,450.0,454.0,430.0,432.0,92300
2021-05-11,432.0,432.0,402.0,402.0,4600
2021-05-17,420.0,420.0,382.0,386.0,9200
2021-05-18,386.0,398.0,386.0,398.0,68000
2021-05-19,398.0,398.0,386.0,388.0,24500
2021-05-20,388.0,392.0,388.0,392.0,11300
2021-05-21,394.0,396.0,392.0,394.0,10400
2021-05-24,394.0,414.0,394.0,396.0,700
2021-05-25,390.0,450.0,390.0,434.0,17700
2021-05-27,434.0,434.0,404.0,406.0,5700
2021-05-28,406.0,406.0,406.0,406.0,9800
2021-05-31,394.0,430.0,394.0,424.0,12500
2021-06-02,422.0,422.0,410.0,410.0,2500
2021-06-03,402.0,446.0,402.0,404.0,5700
2021-06-04,404.0,422.0,398.0,400.0,25500
2021-06-07,400.0,402.0,400.0,402.0,1100
2021-06-08,402.0,402.0,402.0,402.0,300
2021-06-09,402.0,428.0,402.0,428.0,5800
2021-06-10,428.0,428.0,414.0,414.0,3700
2021-06-11,414.0,444.0,400.0,400.0,40700
2021-06-14,402.0,426.0,400.0,408.0,12400
2021-06-15,408.0,418.0,396.0,416.0,6000
2021-06-16,416.0,418.0,390.0,394.0,5900
2021-06-17,394.0,398.0,394.0,398.0,1200
2021-06-18,398.0,400.0,398.0,400.0,1400
2021-06-21,400.0,402.0,400.0,402.0,3700
2021-06-22,424.0,424.0,402.0,402.0,35700
2021-06-23,410.0,410.0,400.0,400.0,300
2021-06-24,400.0,420.0,400.0,400.0,21200
2021-06-25,408.0,408.0,386.0,386.0,300
2021-06-28,386.0,386.0,382.0,384.0,10800
2021-06-29,386.0,390.0,386.0,386.0,10600
2021-06-30,388.0,388.0,372.0,372.0,9200
2021-07-01,374.0,418.0,366.0,404.0,25200
2021-07-02,406.0,418.0,378.0,408.0,41800
2021-07-05,428.0,428.0,404.0,404.0,4400
2021-07-06,386.0,400.0,382.0,382.0,3900
2021-07-07,382.0,382.0,382.0,382.0,8700
2021-07-08,382.0,382.0,368.0,376.0,2100
2021-07-09,376.0,416.0,366.0,376.0,9600
2021-07-12,416.0,428.0,400.0,402.0,37600
2021-07-13,402.0,402.0,384.0,402.0,16900
2021-07-14,384.0,416.0,384.0,406.0,4800
2021-07-15,404.0,406.0,404.0,406.0,800
2021-07-16,404.0,404.0,390.0,390.0,2200
2021-07-19,390.0,390.0,376.0,378.0,2500
2021-07-21,364.0,418.0,364.0,398.0,8200
2021-07-22,398.0,416.0,386.0,386.0,7600
2021-07-23,386.0,388.0,382.0,382.0,15200
2021-07-26,384.0,432.0,382.0,382.0,32800
2021-07-27,382.0,400.0,382.0,388.0,28800
2021-07-28,390.0,420.0,390.0,420.0,90500
2021-07-29,420.0,420.0,392.0,420.0,22900
2021-07-30,420.0,474.0,404.0,406.0,141000
2021-08-02,406.0,406.0,406.0,406.0,100
2021-08-03,406.0,406.0,392.0,392.0,4200
2021-08-04,394.0,394.0,394.0,394.0,3200
2021-08-05,396.0,398.0,396.0,396.0,1400
2021-08-06,396.0,396.0,394.0,396.0,1100
2021-08-09,396.0,396.0,374.0,390.0,7600
2021-08-10,390.0,394.0,390.0,394.0,1500
2021-08-12,394.0,492.0,394.0,492.0,187700
2021-08-13,505.0,615.0,494.0,615.0,222400
2021-08-16,690.0,765.0,690.0,765.0,103900
2021-08-18,810.0,955.0,810.0,950.0,1190000
2021-08-19,1000.0,1185.0,885.0,885.0,2125700
2021-08-20,825.0,825.0,825.0,825.0,2009800
2021-08-23,770.0,770.0,770.0,770.0,536000
2021-08-24,720.0,720.0,720.0,720.0,826900
2021-08-25,670.0,685.0,670.0,670.0,4734100
2021-08-26,630.0,725.0,625.0,625.0,11553400
2021-08-27,600.0,625.0,585.0,585.0,14550700
2021-08-30,585.0,660.0,575.0,635.0,8875100
2021-08-31,650.0,680.0,595.0,640.0,22028500
2021-09-01,640.0,640.0,600.0,620.0,2009300
2021-09-02,605.0,640.0,580.0,580.0,16877400
2021-09-03,580.0,580.0,540.0,565.0,3012800
2021-09-06,560.0,585.0,530.0,535.0,16523600
2021-09-07,535.0,570.0,505.0,540.0,3141300
2021-09-08,540.0,550.0,515.0,520.0,14545400
2021-09-09,520.0,530.0,490.0,530.0,1879200
2021-09-10,530.0,550.0,515.0,525.0,16457400
2021-09-13,525.0,530.0,505.0,525.0,2054600
2021-09-14,525.0,540.0,525.0,530.0,16341100
2021-09-15,535.0,540.0,525.0,535.0,3743100
2021-09-16,540.0,545.0,530.0,530.0,15863900
2021-09-17,535.0,535.0,520.0,530.0,3191900
2021-09-20,530.0,540.0,520.0,520.0,15556100
2021-09-21,515.0,525.0,490.0,525.0,1613200
2021-09-22,525.0,535.0,515.0,525.0,2261400
2021-09-23,525.0,535.0,525.0,530.0,8856200
2021-09-24,530.0,540.0,515.0,515.0,2774600
2021-09-27,520.0,520.0,510.0,515.0,8023900
2021-09-28,515.0,525.0,498.0,498.0,2421200
2021-09-29,498.0,560.0,498.0,515.0,17530300
2021-09-30,515.0,535.0,515.0,520.0,2686200
2021-10-01,520.0,535.0,515.0,535.0,14675300
2021-10-04,535.0,540.0,525.0,525.0,3057000
2021-10-05,530.0,540.0,515.0,535.0,15555400
2021-10-06,535.0,595.0,535.0,550.0,10098900
2021-10-07,550.0,600.0,550.0,585.0,20114100
2021-10-08,590.0,590.0,565.0,570.0,2675600
2021-10-11,570.0,645.0,570.0,630.0,25382100
2021-10-12,630.0,640.0,590.0,590.0,5809200
2021-10-13,570.0,590.0,550.0,550.0,11370400
2021-10-14,530.0,540.0,515.0,515.0,4846900
2021-10-15,510.0,515.0,480.0,500.0,36909900
2021-10-18,500.0,500.0,466.0,466.0,16042000
2021-10-19,464.0,468.0,434.0,434.0,34100500
2021-10-21,432.0,432.0,404.0,404.0,12101000
2021-10-22,404.0,420.0,390.0,410.0,21758500
2021-10-25,412.0,414.0,382.0,382.0,36036700
2021-10-26,382.0,382.0,356.0,356.0,32606600
2021-10-27,346.0,370.0,332.0,366.0,30462600
2021-10-28,366.0,368.0,342.0,342.0,30097600
2021-10-29,320.0,320.0,320.0,320.0,23622300
2021-11-01,320.0,320.0,298.0,298.0,26056600
2021-11-02,296.0,298.0,278.0,288.0,12259700
2021-11-03,290.0,300.0,268.0,278.0,68508100
2021-11-04,278.0,284.0,260.0,270.0,39570300
2021-11-05,270.0,328.0,256.0,302.0,134598100
2021-11-08,302.0,314.0,282.0,302.0,65495400
2021-11-09,304.0,308.0,282.0,282.0,117522800
2021-11-10,282.0,284.0,264.0,264.0,41875800
2021-11-11,246.0,250.0,246.0,246.0,52947400
2021-11-12,230.0,244.0,230.0,230.0,14094400
2021-11-15,214.0,214.0,214.0,214.0,5761200
2021-11-16,200.0,206.0,200.0,200.0,22714000
2021-11-17,186.0,204.0,186.0,198.0,73383900
2021-11-18,200.0,216.0,192.0,199.0,33717200
2021-11-19,200.0,214.0,196.0,210.0,42742200
2021-11-22,218.0,222.0,200.0,200.0,59461900
2021-11-23,200.0,202.0,191.0,197.0,18084600
2021-11-24,198.0,202.0,191.0,191.0,16591800
2021-11-25,193.0,194.0,178.0,179.0,21576900
2021-11-26,179.0,179.0,167.0,167.0,20898900
2021-11-29,158.0,158.0,156.0,156.0,14063300
2021-11-30,150.0,150.0,146.0,146.0,7946700
2021-12-01,136.0,136.0,136.0,136.0,1364000
2021-12-02,127.0,127.0,127.0,127.0,3652400
2021-12-03,119.0,140.0,119.0,120.0,57605500
2021-12-06,118.0,125.0,114.0,114.0,17952200
2021-12-07,114.0,138.0,114.0,120.0,63433900
2021-12-08,120.0,122.0,114.0,115.0,12035200
2021-12-09,115.0,128.0,115.0,124.0,27737100
2021-12-10,125.0,138.0,121.0,122.0,64047500
2021-12-13,122.0,125.0,121.0,122.0,6477100
2021-12-14,121.0,124.0,118.0,119.0,4152000
2021-12-15,119.0,128.0,118.0,119.0,22773800
2021-12-16,119.0,123.0,116.0,117.0,11848300
2021-12-17,118.0,121.0,115.0,118.0,9815800
2021-12-20,118.0,128.0,117.0,120.0,48455100
2021-12-21,120.0,124.0,118.0,119.0,9992700
2021-12-22,119.0,121.0,116.0,116.0,8464000
2021-12-23,116.0,119.0,115.0,117.0,5127300
2021-12-24,115.0,115.0,109.0,109.0,19624100
2021-12-27,110.0,110.0,102.0,102.0,13770000
2021-12-28,102.0,123.0,101.0,108.0,87586700
2021-12-29,108.0,110.0,102.0,103.0,12347000
2021-12-30,103.0,108.0,101.0,103.0,9811100
2022-01-03,103.0,110.0,103.0,109.0,13323300
2022-01-04,109.0,113.0,108.0,109.0,8617000
2022-01-05,110.0,128.0,110.0,119.0,157201000
2022-01-06,120.0,121.0,111.0,111.0,30243500
2022-01-07,110.0,110.0,104.0,104.0,20630100
2022-01-10,105.0,109.0,102.0,105.0,15296500
2022-01-11,106.0,107.0,102.0,102.0,9293400
2022-01-12,102.0,117.0,102.0,109.0,118476700
2022-01-13,119.0,119.0,105.0,106.0,10864000
2022-01-14,103.0,112.0,103.0,107.0,11679700
2022-01-17,109.0,109.0,104.0,104.0,5623100
2022-01-18,105.0,108.0,103.0,106.0,13027300
2022-01-19,106.0,107.0,103.0,105.0,5414900
2022-01-20,105.0,106.0,103.0,104.0,5168500
2022-01-21,104.0,105.0,103.0,103.0,4954700
2022-01-24,103.0,111.0,102.0,105.0,12785300
2022-01-25,105.0,105.0,103.0,103.0,3677200
2022-01-26,104.0,105.0,96.0,96.0,17657300
2022-01-27,96.0,96.0,90.0,90.0,10580400
2022-01-28,90.0,90.0,84.0,86.0,7816400
2022-01-31,87.0,95.0,86.0,89.0,47281700
2022-02-02,93.0,95.0,86.0,89.0,6699700
2022-02-03,90.0,101.0,89.0,94.0,76982800
2022-02-04,95.0,95.0,88.0,90.0,12979900
2022-02-07,90.0,95.0,90.0,92.0,61432900
2022-02-08,93.0,93.0,88.0,89.0,11348100
2022-02-09,89.0,93.0,86.0,90.0,37544600
2022-02-10,90.0,92.0,87.0,89.0,8020400
2022-02-11,90.0,90.0,88.0,88.0,25736600
2022-02-14,87.0,89.0,86.0,87.0,5266000
2022-02-15,86.0,89.0,86.0,87.0,21818400
2022-02-16,88.0,88.0,86.0,88.0,2624900
2022-02-17,89.0,90.0,87.0,87.0,23370400
2022-02-18,87.0,88.0,86.0,87.0,1700400
2022-02-21,88.0,88.0,87.0,87.0,19821500
2022-02-22,87.0,87.0,85.0,86.0,3466900
2022-02-23,86.0,87.0,83.0,84.0,23516500
2022-02-24,84.0,88.0,79.0,80.0,10361800
2022-02-25,80.0,81.0,75.0,76.0,38882300
2022-03-01,76.0,80.0,73.0,77.0,5862200
2022-03-02,77.0,84.0,77.0,80.0,42331100
2022-03-04,80.0,81.0,75.0,75.0,9301900
2022-03-07,75.0,76.0,70.0,70.0,46286100
2022-03-08,70.0,71.0,68.0,69.0,3387000
2022-03-09,69.0,76.0,69.0,70.0,50929500
2022-03-10,70.0,75.0,69.0,70.0,7242900
2022-03-11,70.0,73.0,69.0,71.0,34171200
2022-03-14,73.0,75.0,70.0,70.0,3420700
2022-03-15,71.0,72.0,69.0,71.0,32953600
2022-03-16,71.0,72.0,68.0,68.0,6464100
2022-03-17,68.0,70.0,68.0,69.0,24140100
2022-03-18,69.0,70.0,66.0,67.0,3213000
2022-03-21,68.0,71.0,68.0,68.0,26390800
2022-03-22,68.0,78.0,68.0,71.0,51260400
2022-03-23,71.0,72.0,69.0,70.0,27832200
2022-03-24,70.0,71.0,69.0,69.0,2505100
2022-03-25,69.0,72.0,65.0,67.0,33988900
2022-03-28,68.0,70.0,67.0,67.0,7058900
2022-03-29,67.0,68.0,65.0,66.0,18993600
2022-03-30,66.0,67.0,62.0,62.0,14352700
2022-03-31,62.0,68.0,62.0,63.0,32482900
2022-04-01,64.0,66.0,63.0,64.0,2968800
2022-04-04,64.0,65.0,63.0,64.0,19527700
2022-04-05,64.0,67.0,64.0,66.0,6247300
2022-04-06,67.0,80.0,67.0,75.0,138099800
2022-04-07,75.0,76.0,70.0,71.0,21456200
2022-04-08,73.0,73.0,68.0,69.0,22636800
2022-04-11,70.0,70.0,66.0,68.0,7313900
2022-04-12,68.0,68.0,64.0,65.0,6453400
2022-04-13,65.0,68.0,63.0,66.0,5031900
2022-04-14,67.0,80.0,66.0,70.0,58233300
2022-04-18,71.0,71.0,66.0,66.0,16785500
2022-04-19,66.0,68.0,66.0,67.0,4887700
2022-04-20,68.0,69.0,63.0,65.0,9248500
2022-04-21,66.0,67.0,64.0,65.0,35126900
2022-04-22,65.0,67.0,63.0,65.0,4414300
2022-04-25,65.0,66.0,62.0,64.0,33972100
2022-04-26,64.0,67.0,62.0,64.0,6288700
2022-04-27,64.0,64.0,62.0,64.0,34558800
2022-04-28,64.0,67.0,63.0,65.0,36239500
2022-05-09,65.0,66.0,64.0,65.0,33540900
2022-05-10,65.0,66.0,64.0,65.0,34411000
2022-05-11,65.0,65.0,63.0,64.0,33560800
2022-05-12,64.0,65.0,60.0,61.0,40643700
2022-05-13,61.0,61.0,57.0,58.0,36333300
2022-05-17,59.0,59.0,54.0,58.0,31382200
2022-05-18,58.0,62.0,56.0,59.0,40860500
2022-05-19,59.0,60.0,57.0,58.0,28270800
2022-05-20,58.0,64.0,56.0,60.0,51814200
2022-05-23,61.0,62.0,59.0,60.0,29056300
2022-05-24,60.0,61.0,58.0,59.0,36478900
2022-05-25,59.0,59.0,58.0,59.0,1115900
2022-05-27,59.0,59.0,56.0,58.0,36534000
2022-05-30,58.0,62.0,57.0,59.0,23481900
2022-05-31,59.0,62.0,59.0,61.0,38341100
2022-06-02,61.0,63.0,60.0,60.0,18848900
2022-06-03,60.0,81.0,60.0,81.0,118655000
2022-06-06,89.0,109.0,83.0,109.0,259916100
2022-06-07,119.0,129.0,102.0,102.0,123143300
2022-06-08,95.0,95.0,95.0,95.0,1271500
2022-06-09,89.0,89.0,89.0,89.0,9719900
