Date,Open,High,Low,Close,Volume
2025-05-08,178.0,178.0,178.0,178.0,61016400
2025-05-09,240.0,240.0,152.0,152.0,398004800
2025-05-14,130.0,132.0,130.0,130.0,57074300
2025-05-15,111.0,118.0,111.0,111.0,133607900
2025-05-16,95.0,95.0,95.0,95.0,122721400
2025-05-19,81.0,97.0,81.0,87.0,679519900
2025-05-20,88.0,89.0,74.0,74.0,600978400
2025-05-22,74.0,78.0,72.0,74.0,121640700
2025-05-23,74.0,76.0,70.0,71.0,39814800
2025-05-26,71.0,76.0,62.0,67.0,98504800
2025-05-27,67.0,73.0,66.0,69.0,41012400
2025-05-28,70.0,72.0,68.0,68.0,21155900
2025-06-02,68.0,70.0,65.0,67.0,28842700
2025-06-03,67.0,68.0,65.0,66.0,11423700
2025-06-04,66.0,67.0,64.0,66.0,14441600
2025-06-05,67.0,78.0,66.0,72.0,137351900
2025-06-10,72.0,72.0,69.0,69.0,28228600
2025-06-11,70.0,72.0,69.0,70.0,10339100
2025-06-12,70.0,71.0,69.0,70.0,8922400
2025-06-13,70.0,71.0,69.0,70.0,8207700
2025-06-16,70.0,71.0,68.0,68.0,10144700
2025-06-17,68.0,70.0,68.0,70.0,6612900
2025-06-18,70.0,77.0,68.0,71.0,61254500
2025-06-19,71.0,72.0,68.0,69.0,15146000
2025-06-20,69.0,72.0,68.0,69.0,15582600
2025-06-23,68.0,69.0,66.0,68.0,13248700
2025-06-24,68.0,70.0,67.0,67.0,6991500
2025-06-25,67.0,68.0,67.0,68.0,5883000
2025-06-26,68.0,69.0,67.0,68.0,6028200
2025-06-30,68.0,69.0,67.0,68.0,2830200
2025-07-01,68.0,70.0,66.0,67.0,16945500
2025-07-02,67.0,68.0,65.0,67.0,12171700
2025-07-03,66.0,67.0,64.0,65.0,14762400
2025-07-04,65.0,66.0,62.0,62.0,18869500
2025-07-22,57.0,57.0,56.0,56.0,20580900
2025-07-23,56.0,56.0,55.0,55.0,14969400
2025-07-24,55.0,55.0,54.0,54.0,16247700
2025-07-25,56.0,59.0,56.0,59.0,18813600
2025-07-28,63.0,63.0,63.0,63.0,9449300
2025-07-29,63.0,67.0,63.0,67.0,9028100
2025-07-30,67.0,68.0,67.0,68.0,4794700
2025-07-31,68.0,68.0,60.0,61.0,41415900
2025-08-01,62.0,66.0,60.0,62.0,13558500
2025-08-04,65.0,83.0,64.0,83.0,410322700
2025-08-05,79.0,80.0,72.0,73.0,152867800
2025-08-06,70.0,80.0,70.0,74.0,91726900
2025-08-07,75.0,80.0,71.0,75.0,84289600
2025-08-08,76.0,78.0,73.0,74.0,23419400
2025-08-11,74.0,79.0,73.0,78.0,70459000
2025-08-12,85.0,105.0,82.0,105.0,936900400
2025-08-13,105.0,134.0,99.0,131.0,1198048000
2025-08-14,132.0,147.0,122.0,126.0,654959000
2025-08-15,126.0,127.0,108.0,112.0,203490100
2025-08-19,112.0,127.0,104.0,117.0,317233600
2025-08-20,121.0,121.0,110.0,113.0,70531600
2025-08-21,113.0,121.0,110.0,121.0,126559300
2025-08-22,123.0,127.0,118.0,119.0,203303600
2025-08-25,123.0,123.0,117.0,118.0,52773400
2025-08-26,119.0,138.0,116.0,118.0,491228900
2025-08-27,119.0,121.0,113.0,116.0,89114200
2025-08-28,116.0,117.0,112.0,113.0,40416600
2025-08-29,112.0,113.0,97.0,102.0,72212400
2025-09-01,99.0,120.0,90.0,112.0,332365600
2025-09-02,112.0,119.0,110.0,111.0,71701600
2025-09-03,111.0,114.0,108.0,112.0,31109900
2025-09-04,112.0,113.0,109.0,109.0,15247000
2025-09-08,110.0,113.0,104.0,104.0,14986200
2025-09-09,104.0,108.0,101.0,102.0,13981300
2025-09-10,102.0,113.0,100.0,102.0,82403600
2025-09-11,102.0,105.0,102.0,105.0,10965500
2025-09-12,105.0,107.0,102.0,104.0,16426800
2025-09-15,104.0,109.0,104.0,108.0,15304100
2025-09-16,109.0,112.0,106.0,106.0,22310300
2025-09-17,108.0,115.0,105.0,106.0,40212000
2025-09-18,106.0,109.0,104.0,105.0,11083500
2025-09-19,106.0,106.0,102.0,102.0,12496000
2025-09-22,102.0,108.0,101.0,104.0,23146700
2025-09-23,104.0,107.0,101.0,105.0,21508200
2025-09-24,105.0,106.0,100.0,100.0,27832000
2025-09-25,100.0,103.0,94.0,98.0,32869000
2025-09-26,98.0,101.0,97.0,100.0,9779100
2025-09-29,101.0,101.0,98.0,99.0,12251600
2025-09-30,99.0,101.0,98.0,98.0,6702600
2025-10-01,99.0,104.0,98.0,98.0,20015400
2025-10-02,98.0,101.0,98.0,99.0,6714000
2025-10-03,102.0,102.0,98.0,100.0,11887500
2025-10-06,101.0,104.0,100.0,102.0,16759900
2025-10-07,103.0,103.0,97.0,99.0,22913200
2025-10-08,98.0,98.0,91.0,94.0,24934100
2025-10-09,94.0,97.0,91.0,92.0,20786700
2025-10-10,93.0,93.0,86.0,91.0,12999700
2025-10-13,88.0,90.0,86.0,89.0,12869800
2025-10-14,88.0,89.0,79.0,83.0,18132500
2025-10-15,83.0,84.0,75.0,77.0,23139700
2025-10-16,76.0,103.0,74.0,97.0,326890800
2025-10-17,98.0,98.0,83.0,83.0,58984000
2025-10-20,83.0,91.0,80.0,86.0,50051900
2025-10-21,86.0,87.0,82.0,86.0,8809500
2025-10-22,86.0,90.0,84.0,87.0,15796100
2025-10-23,90.0,90.0,86.0,87.0,9498600
2025-10-24,88.0,96.0,86.0,86.0,46465600
2025-10-27,86.0,88.0,82.0,84.0,13964800
2025-10-28,84.0,86.0,84.0,86.0,3936200
2025-10-29,86.0,88.0,83.0,85.0,5524600
2025-10-30,85.0,88.0,85.0,86.0,4095300
2025-10-31,87.0,87.0,85.0,85.0,4715200
2025-11-03,85.0,88.0,84.0,85.0,8874100
2025-11-04,86.0,86.0,84.0,84.0,6136100
2025-11-05,85.0,96.0,85.0,90.0,75327600
2025-11-06,88.0,90.0,86.0,88.0,13340700
2025-11-07,89.0,96.0,89.0,91.0,49583400
2025-11-10,93.0,97.0,91.0,91.0,28189900
2025-11-11,92.0,93.0,89.0,90.0,10546100
2025-11-12,91.0,92.0,89.0,91.0,7231400
2025-11-13,91.0,94.0,90.0,93.0,13644700
2025-11-14,94.0,95.0,91.0,92.0,9363000
2025-11-17,91.0,92.0,90.0,91.0,5929000
2025-11-18,91.0,91.0,86.0,87.0,14317300
2025-11-19,88.0,89.0,87.0,88.0,3842300
2025-11-20,89.0,89.0,87.0,88.0,2864200
2025-11-21,88.0,89.0,86.0,88.0,3752200
2025-11-24,88.0,89.0,86.0,88.0,5354200
2025-11-25,88.0,89.0,86.0,87.0,8322800
2025-11-26,87.0,88.0,85.0,86.0,6354300
2025-11-27,86.0,88.0,85.0,86.0,6692700
2025-11-28,86.0,87.0,84.0,84.0,6022800
2025-12-01,84.0,85.0,82.0,83.0,6310400
2025-12-02,85.0,85.0,83.0,83.0,4139000
2025-12-03,84.0,84.0,82.0,83.0,2666500
2025-12-04,83.0,95.0,82.0,90.0,95229800
2025-12-05,90.0,91.0,86.0,88.0,13928400
2025-12-08,88.0,94.0,87.0,94.0,29141300
2025-12-09,94.0,94.0,90.0,91.0,14677800
2025-12-10,92.0,96.0,90.0,95.0,58251400
2025-12-11,95.0,96.0,91.0,93.0,21123200
2025-12-12,93.0,93.0,87.0,88.0,18174300
2025-12-15,88.0,89.0,81.0,83.0,21934300
2025-12-16,83.0,84.0,81.0,84.0,11623700
2025-12-17,84.0,85.0,82.0,83.0,6349800
2025-12-18,83.0,89.0,83.0,83.0,13973600
2025-12-19,84.0,85.0,82.0,82.0,7390800
2025-12-22,82.0,83.0,80.0,81.0,5734900
2025-12-23,81.0,82.0,76.0,79.0,5297300
2025-12-24,79.0,81.0,76.0,79.0,5293100
2025-12-29,79.0,81.0,77.0,81.0,5044700
2025-12-30,80.0,81.0,78.0,81.0,3038500
2026-01-02,81.0,81.0,79.0,80.0,5491000
