Date,Open,High,Low,Close,Volume
2021-01-04,82.0,88.0,78.0,84.0,21793100
2021-01-05,84.0,86.0,80.0,80.0,4667800
2021-01-06,83.0,84.0,77.0,78.0,3024600
2021-01-07,78.0,80.0,77.0,79.0,1622100
2021-01-08,82.0,84.0,77.0,80.0,8116400
2021-01-11,80.0,81.0,78.0,79.0,979200
2021-01-12,79.0,80.0,77.0,80.0,1842300
2021-01-13,80.0,80.0,76.0,79.0,1117100
2021-01-14,79.0,79.0,77.0,79.0,1977800
2021-01-15,79.0,79.0,76.0,78.0,1025200
2021-01-18,80.0,80.0,75.0,78.0,706500
2021-01-19,78.0,78.0,75.0,78.0,196500
2021-01-20,78.0,78.0,74.0,77.0,433700
2021-01-21,75.0,78.0,75.0,78.0,133800
2021-01-22,77.0,77.0,73.0,73.0,2300300
2021-01-25,74.0,77.0,72.0,75.0,1039300
2021-01-26,75.0,75.0,70.0,73.0,439200
2021-01-27,73.0,74.0,68.0,72.0,496500
2021-01-28,72.0,72.0,68.0,68.0,925400
2021-01-29,64.0,66.0,64.0,64.0,1095600
2021-02-01,64.0,66.0,60.0,66.0,1140900
2021-02-02,66.0,68.0,65.0,66.0,169100
2021-02-03,66.0,66.0,64.0,66.0,152700
2021-02-04,66.0,68.0,64.0,66.0,96300
2021-02-05,64.0,65.0,64.0,64.0,112100
2021-02-08,65.0,66.0,64.0,65.0,49100
2021-02-09,66.0,69.0,65.0,68.0,217800
2021-02-10,68.0,68.0,64.0,67.0,1159100
2021-02-11,67.0,69.0,65.0,67.0,327100
2021-02-15,67.0,68.0,64.0,68.0,158000
2021-02-16,66.0,67.0,65.0,67.0,154700
2021-02-17,66.0,67.0,65.0,67.0,81500
2021-02-18,67.0,67.0,64.0,67.0,181000
2021-02-19,66.0,68.0,64.0,67.0,438600
2021-02-22,65.0,67.0,64.0,66.0,34200
2021-02-23,66.0,67.0,62.0,65.0,1039700
2021-02-24,65.0,66.0,63.0,66.0,177800
2021-02-25,66.0,68.0,65.0,67.0,689600
2021-02-26,66.0,68.0,63.0,65.0,1030100
2021-03-01,66.0,68.0,65.0,67.0,517500
2021-03-02,67.0,68.0,66.0,67.0,474700
2021-03-03,67.0,73.0,66.0,73.0,3768900
2021-03-04,74.0,85.0,73.0,80.0,32262400
2021-03-05,81.0,105.0,76.0,77.0,111404800
2021-03-08,77.0,83.0,72.0,76.0,23713700
2021-03-09,76.0,76.0,71.0,73.0,5631800
2021-03-10,73.0,83.0,72.0,77.0,19548500
2021-03-12,77.0,82.0,73.0,76.0,10707600
2021-03-15,76.0,79.0,74.0,76.0,2356600
2021-03-16,76.0,83.0,75.0,78.0,17606600
2021-03-17,78.0,78.0,76.0,76.0,1883300
2021-03-18,76.0,78.0,76.0,77.0,1716100
2021-03-19,77.0,78.0,74.0,75.0,4853000
2021-03-22,75.0,78.0,74.0,76.0,2794500
2021-03-23,76.0,81.0,73.0,81.0,17222700
2021-03-24,81.0,81.0,76.0,76.0,6945000
2021-03-25,76.0,76.0,71.0,72.0,4429900
2021-03-26,72.0,74.0,71.0,74.0,1313100
2021-03-29,74.0,76.0,72.0,73.0,1095600
2021-03-30,74.0,75.0,71.0,72.0,1219400
2021-03-31,72.0,73.0,68.0,69.0,2617300
2021-04-01,68.0,72.0,68.0,70.0,544400
2021-04-05,71.0,72.0,69.0,71.0,489300
2021-04-06,70.0,81.0,69.0,72.0,29335700
2021-04-07,72.0,74.0,70.0,71.0,2690400
2021-04-08,70.0,73.0,70.0,71.0,1661900
2021-04-09,70.0,74.0,70.0,72.0,3131700
2021-04-12,71.0,73.0,71.0,72.0,990900
2021-04-13,69.0,73.0,69.0,70.0,1360100
2021-04-14,69.0,85.0,69.0,83.0,57322000
2021-04-15,86.0,86.0,80.0,81.0,8348800
2021-04-16,81.0,84.0,80.0,82.0,8940300
