Date,Open,High,Low,Close,Volume
2021-01-04,140.0,146.0,139.0,139.0,6784400
2021-01-05,139.0,153.0,130.0,130.0,36605100
2021-01-06,129.0,130.0,121.0,122.0,21874700
2021-01-07,122.0,130.0,122.0,122.0,13102700
2021-01-08,122.0,125.0,121.0,121.0,2775300
2021-01-11,121.0,126.0,118.0,125.0,11593100
2021-01-12,126.0,137.0,117.0,118.0,30840000
2021-01-13,118.0,121.0,115.0,116.0,1496200
2021-01-14,116.0,120.0,116.0,116.0,1593100
2021-01-15,116.0,119.0,112.0,113.0,958300
2021-01-18,113.0,114.0,107.0,107.0,1574400
2021-01-19,107.0,107.0,101.0,104.0,8529600
2021-01-20,104.0,106.0,100.0,102.0,889600
2021-01-21,104.0,104.0,100.0,100.0,659600
2021-01-22,102.0,102.0,96.0,98.0,582800
2021-01-25,98.0,98.0,92.0,92.0,1579200
2021-01-26,88.0,90.0,86.0,86.0,1683700
2021-01-27,80.0,89.0,80.0,82.0,1952900
2021-01-28,81.0,84.0,79.0,79.0,567800
2021-01-29,79.0,79.0,74.0,74.0,422500
2021-02-01,74.0,74.0,69.0,72.0,3080100
2021-02-02,72.0,77.0,71.0,73.0,6438100
2021-02-03,74.0,77.0,72.0,73.0,282200
2021-02-04,73.0,73.0,68.0,70.0,1235300
2021-02-05,68.0,73.0,68.0,69.0,150600
2021-02-08,67.0,73.0,67.0,73.0,548900
2021-02-09,73.0,98.0,73.0,80.0,35944400
2021-02-10,80.0,84.0,75.0,75.0,6238500
2021-02-11,75.0,75.0,70.0,71.0,2388300
2021-02-15,70.0,77.0,69.0,73.0,3962500
2021-02-16,73.0,75.0,72.0,75.0,2019900
2021-02-17,75.0,76.0,73.0,74.0,1034000
2021-02-18,80.0,80.0,72.0,72.0,809900
2021-02-19,72.0,74.0,72.0,73.0,212000
2021-02-22,73.0,74.0,70.0,71.0,1097800
2021-02-23,70.0,72.0,69.0,71.0,479400
2021-02-24,71.0,73.0,70.0,72.0,825700
2021-02-25,73.0,73.0,70.0,71.0,839700
2021-02-26,71.0,72.0,69.0,71.0,316000
2021-03-01,71.0,71.0,69.0,70.0,1188700
2021-03-02,70.0,72.0,69.0,72.0,3498800
2021-03-03,72.0,74.0,67.0,70.0,4906800
2021-03-04,71.0,72.0,68.0,69.0,4417000
2021-03-05,70.0,74.0,69.0,74.0,7617400
2021-03-08,84.0,99.0,77.0,99.0,169585300
2021-03-09,114.0,118.0,93.0,93.0,22356500
2021-03-10,87.0,87.0,87.0,87.0,1005300
2021-03-12,81.0,81.0,81.0,81.0,1295200
2021-03-15,76.0,76.0,76.0,76.0,5514300
2021-03-16,71.0,83.0,71.0,71.0,83570200
2021-03-17,74.0,75.0,69.0,71.0,8985000
2021-03-18,71.0,72.0,69.0,71.0,4620100
2021-03-19,69.0,72.0,69.0,70.0,6390800
2021-03-22,70.0,75.0,66.0,67.0,116846300
2021-03-23,69.0,69.0,64.0,64.0,13909300
2021-03-24,65.0,66.0,60.0,63.0,8721400
2021-03-25,59.0,64.0,59.0,61.0,6059400
2021-03-26,58.0,67.0,58.0,62.0,12023600
2021-03-29,62.0,64.0,60.0,61.0,4355400
2021-03-30,60.0,62.0,60.0,61.0,4740000
2021-03-31,65.0,69.0,59.0,61.0,24934900
