Date,Open,High,Low,Close,Volume
2021-01-04,1090.0,1090.0,1075.0,1075.0,19400
2021-01-05,1075.0,1075.0,1050.0,1060.0,65800
2021-01-06,1060.0,1065.0,1040.0,1045.0,85300
2021-01-07,1055.0,1060.0,1050.0,1050.0,138000
2021-01-08,1050.0,1050.0,1040.0,1050.0,53400
2021-01-11,1050.0,1100.0,1035.0,1060.0,50800
2021-01-12,1050.0,1105.0,1050.0,1085.0,82700
2021-01-13,1090.0,1090.0,1075.0,1085.0,13600
2021-01-14,1085.0,1085.0,1040.0,1060.0,128800
2021-01-15,1060.0,1060.0,1050.0,1055.0,33500
2021-01-18,1055.0,1055.0,1050.0,1050.0,38200
2021-01-19,1050.0,1055.0,1045.0,1055.0,74300
2021-01-20,1045.0,1055.0,1045.0,1055.0,9800
2021-01-21,1055.0,1080.0,1050.0,1075.0,140900
2021-01-22,1060.0,1080.0,1050.0,1060.0,33800
2021-01-25,1060.0,1060.0,1050.0,1060.0,86300
2021-01-26,1045.0,1065.0,1045.0,1050.0,69500
2021-01-27,1025.0,1050.0,1025.0,1050.0,73900
2021-01-28,1050.0,1050.0,1030.0,1030.0,59100
2021-01-29,1030.0,1080.0,1000.0,1025.0,222400
2021-02-01,1025.0,1025.0,1010.0,1025.0,219500
2021-02-02,1025.0,1025.0,1000.0,1010.0,9700
2021-02-03,1010.0,1040.0,1010.0,1040.0,16900
2021-02-04,1030.0,1055.0,1030.0,1055.0,16500
2021-02-05,1050.0,1065.0,1050.0,1065.0,9100
2021-02-08,1065.0,1070.0,1065.0,1065.0,9200
2021-02-09,1060.0,1060.0,1050.0,1055.0,3500
2021-02-10,1055.0,1055.0,1000.0,1055.0,44200
2021-02-11,1050.0,1055.0,1030.0,1030.0,7600
2021-02-15,1030.0,1030.0,1015.0,1030.0,15000
2021-02-16,1025.0,1050.0,1025.0,1030.0,56200
2021-02-17,1040.0,1040.0,1020.0,1025.0,14500
2021-02-18,1030.0,1030.0,1025.0,1025.0,17900
2021-02-19,1030.0,1050.0,1025.0,1025.0,31900
2021-02-22,1025.0,1025.0,1010.0,1020.0,19000
2021-02-23,1010.0,1060.0,1010.0,1025.0,2300
2021-02-24,1015.0,1040.0,1010.0,1040.0,9100
2021-02-25,1040.0,1060.0,1040.0,1040.0,11300
2021-02-26,1040.0,1040.0,1015.0,1030.0,22500
2021-03-01,1030.0,1030.0,1030.0,1030.0,2500
2021-03-02,1030.0,1060.0,1030.0,1040.0,19100
2021-03-03,1040.0,1045.0,1035.0,1040.0,15200
2021-03-04,1040.0,1040.0,1020.0,1020.0,2200
2021-03-05,1020.0,1045.0,1020.0,1045.0,19500
2021-03-08,1045.0,1045.0,1040.0,1040.0,600
2021-03-09,1030.0,1030.0,1010.0,1015.0,23200
2021-03-10,1000.0,1030.0,995.0,1025.0,32500
2021-03-12,1025.0,1025.0,1010.0,1025.0,19400
2021-03-15,1025.0,1040.0,1010.0,1030.0,45400
2021-03-16,1055.0,1055.0,1040.0,1040.0,101700
2021-03-17,1040.0,1040.0,1040.0,1040.0,4100
2021-03-18,1020.0,1040.0,1020.0,1040.0,1000
2021-03-19,1040.0,1040.0,1030.0,1040.0,20400
2021-03-22,1040.0,1040.0,1040.0,1040.0,2500
2021-03-23,1040.0,1040.0,1015.0,1035.0,3000
2021-03-24,1035.0,1035.0,995.0,1005.0,17700
2021-03-25,1005.0,1010.0,1005.0,1005.0,46400
2021-03-26,1005.0,1055.0,1005.0,1055.0,3100
2021-03-29,1040.0,1060.0,1010.0,1020.0,22400
2021-03-30,1045.0,1050.0,1040.0,1050.0,63400
2021-03-31,1050.0,1050.0,1025.0,1025.0,3600
2021-04-01,1050.0,1050.0,1025.0,1025.0,2500
2021-04-05,1020.0,1025.0,1015.0,1020.0,3900
2021-04-06,1020.0,1045.0,1015.0,1020.0,2100
2021-04-07,1060.0,1060.0,1020.0,1025.0,3000
2021-04-08,1025.0,1055.0,1025.0,1055.0,26800
2021-04-09,1055.0,1060.0,1030.0,1055.0,14200
2021-04-12,1030.0,1040.0,1030.0,1040.0,11000
2021-04-13,1040.0,1040.0,1030.0,1030.0,21500
2021-04-14,1030.0,1055.0,1000.0,1020.0,20700
2021-04-15,1020.0,1025.0,1020.0,1025.0,2800
2021-04-16,1040.0,1040.0,1020.0,1020.0,3800
2021-04-19,1040.0,1040.0,1015.0,1015.0,9800
2021-04-20,1015.0,1035.0,1005.0,1005.0,456700
2021-04-21,1005.0,1015.0,1005.0,1015.0,7800
2021-04-22,1015.0,1020.0,1010.0,1010.0,4200
2021-04-23,1010.0,1010.0,1005.0,1005.0,2600
2021-04-26,1005.0,1020.0,1000.0,1005.0,63400
2021-04-27,1005.0,1005.0,1000.0,1005.0,10200
2021-04-28,1020.0,1020.0,1005.0,1005.0,19300
2021-04-29,1005.0,1010.0,1005.0,1010.0,700
2021-04-30,1010.0,1010.0,1000.0,1000.0,22600
2021-05-03,1005.0,1010.0,1000.0,1010.0,11200
2021-05-04,1010.0,1010.0,1000.0,1000.0,2000
2021-05-05,1000.0,1010.0,1000.0,1005.0,4600
2021-05-06,1005.0,1010.0,1000.0,1005.0,8200
2021-05-07,1000.0,1005.0,1000.0,1005.0,900
2021-05-10,1005.0,1010.0,1005.0,1005.0,900
2021-05-11,1010.0,1015.0,1005.0,1015.0,2800
2021-05-17,1015.0,1020.0,1015.0,1015.0,1200
2021-05-18,1010.0,1010.0,990.0,1010.0,1000
2021-05-19,1010.0,1015.0,1010.0,1010.0,12300
2021-05-20,1000.0,1010.0,1000.0,1010.0,2900
2021-05-21,1010.0,1020.0,1010.0,1010.0,19700
2021-05-24,1020.0,1020.0,1000.0,1005.0,7800
2021-05-25,1005.0,1005.0,1005.0,1005.0,10000
2021-05-27,1005.0,1015.0,1005.0,1015.0,3700
2021-05-28,1020.0,1020.0,1015.0,1020.0,14700
2021-05-31,1020.0,1020.0,1015.0,1015.0,2000
2021-06-02,1015.0,1015.0,1000.0,1010.0,49600
2021-06-03,1010.0,1015.0,1010.0,1010.0,3000
2021-06-04,1010.0,1015.0,1000.0,1000.0,3600
2021-06-07,1005.0,1025.0,1000.0,1025.0,24200
2021-06-08,1025.0,1030.0,1025.0,1025.0,4900
2021-06-09,1025.0,1030.0,1025.0,1030.0,1400
2021-06-10,1030.0,1050.0,1030.0,1030.0,1900
2021-06-11,1030.0,1030.0,1025.0,1025.0,9500
2021-06-14,1025.0,1025.0,1025.0,1025.0,300
2021-06-15,1025.0,1030.0,1025.0,1025.0,5400
2021-06-16,1025.0,1025.0,1000.0,1010.0,13900
2021-06-17,1025.0,1030.0,1000.0,1020.0,146100
2021-06-18,1010.0,1035.0,1000.0,1025.0,8700
2021-06-21,1025.0,1025.0,1010.0,1025.0,20000
2021-06-22,1015.0,1015.0,1015.0,1015.0,400
2021-06-23,1010.0,1030.0,1000.0,1000.0,6700
2021-06-24,1010.0,1025.0,1000.0,1000.0,4500
2021-06-25,1025.0,1040.0,1005.0,1010.0,2900
2021-06-28,1010.0,1010.0,1010.0,1010.0,600
2021-06-29,1010.0,1010.0,1010.0,1010.0,900
2021-06-30,1010.0,1010.0,1000.0,1000.0,3700
2021-07-01,1000.0,1010.0,1000.0,1000.0,33500
2021-07-02,1000.0,1010.0,990.0,1000.0,50600
2021-07-05,1000.0,1000.0,1000.0,1000.0,1900
2021-07-06,1000.0,1000.0,995.0,1000.0,2700
2021-07-07,995.0,1010.0,995.0,1010.0,3500
2021-07-08,1010.0,1020.0,1000.0,1000.0,45700
2021-07-09,1000.0,1005.0,1000.0,1000.0,3000
2021-07-12,1005.0,1005.0,1000.0,1000.0,4700
2021-07-13,1000.0,1000.0,1000.0,1000.0,400
2021-07-14,1000.0,1000.0,1000.0,1000.0,500
2021-07-15,955.0,990.0,950.0,950.0,62100
2021-07-16,950.0,960.0,950.0,960.0,111200
2021-07-19,960.0,960.0,900.0,900.0,16500
2021-07-21,900.0,940.0,900.0,930.0,2600
2021-07-22,930.0,975.0,930.0,975.0,4000
2021-07-23,975.0,980.0,975.0,980.0,6300
2021-07-26,985.0,995.0,975.0,975.0,12200
2021-07-27,975.0,975.0,960.0,960.0,12300
2021-07-28,960.0,970.0,960.0,970.0,1900
2021-07-29,970.0,985.0,970.0,980.0,2700
2021-07-30,970.0,980.0,970.0,980.0,5400
2021-08-02,990.0,1000.0,980.0,1000.0,28000
2021-08-03,1000.0,1045.0,975.0,1015.0,27100
2021-08-04,1015.0,1015.0,995.0,1005.0,4900
2021-08-05,1005.0,1005.0,970.0,985.0,1400
2021-08-06,985.0,995.0,975.0,980.0,8500
2021-08-09,980.0,990.0,980.0,990.0,1800
2021-08-10,990.0,990.0,990.0,990.0,800
2021-08-12,990.0,990.0,970.0,980.0,3000
2021-08-13,980.0,990.0,980.0,990.0,2600
2021-08-16,995.0,995.0,980.0,980.0,5400
2021-08-18,980.0,995.0,980.0,990.0,4000
2021-08-19,995.0,995.0,975.0,975.0,2000
2021-08-20,970.0,970.0,965.0,965.0,3800
2021-08-23,965.0,970.0,955.0,970.0,10100
2021-08-24,965.0,980.0,965.0,970.0,52900
2021-08-25,970.0,980.0,965.0,965.0,3100
2021-08-26,965.0,980.0,960.0,970.0,25500
2021-08-27,970.0,975.0,965.0,970.0,133000
2021-08-30,970.0,975.0,950.0,975.0,54900
2021-08-31,975.0,980.0,960.0,975.0,101200
2021-09-01,975.0,975.0,975.0,975.0,41600
2021-09-02,970.0,970.0,965.0,970.0,5400
2021-09-03,980.0,980.0,975.0,975.0,5000
2021-09-06,965.0,975.0,950.0,975.0,49000
2021-09-07,975.0,975.0,950.0,970.0,286300
2021-09-08,970.0,970.0,950.0,970.0,30100
2021-09-09,975.0,975.0,965.0,970.0,2600
2021-09-10,970.0,970.0,970.0,970.0,1500
2021-09-13,975.0,975.0,965.0,965.0,3300
2021-09-14,965.0,975.0,965.0,975.0,1300
2021-09-15,975.0,980.0,975.0,980.0,5500
2021-09-16,980.0,980.0,980.0,980.0,6000
2021-09-17,970.0,975.0,970.0,975.0,700
2021-09-20,975.0,975.0,975.0,975.0,11400
2021-09-21,950.0,975.0,950.0,970.0,1700
2021-09-22,950.0,975.0,950.0,960.0,9900
2021-09-23,970.0,970.0,960.0,970.0,1700
2021-09-24,975.0,975.0,970.0,970.0,700
2021-09-27,970.0,970.0,960.0,960.0,3100
2021-09-28,960.0,980.0,955.0,980.0,1800
2021-09-29,980.0,995.0,970.0,990.0,4300
2021-09-30,980.0,990.0,965.0,980.0,55400
2021-10-01,980.0,990.0,970.0,975.0,4800
2021-10-04,985.0,985.0,975.0,975.0,8300
2021-10-05,980.0,1050.0,970.0,980.0,85200
2021-10-06,980.0,1000.0,975.0,975.0,19400
2021-10-07,975.0,1045.0,970.0,975.0,52000
2021-10-08,995.0,995.0,975.0,980.0,24900
2021-10-11,980.0,995.0,980.0,980.0,37700
2021-10-12,980.0,1050.0,980.0,1000.0,38300
2021-10-13,980.0,1040.0,975.0,1025.0,16200
2021-10-14,1025.0,1025.0,1010.0,1020.0,14400
2021-10-15,1020.0,1020.0,1010.0,1020.0,3500
2021-10-18,1020.0,1025.0,1015.0,1015.0,12900
2021-10-19,1015.0,1025.0,1015.0,1025.0,20300
2021-10-21,1025.0,1050.0,1025.0,1045.0,27400
2021-10-22,1045.0,1050.0,1045.0,1050.0,88400
2021-10-25,1050.0,1080.0,1050.0,1070.0,52400
2021-10-26,1070.0,1080.0,1000.0,1035.0,31300
2021-10-27,1035.0,1055.0,1005.0,1040.0,3109600
2021-10-28,1050.0,1070.0,1040.0,1040.0,38500
2021-10-29,1040.0,1040.0,1000.0,1025.0,16200
2021-11-01,1025.0,1025.0,1000.0,1010.0,72400
2021-11-02,1025.0,1025.0,1005.0,1005.0,7500
2021-11-03,1030.0,1030.0,1015.0,1015.0,5300
2021-11-04,1005.0,1005.0,960.0,980.0,360900
2021-11-05,980.0,1000.0,970.0,985.0,20700
2021-11-08,985.0,990.0,980.0,980.0,10600
2021-11-09,985.0,995.0,980.0,985.0,415400
2021-11-10,985.0,985.0,980.0,980.0,24000
2021-11-11,980.0,995.0,975.0,995.0,6900
2021-11-12,995.0,1000.0,980.0,1000.0,11600
2021-11-15,1020.0,1020.0,990.0,990.0,18700
2021-11-16,990.0,990.0,975.0,975.0,13600
2021-11-17,1000.0,1000.0,980.0,990.0,12100
2021-11-18,990.0,990.0,990.0,990.0,8800
2021-11-19,990.0,1045.0,990.0,1000.0,18700
2021-11-22,1000.0,1010.0,995.0,995.0,12700
2021-11-23,990.0,1000.0,990.0,990.0,15700
2021-11-24,995.0,995.0,985.0,985.0,2900
2021-11-25,995.0,995.0,975.0,990.0,16100
2021-11-26,985.0,990.0,980.0,985.0,8200
2021-11-29,985.0,985.0,965.0,980.0,16700
2021-11-30,980.0,995.0,980.0,985.0,12300
2021-12-01,985.0,985.0,970.0,975.0,37500
2021-12-02,970.0,980.0,965.0,980.0,11300
2021-12-03,980.0,980.0,980.0,980.0,1500
2021-12-06,980.0,980.0,925.0,925.0,13100
2021-12-07,930.0,965.0,930.0,950.0,4700
2021-12-08,955.0,985.0,955.0,980.0,1800
2021-12-09,980.0,985.0,975.0,980.0,6000
2021-12-10,980.0,985.0,980.0,980.0,17400
2021-12-13,980.0,990.0,980.0,990.0,7100
2021-12-14,990.0,990.0,965.0,985.0,5600
2021-12-15,985.0,995.0,985.0,995.0,9700
2021-12-16,995.0,1000.0,975.0,1000.0,35000
2021-12-17,1005.0,1010.0,975.0,1010.0,22700
2021-12-20,1010.0,1020.0,960.0,970.0,12300
2021-12-21,970.0,970.0,955.0,955.0,12800
2021-12-22,955.0,985.0,955.0,985.0,3500
2021-12-23,980.0,985.0,975.0,985.0,3800
2021-12-24,985.0,1020.0,975.0,1020.0,25200
2021-12-27,1020.0,1020.0,1000.0,1020.0,19400
2021-12-28,1020.0,1020.0,980.0,980.0,3900
2021-12-29,975.0,975.0,975.0,975.0,1300
2021-12-30,975.0,975.0,975.0,975.0,18100
2022-01-03,975.0,1000.0,975.0,1000.0,2700
2022-01-04,1000.0,1250.0,950.0,1025.0,26300
2022-01-05,1025.0,1030.0,975.0,995.0,10700
2022-01-06,990.0,990.0,985.0,985.0,5900
2022-01-07,985.0,1110.0,985.0,985.0,19300
2022-01-10,985.0,1025.0,980.0,995.0,29800
2022-01-11,995.0,1000.0,995.0,1000.0,19800
2022-01-12,1000.0,1000.0,1000.0,1000.0,600
2022-01-13,1000.0,1000.0,960.0,980.0,10800
2022-01-14,980.0,980.0,980.0,980.0,2600
2022-01-17,980.0,1000.0,970.0,995.0,8200
2022-01-18,1000.0,1000.0,950.0,980.0,4200
2022-01-19,980.0,1000.0,980.0,980.0,2100
2022-01-20,980.0,1020.0,980.0,1015.0,13900
2022-01-21,990.0,1025.0,990.0,1025.0,79200
2022-01-24,980.0,1020.0,975.0,980.0,4100
2022-01-25,980.0,1020.0,980.0,1000.0,58300
2022-01-26,1000.0,1020.0,1000.0,1010.0,15300
2022-01-27,990.0,995.0,985.0,995.0,14700
2022-01-28,995.0,1000.0,995.0,1000.0,3300
2022-01-31,975.0,1010.0,975.0,995.0,4000
2022-02-02,990.0,1005.0,975.0,1005.0,13900
2022-02-03,1005.0,1005.0,985.0,985.0,1400
2022-02-04,995.0,995.0,985.0,985.0,3300
2022-02-07,985.0,995.0,980.0,995.0,3900
2022-02-08,990.0,995.0,950.0,985.0,5700
2022-02-09,985.0,1020.0,960.0,965.0,187200
2022-02-10,980.0,980.0,965.0,975.0,7000
2022-02-11,975.0,980.0,965.0,975.0,12000
2022-02-14,975.0,1000.0,975.0,980.0,16200
2022-02-15,980.0,985.0,980.0,985.0,3600
2022-02-16,990.0,990.0,960.0,980.0,25900
2022-02-17,985.0,985.0,980.0,980.0,2100
2022-02-18,980.0,980.0,970.0,975.0,3300
2022-02-21,1000.0,1000.0,975.0,975.0,6200
2022-02-22,975.0,975.0,975.0,975.0,3200
2022-02-23,1000.0,1000.0,970.0,975.0,9600
2022-02-24,975.0,990.0,970.0,970.0,10700
2022-02-25,970.0,980.0,970.0,975.0,300
2022-03-01,965.0,980.0,965.0,980.0,12000
2022-03-02,980.0,980.0,975.0,975.0,3100
2022-03-04,975.0,980.0,965.0,970.0,11100
2022-03-07,970.0,970.0,965.0,970.0,10300
2022-03-08,970.0,970.0,970.0,970.0,7100
2022-03-09,970.0,970.0,960.0,970.0,7300
2022-03-10,970.0,980.0,970.0,975.0,1900
2022-03-11,975.0,975.0,975.0,975.0,1800
2022-03-14,975.0,975.0,970.0,970.0,900
2022-03-15,970.0,980.0,965.0,980.0,29200
2022-03-16,980.0,980.0,955.0,970.0,2600
2022-03-17,970.0,970.0,970.0,970.0,600
2022-03-18,970.0,970.0,970.0,970.0,400
2022-03-21,970.0,970.0,955.0,970.0,8100
2022-03-22,970.0,980.0,970.0,980.0,800
2022-03-23,980.0,980.0,960.0,975.0,800
2022-03-24,975.0,975.0,950.0,950.0,9600
2022-03-25,965.0,965.0,950.0,950.0,24800
2022-03-28,965.0,975.0,965.0,970.0,4200
2022-03-29,965.0,965.0,945.0,950.0,168300
2022-03-30,950.0,975.0,945.0,970.0,27300
2022-03-31,970.0,980.0,950.0,960.0,33600
2022-04-01,960.0,960.0,960.0,960.0,2800
2022-04-04,960.0,980.0,955.0,980.0,14300
2022-04-05,975.0,980.0,940.0,960.0,39800
2022-04-06,960.0,970.0,955.0,960.0,22100
2022-04-07,960.0,960.0,950.0,950.0,5600
2022-04-08,960.0,960.0,950.0,950.0,700
2022-04-11,960.0,960.0,955.0,960.0,2800
2022-04-12,960.0,960.0,950.0,950.0,1500
2022-04-13,950.0,950.0,940.0,950.0,9000
2022-04-14,960.0,960.0,950.0,955.0,2500
2022-04-18,955.0,970.0,950.0,970.0,12600
2022-04-19,970.0,970.0,950.0,950.0,8000
2022-04-20,950.0,950.0,950.0,950.0,100
2022-04-21,960.0,990.0,955.0,980.0,3700
2022-04-22,980.0,980.0,960.0,960.0,7300
