Date,Open,High,Low,Close,Volume
2021-01-04,90.0,90.0,80.0,80.0,127100
2021-01-05,80.0,80.0,75.0,75.0,35700
2021-01-06,71.0,98.0,71.0,77.0,116800
2021-01-07,77.0,90.0,75.0,79.0,260200
2021-01-08,78.0,85.0,77.0,78.0,196700
2021-01-11,78.0,82.0,75.0,76.0,43000
2021-01-12,73.0,82.0,73.0,74.0,358400
2021-01-13,74.0,74.0,71.0,71.0,38300
2021-01-14,69.0,72.0,68.0,71.0,103800
2021-01-15,69.0,95.0,67.0,71.0,593900
2021-01-18,72.0,81.0,70.0,72.0,86100
2021-01-19,75.0,75.0,72.0,73.0,47100
2021-01-20,73.0,73.0,70.0,70.0,41700
2021-01-21,70.0,93.0,70.0,87.0,1743500
2021-01-22,90.0,110.0,83.0,83.0,2357900
2021-01-25,83.0,83.0,78.0,78.0,399200
2021-01-26,78.0,78.0,73.0,73.0,185900
2021-01-27,70.0,73.0,68.0,68.0,200900
2021-01-28,68.0,91.0,67.0,91.0,1557300
2021-01-29,94.0,96.0,85.0,85.0,1059100
2021-02-01,80.0,86.0,80.0,81.0,127200
2021-02-02,81.0,100.0,81.0,89.0,457400
2021-02-03,89.0,99.0,85.0,86.0,70200
2021-02-04,86.0,95.0,85.0,85.0,106300
2021-02-05,85.0,95.0,84.0,93.0,75200
2021-02-08,90.0,93.0,89.0,89.0,280700
2021-02-09,89.0,93.0,84.0,84.0,58600
2021-02-10,85.0,86.0,85.0,86.0,5400
2021-02-11,88.0,94.0,86.0,86.0,61000
2021-02-15,86.0,90.0,86.0,89.0,3900
2021-02-16,84.0,89.0,83.0,83.0,25000
2021-02-17,83.0,89.0,83.0,86.0,20100
2021-02-18,86.0,89.0,82.0,87.0,5600
2021-02-19,84.0,87.0,84.0,87.0,1600
2021-02-22,87.0,87.0,85.0,85.0,13500
2021-02-23,85.0,85.0,82.0,84.0,4200
2021-02-24,84.0,85.0,82.0,85.0,30700
2021-02-25,85.0,85.0,82.0,83.0,9500
2021-02-26,87.0,95.0,82.0,84.0,327900
2021-03-01,82.0,84.0,81.0,81.0,23200
2021-03-02,82.0,86.0,78.0,80.0,135200
2021-03-03,79.0,83.0,78.0,79.0,86800
2021-03-04,76.0,80.0,76.0,79.0,73500
2021-03-05,79.0,80.0,78.0,80.0,69500
