Date,Open,High,Low,Close,Volume
2021-01-04,115.0,118.0,115.0,118.0,3900
2021-01-05,118.0,118.0,115.0,116.0,25600
2021-01-06,116.0,124.0,116.0,118.0,4800
2021-01-07,118.0,118.0,116.0,116.0,6600
2021-01-08,118.0,118.0,116.0,118.0,1800
2021-01-11,118.0,130.0,118.0,122.0,479800
2021-01-12,118.0,120.0,118.0,120.0,60200
2021-01-13,120.0,120.0,116.0,120.0,10300
2021-01-14,118.0,118.0,116.0,118.0,5100
2021-01-15,117.0,118.0,116.0,118.0,15300
2021-01-18,118.0,120.0,116.0,118.0,7600
2021-01-19,118.0,122.0,115.0,120.0,96900
2021-01-20,120.0,128.0,118.0,122.0,39600
2021-01-21,122.0,122.0,115.0,120.0,82100
2021-01-22,120.0,120.0,119.0,119.0,1500
2021-01-25,119.0,119.0,116.0,119.0,5000
2021-01-26,119.0,120.0,119.0,120.0,7700
2021-01-27,120.0,120.0,118.0,118.0,3200
2021-01-28,118.0,120.0,116.0,116.0,9700
2021-01-29,116.0,121.0,114.0,120.0,196800
2021-02-01,120.0,121.0,114.0,119.0,881200
2021-02-02,119.0,120.0,118.0,120.0,900
2021-02-03,120.0,120.0,115.0,120.0,10800
2021-02-04,120.0,120.0,120.0,120.0,6500
2021-02-05,120.0,120.0,120.0,120.0,100
2021-02-08,120.0,121.0,117.0,121.0,14100
2021-02-09,121.0,121.0,116.0,121.0,597300
2021-02-10,121.0,121.0,116.0,120.0,5800
2021-02-11,117.0,120.0,117.0,120.0,36000
2021-02-15,120.0,120.0,120.0,120.0,200
2021-02-16,117.0,120.0,117.0,120.0,1000
2021-02-17,120.0,121.0,118.0,120.0,4100
2021-02-18,117.0,120.0,117.0,120.0,300
2021-02-19,120.0,122.0,120.0,122.0,90100
2021-02-22,122.0,125.0,122.0,125.0,118100
2021-02-23,125.0,125.0,119.0,125.0,132700
2021-02-24,125.0,125.0,123.0,125.0,3600
2021-02-25,124.0,124.0,123.0,123.0,2400
2021-02-26,123.0,123.0,120.0,123.0,12600
2021-03-01,123.0,124.0,120.0,123.0,21600
2021-03-02,120.0,123.0,120.0,123.0,16300
2021-03-03,122.0,123.0,120.0,123.0,20500
2021-03-04,123.0,124.0,120.0,124.0,236400
2021-03-05,125.0,167.0,120.0,126.0,5041300
2021-03-08,126.0,168.0,122.0,124.0,3593700
2021-03-09,135.0,165.0,124.0,131.0,5914400
2021-03-10,134.0,140.0,124.0,131.0,1939100
2021-03-12,131.0,131.0,126.0,128.0,166800
2021-03-15,128.0,139.0,127.0,130.0,342100
2021-03-16,130.0,139.0,128.0,136.0,1265200
2021-03-17,136.0,136.0,127.0,130.0,402000
2021-03-18,130.0,137.0,130.0,136.0,145000
2021-03-19,136.0,137.0,131.0,136.0,146100
2021-03-22,136.0,137.0,131.0,136.0,764500
2021-03-23,136.0,141.0,132.0,139.0,278100
2021-03-24,140.0,146.0,136.0,137.0,198100
2021-03-25,137.0,146.0,135.0,142.0,182200
2021-03-26,142.0,150.0,138.0,149.0,263600
2021-03-29,142.0,146.0,142.0,145.0,212300
2021-03-30,145.0,146.0,136.0,145.0,103600
2021-03-31,143.0,145.0,142.0,143.0,69200
2021-04-01,141.0,147.0,141.0,147.0,82000
2021-04-05,146.0,146.0,137.0,145.0,515200
2021-04-06,145.0,146.0,139.0,145.0,251000
2021-04-07,145.0,147.0,143.0,144.0,157600
2021-04-08,146.0,147.0,142.0,145.0,30600
2021-04-09,145.0,151.0,145.0,148.0,72400
2021-04-12,148.0,158.0,140.0,150.0,11600
2021-04-13,150.0,153.0,145.0,153.0,34000
2021-04-14,153.0,160.0,149.0,151.0,70700
