Date,Open,High,Low,Close,Volume
2021-01-04,685.0,685.0,650.0,662.5,3116400
2021-01-05,680.0,682.5,655.0,662.5,1249000
2021-01-06,687.5,700.0,647.5,655.0,1100400
2021-01-07,672.5,672.5,647.5,665.0,1975200
2021-01-08,690.0,690.0,657.5,670.0,1989400
2021-01-11,695.0,695.0,657.5,680.0,2981200
2021-01-12,705.0,705.0,665.0,690.0,768200
2021-01-13,715.0,715.0,665.0,675.0,1690000
2021-01-14,700.0,700.0,655.0,665.0,1728200
2021-01-15,690.0,690.0,655.0,655.0,1310800
2021-01-18,667.5,667.5,642.5,645.0,861000
2021-01-19,670.0,805.0,647.5,747.5,878200
2021-01-20,747.5,755.0,700.0,700.0,1772000
2021-01-21,697.5,697.5,675.0,677.5,1061200
2021-01-22,702.5,702.5,665.0,670.0,1108000
2021-01-25,685.0,685.0,657.5,657.5,1012600
2021-01-26,682.5,682.5,647.5,660.0,1425200
2021-01-27,660.0,662.5,652.5,662.5,1299800
2021-01-28,687.5,687.5,652.5,655.0,1597800
2021-01-29,657.5,662.5,652.5,662.5,1702600
2021-02-01,662.5,672.5,655.0,672.5,3206600
2021-02-02,675.0,682.5,657.5,682.5,2111600
2021-02-03,682.5,697.5,682.5,697.5,2555000
2021-02-04,722.5,722.5,695.0,700.0,2106000
2021-02-05,700.0,707.5,692.5,707.5,2955000
2021-02-08,707.5,717.5,702.5,715.0,2996800
2021-02-09,715.0,720.0,707.5,712.5,2821200
2021-02-10,715.0,715.0,705.0,712.5,2525600
2021-02-11,715.0,715.0,702.5,715.0,2430400
2021-02-15,740.0,740.0,715.0,727.5,2785800
2021-02-16,742.5,742.5,725.0,732.5,2655200
2021-02-17,735.0,735.0,722.5,722.5,2209200
2021-02-18,722.5,727.5,717.5,727.5,2555400
2021-02-19,727.5,730.0,722.5,730.0,2052800
2021-02-22,730.0,742.5,725.0,740.0,2705000
2021-02-23,740.0,742.5,732.5,742.5,1930200
2021-02-24,742.5,752.5,742.5,747.5,1849800
2021-02-25,747.5,750.0,740.0,742.5,2600200
2021-02-26,742.5,742.5,692.5,692.5,2361600
2021-03-01,700.0,700.0,645.0,652.5,684800
2021-03-02,662.5,662.5,617.5,617.5,235000
2021-03-03,642.5,642.5,617.5,635.0,330000
2021-03-04,660.0,675.0,640.0,675.0,1639000
2021-03-05,700.0,700.0,670.0,695.0,1513200
2021-03-08,697.5,727.5,690.0,727.5,1297800
2021-03-09,740.0,750.0,732.5,747.5,1444600
2021-03-10,752.5,810.0,752.5,795.0,1511400
2021-03-12,802.5,850.0,800.0,850.0,2415200
2021-03-15,855.0,925.0,842.5,865.0,2471000
2021-03-16,870.0,877.5,865.0,872.5,1744200
2021-03-17,875.0,875.0,865.0,865.0,1557800
2021-03-18,867.5,892.5,867.5,892.5,2176400
2021-03-19,895.0,895.0,882.5,885.0,1763600
2021-03-22,910.0,910.0,887.5,895.0,1481600
2021-03-23,920.0,920.0,897.5,920.0,2265200
2021-03-24,922.5,922.5,907.5,910.0,1323000
2021-03-25,912.5,965.0,912.5,965.0,2794200
2021-03-26,967.5,1065.0,965.0,1050.0,2654600
2021-03-29,1050.0,1095.0,1050.0,1075.0,2233800
2021-03-30,1080.0,1105.0,1075.0,1105.0,2017200
2021-03-31,1110.0,1115.0,1070.0,1075.0,1848000
2021-04-01,1075.0,1075.0,1010.0,1050.0,2119600
2021-04-05,1050.0,1055.0,1035.0,1035.0,1694200
2021-04-06,1035.0,1060.0,1030.0,1055.0,1807200
2021-04-07,1060.0,1070.0,1040.0,1065.0,1897000
2021-04-08,1065.0,1080.0,1060.0,1070.0,1925000
2021-04-09,1070.0,1085.0,1065.0,1080.0,1866200
2021-04-12,1085.0,1085.0,1070.0,1070.0,1469000
2021-04-13,1070.0,1080.0,1065.0,1070.0,931000
2021-04-14,1070.0,1115.0,1070.0,1110.0,2127200
2021-04-15,1115.0,1140.0,1115.0,1130.0,2361800
2021-04-16,1130.0,1155.0,1130.0,1140.0,2100400
2021-04-19,1140.0,1150.0,1120.0,1120.0,1941400
2021-04-20,1120.0,1120.0,1105.0,1105.0,1123200
2021-04-21,1105.0,1115.0,1100.0,1100.0,1029200
2021-04-22,1105.0,1130.0,1105.0,1115.0,2221600
2021-04-23,1115.0,1135.0,1115.0,1130.0,1687600
2021-04-26,1135.0,1135.0,1110.0,1110.0,1250800
2021-04-27,1110.0,1135.0,1110.0,1125.0,1477400
2021-04-28,1125.0,1155.0,1125.0,1145.0,1876600
2021-04-29,1145.0,1180.0,1145.0,1165.0,2073200
2021-04-30,1165.0,1180.0,1165.0,1165.0,1233400
2021-05-03,1165.0,1165.0,1140.0,1145.0,1289600
2021-05-04,1145.0,1165.0,1140.0,1150.0,1400400
2021-05-05,1150.0,1185.0,1150.0,1165.0,1881200
2021-05-06,1165.0,1185.0,1160.0,1165.0,1393600
2021-05-07,1170.0,1195.0,1160.0,1160.0,1032600
2021-05-10,1160.0,1200.0,1160.0,1195.0,1987200
2021-05-11,1195.0,1195.0,1160.0,1165.0,1223200
2021-05-17,1165.0,1165.0,1105.0,1105.0,886000
2021-05-18,1105.0,1130.0,1100.0,1100.0,1392000
2021-05-19,1100.0,1100.0,1075.0,1075.0,1083800
2021-05-20,1075.0,1120.0,1075.0,1105.0,1924800
2021-05-21,1110.0,1130.0,1110.0,1120.0,1304600
2021-05-24,1125.0,1150.0,1125.0,1130.0,1375000
2021-05-25,1135.0,1185.0,1130.0,1170.0,2306400
2021-05-27,1175.0,1220.0,1170.0,1200.0,2731200
2021-05-28,1210.0,1250.0,1200.0,1225.0,1901800
2021-05-31,1230.0,1255.0,1230.0,1240.0,1874200
2021-06-02,1245.0,1260.0,1240.0,1240.0,1102000
2021-06-03,1240.0,1240.0,1155.0,1155.0,1028400
2021-06-04,1155.0,1155.0,1105.0,1115.0,1248400
2021-06-07,1120.0,1125.0,1075.0,1115.0,1424200
2021-06-08,1115.0,1115.0,1055.0,1085.0,1079200
