Date,Open,High,Low,Close,Volume
2021-01-04,252.0,270.0,252.0,270.0,21000
2021-01-05,276.0,276.0,268.0,268.0,600
2021-01-06,276.0,276.0,260.0,260.0,400
2021-01-07,260.0,262.0,246.0,254.0,1933000
2021-01-08,254.0,258.0,254.0,256.0,1755900
2021-01-11,256.0,256.0,256.0,256.0,453900
2021-01-12,256.0,260.0,254.0,260.0,1642100
2021-01-13,260.0,260.0,254.0,254.0,1654800
2021-01-14,254.0,258.0,254.0,258.0,648500
2021-01-15,258.0,258.0,254.0,254.0,98800
2021-01-18,254.0,254.0,254.0,254.0,100
2021-01-19,252.0,286.0,252.0,286.0,1188800
2021-01-20,286.0,288.0,280.0,286.0,565100
2021-01-21,282.0,282.0,280.0,280.0,55600
2021-01-22,280.0,280.0,278.0,278.0,36600
2021-01-25,278.0,280.0,264.0,280.0,1154000
2021-01-26,276.0,276.0,274.0,274.0,64500
2021-01-27,272.0,272.0,268.0,268.0,199200
2021-01-28,266.0,276.0,256.0,276.0,422800
2021-01-29,272.0,274.0,260.0,270.0,96100
2021-02-01,270.0,270.0,270.0,270.0,2600
2021-02-02,266.0,266.0,252.0,252.0,20000
2021-02-03,256.0,256.0,252.0,252.0,11100
2021-02-04,254.0,254.0,254.0,254.0,1000
2021-02-05,240.0,240.0,240.0,240.0,10000
2021-02-08,246.0,246.0,226.0,226.0,66400
2021-02-09,226.0,234.0,226.0,234.0,14400
2021-02-10,234.0,234.0,234.0,234.0,0
2021-02-11,230.0,230.0,230.0,230.0,5500
2021-02-15,230.0,234.0,216.0,216.0,69400
2021-02-16,218.0,218.0,214.0,216.0,27700
2021-02-17,218.0,218.0,214.0,214.0,26000
2021-02-18,214.0,218.0,210.0,218.0,21100
2021-02-19,220.0,230.0,218.0,230.0,44700
2021-02-22,230.0,232.0,226.0,232.0,14900
2021-02-23,228.0,240.0,224.0,240.0,76100
2021-02-24,240.0,246.0,234.0,246.0,89600
2021-02-25,244.0,244.0,234.0,234.0,120300
2021-02-26,246.0,246.0,246.0,246.0,100
2021-03-01,246.0,246.0,240.0,246.0,55700
2021-03-02,248.0,252.0,242.0,252.0,117200
2021-03-03,254.0,260.0,240.0,260.0,388100
2021-03-04,262.0,262.0,254.0,256.0,106100
2021-03-05,254.0,254.0,250.0,254.0,68300
2021-03-08,254.0,254.0,240.0,240.0,179100
2021-03-09,238.0,240.0,228.0,228.0,228900
2021-03-10,232.0,232.0,226.0,228.0,15200
2021-03-12,232.0,282.0,226.0,228.0,407200
2021-03-15,270.0,270.0,228.0,228.0,282100
2021-03-16,228.0,228.0,220.0,220.0,74800
2021-03-17,224.0,224.0,220.0,220.0,23100
2021-03-18,220.0,224.0,218.0,218.0,12500
2021-03-19,218.0,220.0,218.0,218.0,5700
2021-03-22,218.0,222.0,204.0,204.0,448300
2021-03-23,204.0,206.0,196.0,196.0,524400
2021-03-24,198.0,198.0,194.0,194.0,61500
2021-03-25,197.0,197.0,185.0,185.0,420000
2021-03-26,184.0,187.0,180.0,180.0,75300
2021-03-29,182.0,182.0,171.0,171.0,357900
2021-03-30,171.0,171.0,165.0,165.0,189900
2021-03-31,165.0,167.0,155.0,155.0,225300
2021-04-01,156.0,159.0,155.0,155.0,57700
2021-04-05,157.0,157.0,155.0,157.0,1900
2021-04-06,156.0,158.0,147.0,147.0,447500
2021-04-07,147.0,165.0,147.0,165.0,395900
2021-04-08,166.0,220.0,166.0,182.0,1285600
2021-04-09,181.0,183.0,174.0,182.0,406200
2021-04-12,182.0,182.0,180.0,180.0,51300
2021-04-13,179.0,180.0,174.0,180.0,246300
2021-04-14,182.0,182.0,176.0,181.0,56600
2021-04-15,181.0,181.0,178.0,181.0,14300
2021-04-16,181.0,181.0,181.0,181.0,8600
2021-04-19,178.0,178.0,178.0,178.0,9300
2021-04-20,178.0,178.0,178.0,178.0,100
2021-04-21,180.0,180.0,170.0,170.0,136500
2021-04-22,172.0,172.0,169.0,170.0,6600
2021-04-23,168.0,171.0,165.0,170.0,63000
2021-04-26,170.0,220.0,170.0,174.0,571400
2021-04-27,172.0,178.0,168.0,178.0,142900
2021-04-28,175.0,175.0,175.0,175.0,600
2021-04-29,175.0,178.0,175.0,178.0,26600
2021-04-30,176.0,178.0,175.0,178.0,14200
2021-05-03,176.0,178.0,175.0,178.0,10100
2021-05-04,179.0,179.0,175.0,178.0,59300
2021-05-05,178.0,178.0,178.0,178.0,0
2021-05-06,176.0,176.0,176.0,176.0,5600
