Date,Open,High,Low,Close,Volume
2021-01-04,104.0,107.0,97.0,107.0,65000
2021-01-05,107.0,113.0,104.0,113.0,13000
2021-01-06,115.0,115.0,106.0,109.0,4400
2021-01-07,109.0,115.0,109.0,115.0,33500
2021-01-08,115.0,116.0,107.0,114.0,55400
2021-01-11,114.0,115.0,107.0,115.0,60000
2021-01-12,108.0,110.0,108.0,110.0,20500
2021-01-13,107.0,107.0,103.0,105.0,21800
2021-01-14,105.0,109.0,105.0,109.0,2600
2021-01-15,106.0,111.0,105.0,111.0,72300
2021-01-18,111.0,111.0,111.0,111.0,0
2021-01-19,111.0,111.0,111.0,111.0,100
2021-01-20,111.0,111.0,111.0,111.0,0
2021-01-21,105.0,111.0,105.0,110.0,138800
2021-01-22,109.0,109.0,109.0,109.0,200
2021-01-25,104.0,104.0,104.0,104.0,44800
2021-01-26,104.0,108.0,100.0,100.0,3000
2021-01-27,100.0,100.0,100.0,100.0,100
2021-01-28,95.0,95.0,95.0,95.0,200
2021-01-29,91.0,109.0,89.0,109.0,1100
2021-02-01,109.0,109.0,102.0,102.0,1000
2021-02-02,95.0,100.0,95.0,98.0,10100
2021-02-03,98.0,109.0,98.0,105.0,38700
2021-02-04,102.0,102.0,100.0,100.0,36000
2021-02-05,110.0,110.0,93.0,94.0,69200
2021-02-08,99.0,109.0,99.0,100.0,15000
2021-02-09,110.0,113.0,100.0,107.0,29200
2021-02-10,113.0,113.0,100.0,100.0,21400
2021-02-11,105.0,110.0,100.0,109.0,22200
2021-02-15,102.0,114.0,102.0,109.0,1400
2021-02-16,105.0,105.0,103.0,103.0,1300
2021-02-17,114.0,114.0,101.0,111.0,2700
2021-02-18,115.0,115.0,104.0,104.0,2600
2021-02-19,104.0,105.0,101.0,101.0,700
2021-02-22,101.0,113.0,100.0,110.0,5700
2021-02-23,104.0,113.0,104.0,105.0,9200
2021-02-24,104.0,111.0,103.0,103.0,4000
2021-02-25,105.0,105.0,105.0,105.0,1000
2021-02-26,111.0,111.0,109.0,109.0,2900
2021-03-01,109.0,109.0,105.0,105.0,1000
2021-03-02,105.0,105.0,98.0,105.0,1400
2021-03-03,105.0,108.0,105.0,108.0,2400
2021-03-04,108.0,108.0,108.0,108.0,1500
2021-03-05,111.0,112.0,111.0,112.0,2000
2021-03-08,105.0,106.0,105.0,106.0,30100
2021-03-09,106.0,113.0,104.0,104.0,50400
2021-03-10,104.0,104.0,103.0,104.0,17200
2021-03-12,104.0,113.0,104.0,110.0,20100
2021-03-15,109.0,109.0,103.0,108.0,35000
2021-03-16,108.0,108.0,108.0,108.0,0
2021-03-17,108.0,108.0,108.0,108.0,0
2021-03-18,108.0,108.0,108.0,108.0,0
2021-03-19,108.0,108.0,108.0,108.0,200
2021-03-22,108.0,108.0,101.0,107.0,815300
2021-03-23,106.0,106.0,105.0,105.0,300
2021-03-24,105.0,105.0,104.0,104.0,200
2021-03-25,104.0,104.0,104.0,104.0,200
2021-03-26,104.0,104.0,103.0,103.0,300
2021-03-29,102.0,102.0,102.0,102.0,500
2021-03-30,102.0,102.0,102.0,102.0,500
2021-03-31,102.0,102.0,102.0,102.0,700
2021-04-01,102.0,102.0,95.0,95.0,30400
2021-04-05,95.0,99.0,95.0,95.0,7900
2021-04-06,95.0,97.0,95.0,97.0,7800
2021-04-07,97.0,97.0,96.0,96.0,2800
2021-04-08,96.0,100.0,95.0,95.0,17500
2021-04-09,95.0,100.0,95.0,95.0,1300
2021-04-12,95.0,95.0,95.0,95.0,0
2021-04-13,95.0,95.0,95.0,95.0,0
2021-04-14,95.0,100.0,95.0,96.0,1200
2021-04-15,95.0,97.0,95.0,95.0,4200
2021-04-16,95.0,95.0,95.0,95.0,3100
