Date,Open,High,Low,Close,Volume
2023-10-06,120.0,135.0,120.0,135.0,104582900
2023-10-09,135.0,158.0,89.0,103.0,620324600
2023-10-10,104.0,104.0,94.0,100.0,155904200
2023-10-11,115.0,115.0,95.0,99.0,51361000
2023-10-12,98.0,111.0,98.0,105.0,147452900
2023-10-13,105.0,106.0,90.0,98.0,77715700
2023-10-16,96.0,100.0,93.0,98.0,105519200
2023-10-17,99.0,100.0,86.0,92.0,43890200
2023-10-18,76.0,93.0,76.0,92.0,26520700
2023-10-19,86.0,107.0,86.0,100.0,118861000
2023-10-20,100.0,105.0,97.0,100.0,51224900
2023-10-23,101.0,104.0,98.0,101.0,17230300
2023-10-24,101.0,107.0,100.0,102.0,40613900
2023-10-25,103.0,109.0,96.0,102.0,85438100
2023-10-26,102.0,104.0,99.0,101.0,30865200
2023-10-27,102.0,106.0,101.0,103.0,51038300
2023-10-30,103.0,112.0,103.0,104.0,73462400
2023-10-31,106.0,108.0,103.0,104.0,28507900
2023-11-01,104.0,109.0,96.0,106.0,71411900
2023-11-02,107.0,114.0,104.0,108.0,47162100
2023-11-03,109.0,113.0,106.0,109.0,29936300
2023-11-06,109.0,129.0,107.0,114.0,144599700
2023-11-07,114.0,120.0,114.0,120.0,41529600
2023-11-08,121.0,129.0,111.0,123.0,74227900
2023-11-09,124.0,126.0,112.0,113.0,39375000
2023-11-10,114.0,117.0,109.0,110.0,26451200
2023-11-13,110.0,120.0,109.0,115.0,32370100
2023-11-14,117.0,123.0,115.0,122.0,66376300
2023-11-15,123.0,133.0,120.0,132.0,99100000
2023-11-16,132.0,142.0,131.0,136.0,72061800
2023-11-17,136.0,139.0,123.0,138.0,59108300
2023-11-20,138.0,146.0,129.0,145.0,77434600
2023-11-21,145.0,148.0,141.0,144.0,67557000
2023-11-22,144.0,147.0,136.0,142.0,77321700
2023-11-23,142.0,145.0,127.0,132.0,52771300
2023-11-24,130.0,131.0,123.0,127.0,56071100
2023-11-27,125.0,130.0,119.0,128.0,37288300
2023-11-28,128.0,134.0,125.0,132.0,59533400
2023-11-29,135.0,139.0,130.0,135.0,58581800
2023-11-30,138.0,141.0,133.0,140.0,94611900
2023-12-01,140.0,150.0,139.0,146.0,173721200
2023-12-04,146.0,149.0,142.0,142.0,73437100
2023-12-05,141.0,142.0,136.0,137.0,70255700
2023-12-06,137.0,138.0,132.0,138.0,73172000
2023-12-07,138.0,158.0,136.0,158.0,97135100
2023-12-08,159.0,180.0,151.0,166.0,179029000
2023-12-11,166.0,170.0,161.0,166.0,74034100
2023-12-12,166.0,167.0,162.0,162.0,74563900
2023-12-13,162.0,165.0,159.0,164.0,42572000
2023-12-14,165.0,167.0,161.0,165.0,52488800
2023-12-15,165.0,166.0,162.0,164.0,74818600
2023-12-18,164.0,166.0,160.0,161.0,94326600
2023-12-19,161.0,161.0,149.0,151.0,47743100
2023-12-20,151.0,155.0,150.0,153.0,55625600
2023-12-21,153.0,156.0,149.0,151.0,95229800
2023-12-22,152.0,154.0,114.0,153.0,173627300
2023-12-27,153.0,156.0,150.0,153.0,74139200
2023-12-28,153.0,154.0,149.0,150.0,22490000
2023-12-29,149.0,170.0,145.0,150.0,59533800
2024-01-02,151.0,151.0,147.0,151.0,85036000
2024-01-03,151.0,152.0,147.0,151.0,20405500
2024-01-04,151.0,156.0,149.0,155.0,16286100
2024-01-05,156.0,158.0,153.0,157.0,56687000
2024-01-08,157.0,162.0,156.0,162.0,81091700
2024-01-09,162.0,162.0,133.0,157.0,16048600
2024-01-10,156.0,158.0,150.0,158.0,30962800
2024-01-11,160.0,169.0,151.0,158.0,56670500
2024-01-12,158.0,160.0,155.0,159.0,51588300
2024-01-15,159.0,159.0,159.0,159.0,0
2024-01-16,165.0,174.0,162.0,170.0,62024000
2024-01-17,170.0,173.0,166.0,168.0,49816300
2024-01-18,171.0,179.0,166.0,178.0,90050900
2024-01-19,180.0,182.0,172.0,174.0,23480700
2024-01-22,174.0,177.0,171.0,176.0,25752600
2024-01-23,177.0,178.0,174.0,177.0,50037700
2024-01-24,175.0,178.0,174.0,175.0,49041200
2024-01-25,178.0,178.0,173.0,176.0,10646200
2024-01-26,176.0,176.0,172.0,172.0,16171500
2024-01-29,171.0,173.0,167.0,172.0,37976000
2024-01-30,172.0,187.0,170.0,180.0,86012900
2024-01-31,181.0,191.0,178.0,191.0,52280400
2024-02-01,191.0,198.0,189.0,197.0,35318300
2024-02-02,197.0,226.0,195.0,224.0,97804000
2024-02-05,226.0,232.0,218.0,222.0,57587200
2024-02-06,222.0,224.0,216.0,222.0,17497100
2024-02-07,222.0,224.0,200.0,220.0,23182900
2024-02-12,220.0,220.0,204.0,208.0,42588300
2024-02-13,214.0,214.0,193.0,206.0,44346800
2024-02-15,204.0,214.0,197.0,212.0,28940200
2024-02-16,214.0,226.0,206.0,224.0,49145100
2024-02-19,226.0,226.0,216.0,216.0,27004900
2024-02-20,216.0,252.0,210.0,250.0,72919700
2024-02-21,252.0,252.0,236.0,248.0,26520100
2024-02-22,250.0,250.0,218.0,242.0,20306600
2024-02-23,244.0,244.0,230.0,238.0,28481300
2024-02-26,238.0,246.0,232.0,244.0,46372300
2024-02-27,244.0,248.0,238.0,240.0,24177100
2024-02-28,240.0,244.0,230.0,242.0,22533400
2024-02-29,246.0,270.0,238.0,268.0,62216500
2024-03-01,268.0,268.0,252.0,260.0,20035400
2024-03-04,260.0,264.0,248.0,250.0,15827400
2024-03-05,252.0,260.0,246.0,256.0,36362200
2024-03-06,258.0,258.0,246.0,254.0,24398200
2024-03-07,258.0,258.0,192.0,222.0,43385200
2024-03-08,222.0,222.0,200.0,206.0,12205900
2024-03-13,204.0,216.0,202.0,202.0,15159600
2024-03-14,202.0,202.0,168.0,168.0,61218200
2024-03-15,141.0,171.0,141.0,149.0,64675100
2024-03-18,129.0,149.0,106.0,109.0,44472500
2024-03-19,71.0,122.0,71.0,112.0,36719500
2024-03-20,113.0,117.0,108.0,114.0,65487100
2024-03-21,105.0,122.0,105.0,115.0,79497600
2024-03-22,106.0,117.0,106.0,113.0,46514300
2024-03-25,113.0,113.0,113.0,113.0,0
2024-03-26,113.0,113.0,113.0,113.0,0
2024-03-27,117.0,168.0,117.0,130.0,106567400
2024-03-28,121.0,147.0,120.0,121.0,69896200
2024-04-01,112.0,124.0,112.0,118.0,18628100
2024-04-02,109.0,137.0,109.0,136.0,81174400
2024-04-03,138.0,143.0,124.0,133.0,95927500
2024-04-04,133.0,143.0,133.0,137.0,20179900
2024-04-05,138.0,143.0,137.0,137.0,38118800
2024-04-16,138.0,149.0,125.0,148.0,76035800
2024-04-17,149.0,198.0,148.0,194.0,83672100
2024-04-18,198.0,198.0,151.0,162.0,31767200
2024-04-19,161.0,170.0,153.0,161.0,32135000
2024-04-22,161.0,196.0,161.0,195.0,90602900
2024-04-23,197.0,199.0,159.0,169.0,65576600
2024-04-24,170.0,173.0,162.0,170.0,27353400
2024-04-25,171.0,179.0,166.0,179.0,56279400
2024-04-26,179.0,196.0,172.0,178.0,122122500
2024-04-29,178.0,178.0,130.0,131.0,92040800
2024-04-30,131.0,132.0,116.0,121.0,22124300
2024-05-02,112.0,123.0,112.0,117.0,30844300
2024-05-03,109.0,136.0,109.0,122.0,102274800
2024-05-06,122.0,125.0,116.0,116.0,80881600
2024-05-07,116.0,121.0,112.0,113.0,15666700
2024-05-08,113.0,114.0,109.0,110.0,45475600
2024-05-13,110.0,113.0,107.0,110.0,70922700
2024-05-14,111.0,113.0,108.0,108.0,79160700
2024-05-15,103.0,112.0,103.0,111.0,26035200
2024-05-16,111.0,114.0,105.0,106.0,67248500
2024-05-17,107.0,108.0,103.0,104.0,81946000
2024-05-20,103.0,106.0,98.0,100.0,89773300
2024-05-21,92.0,100.0,92.0,95.0,15477900
2024-05-22,94.0,95.0,84.0,84.0,45681200
2024-05-27,81.0,88.0,74.0,74.0,128953100
2024-05-28,74.0,77.0,73.0,75.0,102057500
2024-05-29,66.0,78.0,66.0,73.0,5751700
2024-05-30,74.0,74.0,69.0,70.0,27893900
2024-05-31,79.0,79.0,62.0,64.0,96449000
2024-06-03,74.0,74.0,60.0,65.0,103592000
2024-06-04,57.0,67.0,57.0,66.0,3569000
2024-06-05,66.0,66.0,63.0,65.0,30614700
2024-06-06,63.0,68.0,63.0,68.0,101336200
2024-06-07,68.0,83.0,65.0,67.0,148386300
2024-06-10,60.0,68.0,60.0,64.0,6297000
2024-06-11,58.0,68.0,58.0,66.0,32180800
2024-06-12,59.0,68.0,59.0,65.0,102381900
2024-06-13,60.0,72.0,60.0,66.0,105783200
2024-06-14,65.0,67.0,62.0,65.0,6011800
2024-06-19,64.0,65.0,58.0,61.0,38043900
2024-06-20,59.0,66.0,59.0,62.0,109626100
2024-06-21,56.0,63.0,56.0,61.0,113836400
2024-06-24,56.0,66.0,56.0,62.0,2967300
2024-06-25,63.0,64.0,61.0,62.0,43509900
2024-06-26,61.0,67.0,61.0,62.0,118718200
2024-06-27,55.0,64.0,55.0,60.0,109199000
2024-06-28,54.0,61.0,54.0,60.0,5956500
2024-07-01,60.0,61.0,59.0,61.0,30717600
2024-07-02,61.0,62.0,59.0,61.0,116307200
2024-07-03,61.0,62.0,59.0,61.0,113947000
2024-07-04,59.0,62.0,59.0,61.0,1060600
2024-07-05,60.0,74.0,60.0,72.0,75997800
2024-07-08,64.0,73.0,64.0,66.0,122455900
2024-07-09,68.0,68.0,65.0,65.0,107495000
2024-07-10,65.0,68.0,65.0,66.0,3424600
2024-07-11,67.0,89.0,67.0,89.0,80316100
2024-07-12,100.0,119.0,78.0,80.0,147524900
2024-07-15,73.0,94.0,73.0,83.0,109843900
2024-07-16,75.0,87.0,75.0,83.0,8422600
2024-07-17,75.0,112.0,75.0,112.0,88296100
2024-07-18,114.0,130.0,90.0,106.0,115907000
2024-07-19,106.0,112.0,103.0,104.0,83350100
2024-07-22,95.0,136.0,85.0,124.0,73833700
2024-07-23,124.0,131.0,117.0,121.0,52830700
2024-07-24,121.0,135.0,111.0,116.0,96625500
2024-07-25,106.0,125.0,106.0,116.0,57645200
2024-07-26,116.0,118.0,110.0,113.0,16976600
2024-07-29,104.0,115.0,104.0,112.0,19969600
2024-07-30,113.0,116.0,96.0,98.0,49718400
2024-07-31,89.0,101.0,89.0,98.0,56659300
2024-08-01,88.0,101.0,88.0,97.0,9749300
2024-08-02,97.0,97.0,86.0,86.0,35498300
2024-08-05,77.0,88.0,74.0,79.0,70031800
2024-08-06,74.0,85.0,74.0,80.0,54875100
2024-08-07,79.0,82.0,78.0,80.0,5592000
2024-08-08,72.0,81.0,72.0,78.0,24553200
2024-08-09,77.0,81.0,77.0,78.0,43368400
2024-08-12,78.0,81.0,77.0,80.0,49194300
2024-08-13,80.0,82.0,80.0,81.0,18666800
2024-08-14,81.0,97.0,81.0,92.0,63760500
2024-08-15,92.0,112.0,86.0,104.0,95849800
2024-08-16,110.0,116.0,101.0,109.0,74005300
2024-08-19,99.0,122.0,99.0,116.0,30082600
2024-08-20,117.0,133.0,113.0,132.0,67683000
2024-08-21,138.0,143.0,106.0,106.0,137900300
2024-08-22,107.0,107.0,98.0,98.0,67042100
2024-08-23,99.0,103.0,98.0,99.0,14655100
2024-08-26,90.0,107.0,90.0,100.0,55847400
2024-08-27,91.0,102.0,91.0,100.0,5125300
2024-08-28,100.0,102.0,100.0,102.0,72472800
2024-08-29,102.0,102.0,100.0,102.0,5367200
2024-08-30,102.0,107.0,101.0,104.0,50020100
2024-09-02,120.0,127.0,103.0,124.0,72327300
2024-09-03,125.0,135.0,121.0,124.0,108963600
2024-09-04,124.0,127.0,117.0,122.0,11018400
2024-09-05,123.0,130.0,123.0,125.0,33622100
2024-09-06,126.0,128.0,121.0,126.0,5870800
2024-09-09,126.0,164.0,122.0,132.0,154165800
2024-09-10,132.0,135.0,126.0,128.0,14228500
2024-09-11,129.0,135.0,126.0,128.0,52373700
2024-09-12,128.0,131.0,125.0,128.0,16555400
2024-09-13,128.0,133.0,117.0,117.0,81907500
2024-09-17,119.0,119.0,110.0,117.0,4718300
2024-09-18,117.0,118.0,92.0,92.0,28870600
2024-09-19,95.0,124.0,93.0,124.0,54529200
2024-09-20,137.0,144.0,119.0,121.0,43330000
2024-09-23,122.0,127.0,110.0,115.0,54608700
2024-09-24,116.0,142.0,116.0,141.0,101856600
2024-09-25,141.0,144.0,132.0,136.0,14365500
2024-09-26,136.0,140.0,133.0,138.0,7771100
2024-09-27,141.0,141.0,134.0,136.0,41401900
2024-09-30,136.0,139.0,127.0,129.0,17511900
2024-10-01,129.0,132.0,127.0,131.0,1189000
2024-10-02,130.0,135.0,127.0,130.0,5609400
2024-10-03,130.0,133.0,129.0,132.0,21672300
2024-10-04,132.0,145.0,128.0,135.0,24711600
2024-10-07,136.0,182.0,134.0,182.0,110893700
2024-10-08,191.0,230.0,171.0,178.0,43112700
2024-10-09,175.0,191.0,175.0,180.0,22078800
2024-10-10,181.0,182.0,171.0,178.0,15480800
2024-10-11,178.0,191.0,175.0,181.0,49457800
2024-10-14,190.0,216.0,176.0,197.0,39029500
2024-10-15,199.0,216.0,194.0,204.0,48456700
2024-10-16,206.0,222.0,192.0,194.0,36579300
2024-10-17,194.0,208.0,186.0,194.0,37972700
2024-10-18,197.0,214.0,197.0,202.0,17762900
2024-10-21,206.0,250.0,198.0,232.0,50430300
2024-10-22,232.0,234.0,208.0,218.0,25894200
2024-10-23,218.0,218.0,204.0,214.0,29235000
2024-10-24,214.0,224.0,206.0,218.0,33501300
2024-10-25,222.0,250.0,212.0,250.0,15282500
2024-10-28,250.0,250.0,250.0,250.0,0
2024-10-29,250.0,270.0,224.0,244.0,43154900
2024-10-30,244.0,266.0,242.0,252.0,56193100
2024-10-31,252.0,264.0,242.0,252.0,22155700
2024-11-01,252.0,304.0,250.0,274.0,42157700
2024-11-04,274.0,276.0,212.0,260.0,41031700
2024-11-05,260.0,272.0,252.0,264.0,36138200
2024-11-06,270.0,274.0,256.0,260.0,17202200
2024-11-07,258.0,266.0,254.0,262.0,3175300
2024-11-08,264.0,268.0,258.0,260.0,6798000
2024-11-11,260.0,274.0,252.0,274.0,21435100
