Date,Open,High,Low,Close,Volume
2021-12-09,100.0,135.0,94.0,135.0,116416900
2021-12-10,148.0,182.0,148.0,182.0,7818300
2021-12-13,230.0,244.0,230.0,244.0,59466000
2021-12-14,252.0,304.0,228.0,228.0,53711600
2021-12-15,214.0,214.0,214.0,214.0,3302100
2021-12-16,200.0,200.0,200.0,200.0,4714400
2021-12-17,186.0,216.0,186.0,186.0,98356900
2021-12-20,246.0,246.0,173.0,173.0,21150400
2021-12-21,163.0,230.0,163.0,224.0,99027300
2021-12-22,280.0,280.0,218.0,224.0,76586800
2021-12-23,224.0,270.0,212.0,254.0,129620200
2021-12-24,258.0,260.0,238.0,238.0,58343200
2021-12-27,230.0,252.0,222.0,222.0,61888100
2021-12-28,222.0,228.0,208.0,208.0,33794100
2021-12-29,208.0,218.0,194.0,200.0,54354900
2021-12-30,204.0,210.0,186.0,188.0,61760700
2022-01-03,190.0,220.0,188.0,208.0,45695600
2022-01-04,210.0,218.0,200.0,206.0,16401100
2022-01-05,208.0,212.0,202.0,202.0,12151100
2022-01-06,202.0,202.0,190.0,199.0,22463400
2022-01-07,199.0,208.0,197.0,198.0,10337900
2022-01-10,200.0,202.0,192.0,192.0,11655400
2022-01-11,192.0,208.0,192.0,196.0,23973600
2022-01-12,198.0,202.0,192.0,193.0,13086400
2022-01-13,194.0,197.0,180.0,185.0,39895500
2022-01-14,185.0,188.0,173.0,174.0,45011500
2022-01-17,170.0,178.0,162.0,163.0,38839900
2022-01-18,163.0,164.0,152.0,158.0,31062200
2022-01-19,159.0,186.0,159.0,162.0,77350300
2022-01-20,162.0,166.0,157.0,158.0,16293000
2022-01-21,158.0,164.0,152.0,155.0,16874600
2022-01-24,156.0,158.0,153.0,155.0,7680200
2022-01-25,155.0,157.0,145.0,147.0,23902300
2022-01-26,147.0,171.0,141.0,162.0,29795100
2022-01-27,163.0,208.0,163.0,202.0,246662300
2022-01-28,204.0,208.0,188.0,195.0,91831700
2022-01-31,195.0,214.0,195.0,199.0,99233100
2022-02-02,199.0,210.0,196.0,210.0,60423200
2022-02-03,210.0,246.0,210.0,238.0,154955800
2022-02-04,240.0,256.0,222.0,222.0,161219100
2022-02-07,222.0,234.0,208.0,224.0,95520600
2022-02-08,226.0,236.0,220.0,228.0,37656700
2022-02-09,230.0,244.0,228.0,244.0,51634000
2022-02-10,248.0,282.0,246.0,264.0,207135700
2022-02-11,264.0,274.0,256.0,270.0,52662600
2022-02-14,268.0,332.0,264.0,324.0,279785000
2022-02-15,324.0,396.0,324.0,396.0,271788200
2022-02-16,406.0,492.0,400.0,460.0,329420700
2022-02-17,460.0,464.0,428.0,428.0,29031500
2022-02-18,400.0,400.0,400.0,400.0,9999900
2022-02-21,434.0,500.0,372.0,480.0,419963200
2022-02-22,484.0,560.0,484.0,535.0,216990700
2022-02-23,615.0,615.0,498.0,498.0,108730600
2022-02-24,496.0,496.0,464.0,464.0,13213700
2022-02-25,450.0,515.0,432.0,432.0,144495900
2022-03-01,432.0,540.0,430.0,540.0,214332700
2022-03-02,580.0,660.0,525.0,600.0,352899300
2022-03-04,615.0,615.0,560.0,560.0,40466900
2022-03-07,530.0,545.0,525.0,525.0,106329000
2022-03-08,525.0,600.0,490.0,490.0,172537500
2022-03-09,486.0,510.0,456.0,456.0,76356700
2022-03-10,456.0,464.0,426.0,426.0,37250000
2022-03-11,406.0,442.0,402.0,428.0,76960500
2022-03-14,428.0,428.0,428.0,428.0,0
2022-03-15,444.0,456.0,412.0,414.0,39457000
2022-03-16,416.0,432.0,392.0,392.0,26988800
2022-03-17,390.0,412.0,366.0,376.0,73822300
2022-03-18,390.0,470.0,368.0,452.0,286216600
2022-03-21,454.0,498.0,432.0,476.0,219771800
2022-03-22,478.0,494.0,460.0,460.0,107241000
2022-03-23,476.0,484.0,454.0,466.0,49394100
2022-03-24,468.0,472.0,434.0,434.0,78529500
