Date,Open,High,Low,Close,Volume
2021-01-04,100.0,100.0,97.0,100.0,2700
2021-01-05,100.0,100.0,99.0,99.0,200
2021-01-06,98.0,98.0,97.0,98.0,500
2021-01-07,99.0,101.0,97.0,101.0,67700
2021-01-08,101.0,136.0,101.0,136.0,671000
2021-01-11,146.0,183.0,146.0,183.0,204300
2021-01-12,202.0,246.0,202.0,246.0,1072300
2021-01-13,258.0,306.0,258.0,290.0,3119600
2021-01-14,298.0,340.0,270.0,270.0,1076000
2021-01-15,260.0,270.0,252.0,252.0,136500
2021-01-18,248.0,248.0,236.0,236.0,192800
2021-01-19,222.0,232.0,220.0,220.0,71100
2021-01-20,206.0,206.0,206.0,206.0,59500
2021-01-21,192.0,193.0,192.0,192.0,272900
2021-01-22,192.0,192.0,179.0,179.0,60400
2021-01-25,178.0,178.0,167.0,167.0,40900
2021-01-26,165.0,190.0,156.0,156.0,585400
2021-01-27,156.0,166.0,146.0,165.0,133700
2021-01-28,166.0,198.0,154.0,172.0,252800
2021-01-29,172.0,178.0,160.0,164.0,79400
2021-02-01,153.0,163.0,153.0,161.0,411500
2021-02-02,151.0,159.0,150.0,150.0,223400
2021-02-03,150.0,150.0,140.0,149.0,107500
2021-02-04,149.0,149.0,139.0,140.0,130100
2021-02-05,140.0,167.0,133.0,140.0,169600
2021-02-08,148.0,148.0,131.0,141.0,70500
2021-02-09,141.0,144.0,134.0,136.0,12800
2021-02-10,136.0,183.0,136.0,183.0,683600
2021-02-11,193.0,244.0,191.0,191.0,9785000
2021-02-15,191.0,191.0,178.0,178.0,147600
2021-02-16,178.0,178.0,166.0,166.0,170900
2021-02-17,163.0,163.0,155.0,155.0,107500
2021-02-18,145.0,174.0,145.0,147.0,1795700
2021-02-19,147.0,174.0,139.0,144.0,3711600
2021-02-22,144.0,149.0,140.0,142.0,443200
2021-02-23,137.0,155.0,137.0,149.0,692300
2021-02-24,149.0,154.0,148.0,150.0,360100
2021-02-25,150.0,151.0,145.0,146.0,291600
2021-02-26,146.0,164.0,143.0,146.0,2747100
2021-03-01,145.0,150.0,144.0,150.0,965100
2021-03-02,150.0,150.0,146.0,146.0,222900
