Date,Open,High,Low,Close,Volume
2021-01-04,476.0,476.0,476.0,476.0,200
2021-01-05,474.0,474.0,474.0,474.0,500
2021-01-06,474.0,474.0,474.0,474.0,0
2021-01-07,474.0,474.0,474.0,474.0,0
2021-01-08,450.0,450.0,450.0,450.0,100
2021-01-11,420.0,420.0,420.0,420.0,1600
2021-01-12,420.0,420.0,416.0,418.0,400
2021-01-13,418.0,420.0,418.0,420.0,7600
2021-01-14,420.0,420.0,420.0,420.0,0
2021-01-15,420.0,420.0,420.0,420.0,0
2021-01-18,400.0,400.0,396.0,398.0,24300
2021-01-19,398.0,398.0,398.0,398.0,0
2021-01-20,376.0,378.0,376.0,378.0,3700
2021-01-21,358.0,358.0,358.0,358.0,300
2021-01-22,358.0,358.0,358.0,358.0,0
2021-01-25,338.0,358.0,338.0,358.0,4200
2021-01-26,338.0,338.0,338.0,338.0,200
2021-01-27,318.0,338.0,318.0,320.0,4000
2021-01-28,300.0,300.0,300.0,300.0,200
2021-01-29,282.0,300.0,282.0,300.0,4100
2021-02-01,282.0,298.0,282.0,298.0,200
2021-02-02,280.0,300.0,280.0,300.0,4000
2021-02-03,298.0,298.0,282.0,284.0,300
2021-02-04,280.0,284.0,268.0,268.0,4100
2021-02-05,260.0,260.0,250.0,250.0,200
2021-02-08,262.0,262.0,262.0,262.0,3700
2021-02-09,262.0,262.0,262.0,262.0,0
2021-02-10,262.0,262.0,262.0,262.0,0
2021-02-11,246.0,246.0,246.0,246.0,100
2021-02-15,246.0,246.0,246.0,246.0,0
2021-02-16,246.0,246.0,246.0,246.0,0
2021-02-17,246.0,246.0,246.0,246.0,0
2021-02-18,246.0,246.0,246.0,246.0,0
2021-02-19,256.0,270.0,256.0,270.0,2200
2021-02-22,270.0,270.0,270.0,270.0,0
2021-02-23,270.0,270.0,270.0,270.0,0
2021-02-24,270.0,270.0,270.0,270.0,0
2021-02-25,270.0,270.0,270.0,270.0,0
2021-02-26,260.0,260.0,260.0,260.0,100
2021-03-01,282.0,290.0,282.0,282.0,1000
2021-03-02,284.0,284.0,284.0,284.0,100
2021-03-03,284.0,284.0,284.0,284.0,0
2021-03-04,284.0,284.0,284.0,284.0,0
2021-03-05,284.0,284.0,284.0,284.0,0
2021-03-08,284.0,284.0,284.0,284.0,0
2021-03-09,284.0,284.0,284.0,284.0,0
2021-03-10,284.0,284.0,284.0,284.0,0
2021-03-12,284.0,284.0,284.0,284.0,0
2021-03-15,284.0,284.0,284.0,284.0,0
2021-03-16,284.0,284.0,284.0,284.0,0
2021-03-17,284.0,284.0,284.0,284.0,0
2021-03-18,270.0,270.0,270.0,270.0,100
2021-03-19,270.0,270.0,270.0,270.0,0
2021-03-22,270.0,270.0,270.0,270.0,0
2021-03-23,270.0,270.0,270.0,270.0,0
2021-03-24,270.0,270.0,270.0,270.0,0
2021-03-25,270.0,270.0,270.0,270.0,0
2021-03-26,270.0,270.0,270.0,270.0,0
2021-03-29,270.0,270.0,270.0,270.0,0
2021-03-30,270.0,270.0,270.0,270.0,0
2021-03-31,270.0,270.0,270.0,270.0,0
2021-04-01,270.0,270.0,270.0,270.0,0
2021-04-05,270.0,270.0,270.0,270.0,0
2021-04-06,270.0,270.0,270.0,270.0,0
2021-04-07,270.0,270.0,270.0,270.0,0
2021-04-08,270.0,270.0,270.0,270.0,0
2021-04-09,270.0,270.0,270.0,270.0,0
2021-04-12,270.0,270.0,270.0,270.0,0
2021-04-13,270.0,270.0,270.0,270.0,0
2021-04-14,290.0,336.0,270.0,336.0,4300
2021-04-15,370.0,420.0,370.0,420.0,1500
2021-04-16,500.0,525.0,500.0,525.0,4300
2021-04-19,525.0,655.0,525.0,655.0,64000
2021-04-20,690.0,815.0,690.0,815.0,58600
2021-04-21,840.0,1015.0,840.0,1015.0,33300
2021-04-22,1170.0,1265.0,1170.0,1265.0,34000
2021-04-23,1265.0,1265.0,1265.0,1265.0,0
2021-04-26,1500.0,1580.0,1500.0,1580.0,42100
2021-04-27,1970.0,1975.0,1970.0,1975.0,23400
2021-04-28,1975.0,1975.0,1975.0,1975.0,0
2021-04-29,1975.0,1975.0,1975.0,1975.0,0
2021-04-30,1975.0,1975.0,1975.0,1975.0,0
2021-05-03,1975.0,1975.0,1975.0,1975.0,0
2021-05-04,1975.0,1975.0,1975.0,1975.0,0
2021-05-05,1975.0,1975.0,1975.0,1975.0,0
2021-05-06,1975.0,2460.0,1975.0,2460.0,53000
2021-05-07,2520.0,3070.0,2460.0,3070.0,97200
2021-05-10,3810.0,3830.0,2860.0,2860.0,72800
2021-05-11,2860.0,2860.0,2660.0,2660.0,4100
2021-05-17,2660.0,2660.0,2480.0,2480.0,3300
2021-05-18,2310.0,2310.0,2310.0,2310.0,2300
2021-05-19,2150.0,2150.0,2150.0,2150.0,24200
2021-05-20,2000.0,2000.0,2000.0,2000.0,2900
2021-05-21,1860.0,1860.0,1860.0,1860.0,4800
2021-05-24,1730.0,1730.0,1730.0,1730.0,2400
2021-05-25,1610.0,1610.0,1610.0,1610.0,24800
2021-05-27,1560.0,2010.0,1500.0,1805.0,197400
2021-05-28,1810.0,1920.0,1680.0,1680.0,42300
2021-05-31,1680.0,1700.0,1565.0,1565.0,19600
2021-06-02,1565.0,1925.0,1460.0,1460.0,55000
2021-06-03,1460.0,1460.0,1360.0,1405.0,14800
2021-06-04,1390.0,1750.0,1310.0,1560.0,91800
2021-06-07,1560.0,1640.0,1455.0,1510.0,33200
2021-06-08,1515.0,1515.0,1405.0,1405.0,16000
2021-06-09,1405.0,1450.0,1390.0,1405.0,13500
2021-06-10,1405.0,1405.0,1350.0,1360.0,7100
2021-06-11,1360.0,1570.0,1320.0,1570.0,8800
2021-06-14,1550.0,1555.0,1465.0,1465.0,6000
2021-06-15,1365.0,1420.0,1365.0,1365.0,7300
2021-06-16,1365.0,1365.0,1300.0,1340.0,800
2021-06-17,1340.0,1340.0,1325.0,1340.0,3000
2021-06-18,1290.0,1510.0,1250.0,1400.0,3600
2021-06-21,1480.0,1480.0,1305.0,1305.0,5100
2021-06-22,1305.0,1400.0,1215.0,1215.0,8700
2021-06-23,1215.0,1400.0,1130.0,1400.0,4100
2021-06-24,1400.0,1400.0,1305.0,1375.0,3100
2021-06-25,1315.0,1520.0,1280.0,1280.0,139600
2021-06-28,1280.0,1400.0,1195.0,1195.0,23900
2021-06-29,1195.0,1195.0,1115.0,1115.0,15700
2021-06-30,1115.0,1115.0,1115.0,1115.0,900
2021-07-01,1115.0,1125.0,1050.0,1050.0,2100
2021-07-02,1000.0,1005.0,980.0,995.0,15100
2021-07-05,1000.0,1135.0,930.0,940.0,14500
2021-07-06,930.0,990.0,880.0,900.0,11000
2021-07-07,905.0,1125.0,905.0,1125.0,64100
2021-07-08,1135.0,1400.0,1130.0,1130.0,44400
2021-07-09,1130.0,1180.0,1055.0,1145.0,11400
2021-07-12,1145.0,1310.0,1065.0,1065.0,11800
2021-07-13,1070.0,1200.0,1070.0,1185.0,9500
2021-07-14,1185.0,1185.0,1105.0,1105.0,5900
2021-07-15,1105.0,1105.0,1105.0,1105.0,1600
2021-07-16,1100.0,1100.0,1050.0,1050.0,1300
2021-07-19,1050.0,1050.0,1050.0,1050.0,1700
2021-07-21,985.0,1150.0,985.0,1100.0,3900
2021-07-22,1100.0,1100.0,1100.0,1100.0,1800
2021-07-23,1025.0,1230.0,1025.0,1025.0,7100
2021-07-26,960.0,1230.0,960.0,980.0,16100
2021-07-27,980.0,1080.0,930.0,1025.0,31800
2021-07-28,1020.0,1020.0,955.0,955.0,4400
2021-07-29,895.0,995.0,895.0,975.0,9900
2021-07-30,975.0,990.0,975.0,985.0,6700
2021-08-02,985.0,985.0,920.0,980.0,4700
2021-08-03,1000.0,1000.0,990.0,990.0,13900
2021-08-04,930.0,985.0,930.0,985.0,1300
2021-08-05,930.0,980.0,930.0,935.0,2100
2021-08-06,920.0,1090.0,900.0,935.0,31100
2021-08-09,935.0,975.0,905.0,975.0,2200
2021-08-10,1025.0,1025.0,915.0,970.0,16800
2021-08-12,1045.0,1045.0,925.0,925.0,3300
2021-08-13,925.0,1045.0,895.0,915.0,4900
2021-08-16,985.0,985.0,915.0,970.0,7800
2021-08-18,915.0,955.0,905.0,920.0,4600
2021-08-19,900.0,900.0,860.0,880.0,7100
2021-08-20,975.0,975.0,950.0,950.0,1700
2021-08-23,905.0,945.0,890.0,900.0,5000
2021-08-24,905.0,910.0,850.0,855.0,4200
2021-08-25,855.0,855.0,855.0,855.0,600
2021-08-26,855.0,860.0,835.0,835.0,300
2021-08-27,840.0,980.0,840.0,950.0,23400
2021-08-30,950.0,980.0,890.0,980.0,7300
2021-08-31,980.0,980.0,980.0,980.0,400
2021-09-01,1030.0,1030.0,995.0,995.0,200
2021-09-02,995.0,995.0,995.0,995.0,0
2021-09-03,970.0,970.0,930.0,930.0,2800
2021-09-06,930.0,930.0,870.0,900.0,2300
2021-09-07,900.0,975.0,850.0,975.0,10400
2021-09-08,975.0,975.0,915.0,915.0,600
2021-09-09,915.0,915.0,865.0,915.0,1400
2021-09-10,970.0,980.0,870.0,955.0,11800
2021-09-13,910.0,985.0,910.0,985.0,4900
2021-09-14,985.0,1030.0,920.0,920.0,7000
2021-09-15,865.0,880.0,865.0,880.0,1200
2021-09-16,880.0,880.0,880.0,880.0,1300
2021-09-17,825.0,825.0,825.0,825.0,100
2021-09-20,830.0,945.0,830.0,925.0,1400
2021-09-21,995.0,995.0,885.0,885.0,6100
2021-09-22,890.0,890.0,890.0,890.0,300
2021-09-23,855.0,855.0,855.0,855.0,100
2021-09-24,820.0,955.0,820.0,955.0,400
2021-09-27,950.0,950.0,890.0,940.0,1200
2021-09-28,940.0,940.0,940.0,940.0,0
2021-09-29,920.0,940.0,875.0,875.0,4500
2021-09-30,875.0,875.0,875.0,875.0,0
2021-10-01,880.0,880.0,875.0,875.0,2000
2021-10-04,845.0,855.0,845.0,855.0,300
2021-10-05,965.0,970.0,865.0,865.0,2700
2021-10-06,865.0,935.0,865.0,920.0,2900
2021-10-07,920.0,935.0,875.0,915.0,2700
2021-10-08,900.0,950.0,900.0,920.0,1600
2021-10-11,920.0,920.0,870.0,910.0,3000
2021-10-12,910.0,910.0,900.0,900.0,1100
2021-10-13,900.0,900.0,845.0,845.0,1100
2021-10-14,855.0,900.0,855.0,865.0,1400
2021-10-15,870.0,870.0,820.0,820.0,800
2021-10-18,825.0,1025.0,825.0,1025.0,31900
2021-10-19,1040.0,1250.0,955.0,960.0,66800
2021-10-21,940.0,990.0,895.0,970.0,4500
2021-10-22,970.0,970.0,910.0,910.0,4100
2021-10-25,890.0,905.0,885.0,905.0,1000
2021-10-26,870.0,970.0,870.0,945.0,5200
2021-10-27,945.0,945.0,880.0,930.0,600
2021-10-28,880.0,1000.0,875.0,925.0,1100
2021-10-29,995.0,995.0,965.0,965.0,900
2021-11-01,990.0,990.0,920.0,920.0,4000
2021-11-02,920.0,920.0,880.0,885.0,2700
2021-11-03,895.0,950.0,895.0,905.0,9400
2021-11-04,905.0,950.0,905.0,935.0,4500
2021-11-05,935.0,995.0,875.0,980.0,58000
2021-11-08,980.0,980.0,915.0,965.0,20500
2021-11-09,915.0,965.0,905.0,905.0,4700
2021-11-10,905.0,905.0,860.0,905.0,3300
2021-11-11,910.0,995.0,845.0,940.0,135700
2021-11-12,940.0,1055.0,880.0,895.0,19900
2021-11-15,895.0,895.0,850.0,890.0,1100
2021-11-16,890.0,890.0,860.0,890.0,1800
2021-11-17,850.0,885.0,850.0,885.0,1300
2021-11-18,885.0,885.0,825.0,880.0,2400
2021-11-19,820.0,880.0,820.0,880.0,400
2021-11-22,835.0,835.0,835.0,835.0,100
2021-11-23,850.0,850.0,850.0,850.0,900
2021-11-24,835.0,835.0,800.0,830.0,400
2021-11-25,830.0,830.0,830.0,830.0,0
2021-11-26,830.0,915.0,830.0,885.0,2600
2021-11-29,885.0,885.0,885.0,885.0,0
2021-11-30,880.0,880.0,840.0,840.0,300
2021-12-01,840.0,1040.0,810.0,970.0,22500
2021-12-02,920.0,920.0,910.0,915.0,2500
2021-12-03,915.0,1140.0,885.0,920.0,5900
2021-12-06,860.0,865.0,860.0,865.0,1000
2021-12-07,860.0,865.0,825.0,845.0,1300
2021-12-08,845.0,860.0,845.0,860.0,500
2021-12-09,810.0,1040.0,810.0,930.0,16900
2021-12-10,930.0,930.0,880.0,930.0,2600
2021-12-13,980.0,980.0,865.0,870.0,6100
2021-12-14,870.0,1085.0,830.0,1085.0,63900
2021-12-15,1095.0,1300.0,1010.0,1010.0,129800
2021-12-16,1030.0,1050.0,940.0,975.0,27700
2021-12-17,945.0,1000.0,910.0,985.0,8400
2021-12-20,940.0,980.0,940.0,965.0,1100
2021-12-21,925.0,925.0,925.0,925.0,300
2021-12-22,925.0,925.0,875.0,905.0,4600
2021-12-23,1095.0,1095.0,915.0,950.0,9400
2021-12-24,950.0,950.0,890.0,930.0,1500
2021-12-27,930.0,1000.0,930.0,975.0,20000
2021-12-28,980.0,985.0,975.0,985.0,10300
2021-12-29,995.0,1080.0,995.0,1060.0,8800
2021-12-30,1020.0,1020.0,990.0,990.0,14900
2022-01-03,990.0,990.0,990.0,990.0,0
2022-01-04,925.0,990.0,925.0,990.0,3100
2022-01-05,1050.0,1050.0,960.0,990.0,900
2022-01-06,1050.0,1050.0,980.0,980.0,1800
2022-01-07,980.0,980.0,980.0,980.0,0
2022-01-10,980.0,980.0,935.0,935.0,3000
2022-01-11,970.0,1015.0,970.0,1015.0,2300
2022-01-12,980.0,1015.0,950.0,1015.0,1800
2022-01-13,950.0,995.0,945.0,995.0,3500
2022-01-14,950.0,950.0,930.0,935.0,2400
2022-01-17,935.0,1165.0,935.0,1165.0,75100
2022-01-18,1165.0,1455.0,1115.0,1455.0,425800
2022-01-19,1490.0,1810.0,1480.0,1735.0,218400
2022-01-20,1735.0,2160.0,1730.0,1900.0,224500
2022-01-21,1905.0,2370.0,1905.0,2210.0,384400
2022-01-24,2210.0,2760.0,2210.0,2760.0,237200
2022-01-25,2860.0,3450.0,2800.0,3450.0,174500
2022-01-26,3450.0,3450.0,3450.0,3450.0,0
2022-01-27,3450.0,4310.0,3450.0,4310.0,441700
2022-01-28,4310.0,4310.0,4310.0,4310.0,0
2022-01-31,4310.0,4310.0,4310.0,4310.0,0
2022-02-02,4310.0,4310.0,4310.0,4310.0,0
2022-02-03,4310.0,4310.0,4310.0,4310.0,0
2022-02-04,4310.0,4310.0,4310.0,4310.0,0
2022-02-07,4310.0,4310.0,4310.0,4310.0,0
2022-02-08,4310.0,4310.0,4010.0,4010.0,3200
2022-02-09,3730.0,3730.0,3730.0,3730.0,4300
2022-02-10,3470.0,3470.0,3470.0,3470.0,2200
2022-02-11,3470.0,3470.0,3470.0,3470.0,100
2022-02-14,3420.0,3470.0,3230.0,3230.0,800
2022-02-15,3010.0,3010.0,3010.0,3010.0,9500
2022-02-16,2800.0,2800.0,2800.0,2800.0,900
2022-02-17,2610.0,2610.0,2610.0,2610.0,3300
2022-02-18,2430.0,2430.0,2430.0,2430.0,9800
2022-02-21,2260.0,2260.0,2260.0,2260.0,3600
2022-02-22,2110.0,2480.0,2110.0,2480.0,115700
2022-02-23,2500.0,2720.0,2500.0,2720.0,42100
2022-02-24,2800.0,2990.0,2530.0,2550.0,121700
2022-02-25,2500.0,2500.0,2380.0,2380.0,15900
2022-03-01,2330.0,2330.0,2220.0,2220.0,3900
2022-03-02,2200.0,2210.0,2070.0,2070.0,27700
2022-03-04,1930.0,1930.0,1930.0,1930.0,13600
2022-03-07,1900.0,2120.0,1795.0,2120.0,247600
2022-03-08,2140.0,2330.0,1975.0,1975.0,44600
2022-03-09,1900.0,2170.0,1840.0,2170.0,72700
2022-03-10,2330.0,2710.0,2330.0,2710.0,50000
2022-03-11,2900.0,3380.0,2530.0,2530.0,277200
2022-03-14,2500.0,2500.0,2360.0,2360.0,31100
2022-03-15,2340.0,2360.0,2200.0,2200.0,95900
2022-03-16,2190.0,2670.0,2190.0,2280.0,149600
2022-03-17,2290.0,2490.0,2140.0,2300.0,74900
2022-03-18,2400.0,2400.0,2140.0,2200.0,21500
2022-03-21,2290.0,2310.0,2210.0,2240.0,19700
2022-03-22,2220.0,2220.0,2100.0,2120.0,31900
2022-03-23,2130.0,2240.0,2120.0,2120.0,16800
2022-03-24,2120.0,2150.0,1975.0,2050.0,41300
2022-03-25,2000.0,2050.0,1990.0,1995.0,11400
2022-03-28,2000.0,2000.0,1940.0,1940.0,11700
2022-03-29,1945.0,1945.0,1840.0,1840.0,8100
2022-03-30,1990.0,1990.0,1715.0,1725.0,34300
2022-03-31,1725.0,1730.0,1715.0,1715.0,9200
2022-04-01,1715.0,1715.0,1690.0,1705.0,7900
2022-04-04,1705.0,1705.0,1650.0,1650.0,3800
