Date,Open,High,Low,Close,Volume
2021-01-04,1355.0,1355.0,1300.0,1300.0,2900
2021-01-05,1305.0,1305.0,1300.0,1300.0,21700
2021-01-06,1300.0,1350.0,1300.0,1350.0,3400
2021-01-07,1350.0,1350.0,1270.0,1305.0,1800
2021-01-08,1305.0,1390.0,1300.0,1390.0,7100
2021-01-11,1390.0,1390.0,1295.0,1295.0,19100
2021-01-12,1300.0,1310.0,1295.0,1295.0,6200
2021-01-13,1295.0,1420.0,1295.0,1380.0,65500
2021-01-14,1375.0,1375.0,1300.0,1325.0,6800
2021-01-15,1285.0,1300.0,1285.0,1290.0,79400
2021-01-18,1290.0,1290.0,1290.0,1290.0,100
2021-01-19,1290.0,1290.0,1290.0,1290.0,200
2021-01-20,1265.0,1330.0,1265.0,1330.0,3100
2021-01-21,1265.0,1330.0,1265.0,1330.0,700
2021-01-22,1330.0,1330.0,1330.0,1330.0,19700
2021-01-25,1330.0,1350.0,1300.0,1350.0,13500
2021-01-26,1350.0,1360.0,1335.0,1355.0,117000
2021-01-27,1340.0,1340.0,1340.0,1340.0,1400
2021-01-28,1340.0,1340.0,1340.0,1340.0,300
2021-01-29,1340.0,1340.0,1335.0,1335.0,1100
2021-02-01,1335.0,1340.0,1335.0,1335.0,4700
2021-02-02,1335.0,1350.0,1335.0,1340.0,1500
2021-02-03,1340.0,1340.0,1340.0,1340.0,400
2021-02-04,1340.0,1340.0,1340.0,1340.0,200
2021-02-05,1340.0,1340.0,1340.0,1340.0,200
2021-02-08,1340.0,1340.0,1330.0,1330.0,500
2021-02-09,1290.0,1290.0,1290.0,1290.0,100
2021-02-10,1330.0,1330.0,1275.0,1315.0,6400
2021-02-11,1330.0,1330.0,1330.0,1330.0,100
2021-02-15,1350.0,1350.0,1325.0,1350.0,2200
2021-02-16,1350.0,1350.0,1330.0,1330.0,300
2021-02-17,1330.0,1330.0,1330.0,1330.0,100
2021-02-18,1300.0,1330.0,1300.0,1330.0,500
2021-02-19,1330.0,1330.0,1330.0,1330.0,0
2021-02-22,1330.0,1330.0,1330.0,1330.0,800
2021-02-23,1320.0,1320.0,1320.0,1320.0,600
2021-02-24,1320.0,1340.0,1310.0,1310.0,16100
2021-02-25,1310.0,1325.0,1270.0,1315.0,15800
2021-02-26,1280.0,1280.0,1280.0,1280.0,500
2021-03-01,1330.0,1330.0,1330.0,1330.0,88400
2021-03-02,1340.0,1340.0,1340.0,1340.0,900
2021-03-03,1340.0,1470.0,1330.0,1470.0,13100
2021-03-04,1470.0,1480.0,1370.0,1370.0,17400
2021-03-05,1370.0,1440.0,1275.0,1400.0,18300
2021-03-08,1400.0,1400.0,1400.0,1400.0,1400
2021-03-09,1400.0,1400.0,1400.0,1400.0,200
2021-03-10,1400.0,1400.0,1400.0,1400.0,0
2021-03-12,1400.0,1400.0,1400.0,1400.0,100
2021-03-15,1395.0,1400.0,1395.0,1400.0,200
2021-03-16,1400.0,1400.0,1400.0,1400.0,100
2021-03-17,1400.0,1400.0,1400.0,1400.0,6500
2021-03-18,1400.0,1445.0,1400.0,1445.0,200
2021-03-19,1430.0,1435.0,1425.0,1425.0,5200
2021-03-22,1425.0,1425.0,1425.0,1425.0,200
2021-03-23,1425.0,1425.0,1425.0,1425.0,0
2021-03-24,1425.0,1450.0,1370.0,1425.0,3500
2021-03-25,1350.0,1350.0,1330.0,1330.0,26100
2021-03-26,1300.0,1330.0,1300.0,1330.0,20300
2021-03-29,1330.0,1330.0,1330.0,1330.0,0
2021-03-30,1330.0,1330.0,1330.0,1330.0,0
2021-03-31,1330.0,1460.0,1330.0,1455.0,12500
2021-04-01,1450.0,1450.0,1445.0,1445.0,200
2021-04-05,1445.0,1490.0,1410.0,1410.0,900
2021-04-06,1340.0,1340.0,1340.0,1340.0,700
2021-04-07,1385.0,1385.0,1375.0,1375.0,300
2021-04-08,1375.0,1375.0,1375.0,1375.0,4800
2021-04-09,1375.0,1375.0,1375.0,1375.0,0
2021-04-12,1425.0,1425.0,1420.0,1420.0,700
2021-04-13,1440.0,1480.0,1440.0,1460.0,1900
2021-04-14,1460.0,1460.0,1370.0,1415.0,1100
2021-04-15,1370.0,1420.0,1320.0,1420.0,2400
2021-04-16,1420.0,1420.0,1385.0,1385.0,900
2021-04-19,1380.0,1380.0,1360.0,1360.0,400
2021-04-20,1360.0,1360.0,1360.0,1360.0,1000
2021-04-21,1360.0,1360.0,1360.0,1360.0,100
2021-04-22,1360.0,1460.0,1360.0,1455.0,5200
2021-04-23,1455.0,1455.0,1455.0,1455.0,0
2021-04-26,1450.0,1450.0,1355.0,1435.0,2800
2021-04-27,1425.0,1425.0,1425.0,1425.0,100
2021-04-28,1425.0,1440.0,1425.0,1440.0,300
2021-04-29,1440.0,1440.0,1440.0,1440.0,0
2021-04-30,1430.0,1430.0,1350.0,1355.0,8100
2021-05-03,1355.0,1420.0,1355.0,1420.0,200
2021-05-04,1420.0,1420.0,1420.0,1420.0,200
2021-05-05,1420.0,1430.0,1420.0,1420.0,300
2021-05-06,1425.0,1430.0,1420.0,1420.0,1100
2021-05-07,1420.0,1420.0,1420.0,1420.0,0
2021-05-10,1420.0,1420.0,1350.0,1350.0,1300
2021-05-11,1355.0,1430.0,1310.0,1310.0,4000
2021-05-17,1310.0,1310.0,1310.0,1310.0,400
2021-05-18,1310.0,1310.0,1310.0,1310.0,0
2021-05-19,1330.0,1330.0,1330.0,1330.0,100
2021-05-20,1380.0,1470.0,1380.0,1450.0,4500
2021-05-21,1430.0,1430.0,1350.0,1400.0,1100
2021-05-24,1390.0,1390.0,1320.0,1325.0,2100
2021-05-25,1325.0,1435.0,1325.0,1435.0,500
2021-05-27,1435.0,1435.0,1400.0,1400.0,3700
2021-05-28,1400.0,1455.0,1400.0,1435.0,800
2021-05-31,1440.0,1450.0,1395.0,1395.0,2100
2021-06-02,1405.0,1405.0,1405.0,1405.0,10900
2021-06-03,1400.0,1440.0,1400.0,1400.0,9500
2021-06-04,1400.0,1480.0,1355.0,1355.0,52700
2021-06-07,1355.0,1365.0,1355.0,1365.0,800
2021-06-08,1365.0,1410.0,1365.0,1410.0,10600
2021-06-09,1410.0,1410.0,1410.0,1410.0,100
2021-06-10,1410.0,1410.0,1360.0,1360.0,300
2021-06-11,1360.0,1360.0,1315.0,1315.0,1200
2021-06-14,1315.0,1365.0,1315.0,1360.0,1400
2021-06-15,1360.0,1445.0,1340.0,1340.0,400
2021-06-16,1340.0,1340.0,1330.0,1340.0,5200
2021-06-17,1340.0,1340.0,1340.0,1340.0,0
2021-06-18,1340.0,1340.0,1340.0,1340.0,0
2021-06-21,1340.0,1380.0,1340.0,1380.0,1100
2021-06-22,1310.0,1310.0,1310.0,1310.0,100
2021-06-23,1320.0,1325.0,1310.0,1310.0,26700
2021-06-24,1310.0,1310.0,1310.0,1310.0,0
2021-06-25,1320.0,1320.0,1320.0,1320.0,200
2021-06-28,1320.0,1320.0,1320.0,1320.0,400
2021-06-29,1320.0,1320.0,1315.0,1315.0,2800
2021-06-30,1315.0,1315.0,1315.0,1315.0,0
2021-07-01,1300.0,1300.0,1300.0,1300.0,600
2021-07-02,1300.0,1300.0,1300.0,1300.0,400
