Date,Open,High,Low,Close,Volume
2021-01-04,470.0,505.0,448.0,500.0,3968000
2021-01-05,500.0,500.0,484.0,492.0,1443400
2021-01-06,492.0,500.0,470.0,484.0,2320200
2021-01-07,484.0,492.0,482.0,484.0,2864100
2021-01-08,484.0,535.0,484.0,510.0,7030200
2021-01-11,520.0,525.0,500.0,505.0,4043900
2021-01-12,505.0,550.0,500.0,520.0,9513600
2021-01-13,530.0,545.0,520.0,525.0,7718400
2021-01-14,525.0,535.0,515.0,520.0,3446700
2021-01-15,530.0,540.0,510.0,520.0,3425400
2021-01-18,520.0,530.0,500.0,520.0,4434200
2021-01-19,525.0,525.0,484.0,494.0,4745000
2021-01-20,494.0,510.0,486.0,498.0,1539100
2021-01-21,498.0,515.0,490.0,490.0,2407100
2021-01-22,490.0,500.0,468.0,470.0,3319100
2021-01-25,470.0,470.0,450.0,450.0,4133500
2021-01-26,454.0,454.0,438.0,440.0,2106000
2021-01-27,438.0,440.0,410.0,440.0,5018400
2021-01-28,436.0,456.0,410.0,410.0,3060300
2021-01-29,410.0,420.0,384.0,414.0,3517300
2021-02-01,420.0,420.0,400.0,420.0,3499200
2021-02-02,440.0,462.0,416.0,416.0,14524400
2021-02-03,418.0,428.0,416.0,420.0,2467200
2021-02-04,422.0,438.0,414.0,424.0,2661100
2021-02-05,428.0,436.0,424.0,434.0,2960000
2021-02-08,440.0,444.0,434.0,442.0,2532800
2021-02-09,442.0,456.0,440.0,440.0,3737800
2021-02-10,444.0,444.0,432.0,440.0,816800
2021-02-11,440.0,440.0,432.0,438.0,697300
2021-02-15,438.0,442.0,432.0,436.0,1913400
2021-02-16,436.0,442.0,436.0,440.0,1257600
2021-02-17,440.0,440.0,434.0,434.0,1235900
2021-02-18,434.0,440.0,432.0,434.0,457900
2021-02-19,432.0,434.0,428.0,430.0,658000
2021-02-22,430.0,434.0,424.0,430.0,1481900
2021-02-23,432.0,434.0,424.0,430.0,789300
2021-02-24,430.0,430.0,424.0,430.0,625900
2021-02-25,430.0,436.0,430.0,432.0,760900
2021-02-26,432.0,438.0,428.0,438.0,1535300
2021-03-01,440.0,440.0,432.0,438.0,686800
2021-03-02,438.0,442.0,436.0,440.0,1548000
2021-03-03,442.0,448.0,440.0,444.0,1626600
2021-03-04,450.0,450.0,428.0,432.0,909200
2021-03-05,432.0,432.0,426.0,430.0,374000
2021-03-08,430.0,438.0,420.0,424.0,567200
2021-03-09,424.0,432.0,422.0,426.0,332700
2021-03-10,426.0,426.0,422.0,422.0,411200
2021-03-12,424.0,434.0,422.0,428.0,991100
2021-03-15,428.0,434.0,426.0,426.0,1636700
2021-03-16,426.0,438.0,426.0,430.0,910200
2021-03-17,430.0,432.0,428.0,428.0,709200
2021-03-18,432.0,438.0,430.0,434.0,1003800
2021-03-19,436.0,436.0,430.0,430.0,628800
2021-03-22,432.0,438.0,428.0,432.0,4102500
2021-03-23,440.0,448.0,430.0,432.0,4041400
2021-03-24,432.0,432.0,420.0,420.0,2149400
2021-03-25,418.0,424.0,418.0,422.0,1161100
2021-03-26,422.0,428.0,418.0,424.0,1124300
2021-03-29,426.0,432.0,422.0,424.0,341100
2021-03-30,424.0,428.0,416.0,418.0,1205700
2021-03-31,418.0,428.0,410.0,414.0,1101700
2021-04-01,410.0,418.0,408.0,416.0,709200
2021-04-05,416.0,420.0,412.0,414.0,667200
2021-04-06,414.0,416.0,412.0,414.0,438900
2021-04-07,414.0,420.0,414.0,414.0,298300
2021-04-08,414.0,418.0,412.0,418.0,328600
2021-04-09,418.0,424.0,414.0,418.0,754300
2021-04-12,418.0,420.0,412.0,414.0,795900
2021-04-13,414.0,416.0,410.0,412.0,845300
2021-04-14,412.0,416.0,410.0,412.0,396500
2021-04-15,412.0,418.0,410.0,414.0,334600
2021-04-16,414.0,416.0,410.0,416.0,446500
2021-04-19,416.0,420.0,410.0,410.0,916600
2021-04-20,414.0,414.0,410.0,414.0,316500
2021-04-21,418.0,418.0,410.0,410.0,205900
2021-04-22,416.0,416.0,410.0,412.0,392400
2021-04-23,410.0,424.0,410.0,420.0,1784900
2021-04-26,420.0,424.0,420.0,422.0,682000
2021-04-27,424.0,448.0,424.0,442.0,3462600
2021-04-28,442.0,446.0,440.0,444.0,1075800
2021-04-29,444.0,466.0,444.0,466.0,5251700
2021-04-30,468.0,486.0,466.0,482.0,5404300
2021-05-03,488.0,490.0,482.0,484.0,3932300
2021-05-04,484.0,486.0,464.0,470.0,3082500
2021-05-05,470.0,472.0,466.0,470.0,572300
2021-05-06,470.0,472.0,466.0,472.0,1385100
2021-05-07,476.0,480.0,470.0,472.0,1135800
2021-05-10,474.0,478.0,466.0,466.0,1454200
2021-05-11,468.0,472.0,466.0,470.0,1520000
2021-05-17,470.0,474.0,470.0,472.0,1926800
2021-05-18,474.0,474.0,440.0,462.0,1359400
2021-05-19,462.0,462.0,454.0,456.0,1304500
2021-05-20,456.0,458.0,448.0,456.0,540300
2021-05-21,456.0,468.0,456.0,462.0,991000
2021-05-24,464.0,468.0,460.0,460.0,809800
2021-05-25,460.0,464.0,460.0,462.0,809800
2021-05-27,464.0,478.0,462.0,476.0,1974100
2021-05-28,476.0,476.0,468.0,472.0,643700
2021-05-31,472.0,474.0,466.0,468.0,425500
2021-06-02,470.0,480.0,462.0,480.0,1302200
2021-06-03,480.0,488.0,466.0,466.0,1228900
2021-06-04,470.0,478.0,460.0,472.0,1343400
2021-06-07,472.0,478.0,470.0,478.0,875400
2021-06-08,480.0,510.0,478.0,482.0,4929200
2021-06-09,482.0,496.0,480.0,488.0,3595300
2021-06-10,490.0,498.0,490.0,490.0,1238500
2021-06-11,494.0,510.0,490.0,505.0,2502400
2021-06-14,510.0,515.0,496.0,505.0,2247400
2021-06-15,515.0,515.0,496.0,498.0,1218700
2021-06-16,496.0,505.0,494.0,498.0,1384600
2021-06-17,498.0,498.0,480.0,488.0,1143500
2021-06-18,488.0,492.0,454.0,458.0,2571300
2021-06-21,462.0,470.0,440.0,462.0,1404700
2021-06-22,468.0,470.0,462.0,468.0,1067300
2021-06-23,468.0,476.0,468.0,468.0,270600
2021-06-24,468.0,474.0,460.0,460.0,315900
2021-06-25,460.0,466.0,448.0,452.0,895700
2021-06-28,452.0,468.0,452.0,466.0,874400
2021-06-29,466.0,466.0,462.0,462.0,231200
2021-06-30,466.0,466.0,460.0,460.0,498700
2021-07-01,458.0,466.0,456.0,458.0,117600
2021-07-02,458.0,464.0,458.0,460.0,131400
2021-07-05,464.0,464.0,448.0,460.0,1640800
2021-07-06,462.0,472.0,458.0,472.0,1013800
2021-07-07,472.0,488.0,466.0,488.0,1679500
2021-07-08,492.0,530.0,490.0,500.0,9055800
2021-07-09,500.0,510.0,500.0,500.0,1057500
2021-07-12,505.0,505.0,468.0,500.0,1276100
2021-07-13,500.0,505.0,494.0,505.0,1450200
