Date,Open,High,Low,Close,Volume
2021-01-04,56.0,60.0,55.0,57.0,575400
2021-01-05,57.0,59.0,56.0,56.0,276800
2021-01-06,56.0,57.0,55.0,57.0,374000
2021-01-07,57.0,57.0,55.0,56.0,1050000
2021-01-08,56.0,57.0,53.0,55.0,168200
2021-01-11,55.0,56.0,53.0,55.0,871500
2021-01-12,55.0,55.0,52.0,52.0,2790100
2021-01-13,53.0,58.0,52.0,54.0,2735100
2021-01-14,54.0,57.0,52.0,54.0,917300
2021-01-15,54.0,57.0,54.0,55.0,180800
2021-01-18,55.0,61.0,54.0,54.0,2061400
2021-01-19,56.0,65.0,54.0,61.0,6317100
2021-01-20,62.0,62.0,57.0,60.0,2588200
2021-01-21,60.0,60.0,57.0,59.0,1236000
2021-01-22,58.0,60.0,55.0,60.0,2432000
2021-01-25,60.0,62.0,56.0,57.0,1601800
2021-01-26,57.0,60.0,54.0,60.0,1011600
2021-01-27,60.0,60.0,56.0,56.0,1005600
2021-01-28,57.0,58.0,53.0,53.0,2302300
2021-01-29,51.0,62.0,50.0,62.0,3665600
2021-02-01,62.0,64.0,58.0,60.0,949500
2021-02-02,59.0,59.0,56.0,56.0,540000
2021-02-03,55.0,58.0,54.0,55.0,122700
2021-02-04,59.0,66.0,55.0,57.0,4643300
2021-02-05,57.0,57.0,54.0,54.0,726900
2021-02-08,54.0,54.0,53.0,53.0,458100
2021-02-09,53.0,58.0,53.0,57.0,761400
2021-02-10,57.0,57.0,55.0,56.0,120100
2021-02-11,54.0,56.0,53.0,53.0,1089800
2021-02-15,54.0,58.0,53.0,54.0,2502600
2021-02-16,55.0,56.0,54.0,55.0,402200
2021-02-17,56.0,57.0,54.0,55.0,563500
2021-02-18,56.0,74.0,55.0,56.0,29396000
2021-02-19,63.0,63.0,53.0,53.0,8375100
2021-02-22,54.0,69.0,54.0,64.0,12667000
2021-02-23,65.0,81.0,60.0,68.0,16283700
2021-02-24,68.0,70.0,64.0,65.0,4188500
2021-02-25,65.0,75.0,64.0,68.0,5744400
2021-02-26,64.0,68.0,64.0,64.0,1244100
2021-03-01,64.0,67.0,61.0,62.0,2304100
2021-03-02,64.0,70.0,61.0,66.0,8263700
2021-03-03,66.0,67.0,63.0,64.0,2403400
2021-03-04,64.0,64.0,60.0,60.0,4689700
2021-03-05,60.0,63.0,58.0,59.0,2544200
2021-03-08,59.0,79.0,57.0,79.0,76333700
2021-03-09,92.0,92.0,74.0,74.0,21449900
2021-03-10,69.0,76.0,69.0,69.0,16963100
2021-03-12,91.0,93.0,65.0,80.0,182515600
2021-03-15,81.0,85.0,75.0,75.0,27242200
2021-03-16,80.0,101.0,75.0,95.0,625857900
2021-03-17,97.0,97.0,89.0,89.0,17437200
2021-03-18,83.0,83.0,83.0,83.0,6776300
2021-03-19,78.0,78.0,78.0,78.0,2841800
2021-03-22,73.0,73.0,73.0,73.0,1546900
2021-03-23,68.0,68.0,68.0,68.0,5444500
2021-03-24,64.0,78.0,64.0,64.0,181267600
2021-03-25,60.0,76.0,60.0,70.0,289859900
2021-03-26,72.0,73.0,66.0,66.0,86367800
2021-03-29,66.0,68.0,62.0,63.0,28361600
2021-03-30,63.0,64.0,59.0,59.0,19634200
2021-03-31,60.0,68.0,55.0,57.0,71911000
2021-04-01,57.0,61.0,56.0,59.0,31271800
2021-04-05,59.0,78.0,59.0,76.0,366099400
2021-04-06,76.0,77.0,71.0,71.0,11021400
2021-04-07,67.0,76.0,67.0,67.0,267266100
2021-04-08,67.0,69.0,63.0,66.0,32035900
2021-04-09,66.0,70.0,65.0,66.0,36440300
2021-04-12,70.0,70.0,63.0,65.0,32006800
2021-04-13,66.0,68.0,64.0,65.0,61700400
2021-04-14,66.0,71.0,65.0,70.0,120605300
2021-04-15,70.0,73.0,67.0,69.0,73105000
2021-04-16,69.0,70.0,67.0,67.0,16216500
2021-04-19,67.0,68.0,65.0,66.0,12499200
2021-04-20,66.0,68.0,64.0,64.0,16880600
2021-04-21,64.0,69.0,64.0,66.0,39341300
