Date,Open,High,Low,Close,Volume
2025-07-10,172.0,172.0,164.0,172.0,141681900
2025-07-11,214.0,232.0,195.0,232.0,423519900
2025-07-14,248.0,290.0,218.0,290.0,372594800
2025-07-15,322.0,362.0,314.0,362.0,76670700
2025-07-16,440.0,452.0,422.0,452.0,58239100
2025-07-17,515.0,565.0,515.0,565.0,66092500
2025-07-18,565.0,565.0,565.0,565.0,0
2025-07-21,680.0,700.0,482.0,482.0,43259200
2025-07-22,410.0,410.0,410.0,410.0,4482400
2025-07-23,350.0,350.0,350.0,350.0,5942900
2025-07-24,298.0,420.0,298.0,388.0,768392900
2025-07-25,390.0,404.0,350.0,352.0,112065400
2025-07-28,352.0,354.0,306.0,314.0,72878500
2025-07-29,314.0,328.0,306.0,316.0,36065700
2025-07-30,316.0,320.0,298.0,298.0,29729800
2025-07-31,298.0,310.0,272.0,292.0,49773400
2025-08-01,292.0,340.0,286.0,302.0,113714000
2025-08-04,306.0,330.0,304.0,314.0,65592200
2025-08-05,316.0,320.0,294.0,304.0,30143700
2025-08-06,310.0,310.0,296.0,300.0,14666200
2025-08-07,306.0,306.0,286.0,288.0,18215300
2025-08-08,286.0,286.0,274.0,278.0,13432700
2025-08-11,278.0,288.0,270.0,278.0,11128000
2025-08-12,282.0,290.0,276.0,282.0,10062000
2025-08-13,282.0,294.0,282.0,288.0,16448300
2025-08-14,290.0,292.0,284.0,286.0,7134700
2025-08-15,286.0,290.0,276.0,276.0,11410500
2025-08-19,278.0,280.0,268.0,274.0,12050700
2025-08-20,274.0,274.0,268.0,270.0,4965100
2025-08-21,270.0,272.0,260.0,262.0,9498600
2025-08-22,262.0,282.0,254.0,264.0,24358600
2025-08-25,264.0,270.0,260.0,270.0,8777700
2025-08-26,270.0,274.0,262.0,266.0,7266900
2025-08-27,268.0,272.0,260.0,264.0,5682600
2025-08-28,264.0,266.0,258.0,258.0,4736800
2025-08-29,260.0,260.0,240.0,246.0,12559300
2025-09-01,232.0,238.0,220.0,234.0,14159100
2025-09-02,234.0,274.0,234.0,260.0,58015200
2025-09-03,262.0,262.0,246.0,246.0,11779200
2025-09-04,244.0,248.0,242.0,244.0,3135900
2025-09-08,244.0,244.0,230.0,230.0,11585900
2025-09-09,230.0,230.0,212.0,216.0,8551000
2025-09-10,216.0,228.0,212.0,224.0,6001600
2025-09-11,224.0,232.0,220.0,224.0,3878700
2025-09-12,224.0,226.0,220.0,222.0,2664700
2025-09-15,222.0,276.0,222.0,276.0,112507800
2025-09-16,294.0,302.0,248.0,248.0,94843200
2025-09-17,248.0,252.0,236.0,238.0,12856500
2025-09-18,240.0,250.0,232.0,232.0,10128900
2025-09-19,232.0,242.0,232.0,232.0,6757300
2025-09-22,232.0,236.0,226.0,232.0,3886300
2025-09-23,236.0,238.0,226.0,236.0,4935800
2025-09-24,236.0,238.0,232.0,234.0,2938800
2025-09-25,234.0,234.0,224.0,224.0,5633600
