Date,Open,High,Low,Close,Volume
2021-01-04,218.0,232.0,218.0,220.0,82300
2021-01-05,222.0,222.0,220.0,220.0,200
2021-01-06,220.0,220.0,206.0,206.0,300
2021-01-07,192.0,220.0,192.0,206.0,89600
2021-01-08,220.0,220.0,214.0,214.0,2600
2021-01-11,214.0,214.0,200.0,200.0,300
2021-01-12,200.0,200.0,200.0,200.0,0
2021-01-13,200.0,200.0,200.0,200.0,0
2021-01-14,186.0,186.0,186.0,186.0,27900
2021-01-15,186.0,186.0,186.0,186.0,22800
2021-01-18,186.0,186.0,176.0,186.0,400
2021-01-19,186.0,186.0,180.0,180.0,600
2021-01-20,180.0,180.0,179.0,179.0,6100
2021-01-21,170.0,170.0,169.0,170.0,24700
2021-01-22,169.0,169.0,169.0,169.0,6500
2021-01-25,169.0,169.0,169.0,169.0,200
2021-01-26,159.0,170.0,159.0,169.0,6200
2021-01-27,159.0,168.0,159.0,168.0,5900
2021-01-28,159.0,159.0,159.0,159.0,2000
2021-01-29,157.0,158.0,157.0,158.0,6700
2021-02-01,157.0,157.0,157.0,157.0,100
2021-02-02,148.0,190.0,147.0,173.0,19600
2021-02-03,173.0,173.0,166.0,166.0,2000
2021-02-04,166.0,173.0,166.0,173.0,7100
2021-02-05,173.0,173.0,166.0,166.0,200
2021-02-08,166.0,166.0,156.0,157.0,7200
2021-02-09,208.0,208.0,147.0,148.0,44000
2021-02-10,147.0,199.0,147.0,193.0,441200
2021-02-11,196.0,197.0,180.0,180.0,100800
2021-02-15,175.0,188.0,168.0,181.0,18600
2021-02-16,189.0,189.0,169.0,169.0,12500
2021-02-17,179.0,179.0,158.0,158.0,17700
2021-02-18,168.0,188.0,150.0,183.0,67800
2021-02-19,185.0,185.0,171.0,171.0,14500
2021-02-22,171.0,171.0,160.0,169.0,13000
2021-02-23,159.0,169.0,159.0,159.0,220500
2021-02-24,159.0,173.0,151.0,161.0,5200
2021-02-25,161.0,170.0,151.0,166.0,30500
2021-02-26,166.0,166.0,162.0,166.0,15100
2021-03-01,166.0,166.0,155.0,155.0,4900
2021-03-02,155.0,181.0,155.0,179.0,36000
2021-03-03,179.0,182.0,170.0,170.0,80200
2021-03-04,175.0,175.0,170.0,172.0,9100
2021-03-05,172.0,172.0,170.0,170.0,900
2021-03-08,170.0,170.0,159.0,169.0,19900
2021-03-09,169.0,169.0,160.0,169.0,4000
2021-03-10,169.0,169.0,169.0,169.0,700
2021-03-12,169.0,169.0,158.0,168.0,500
2021-03-15,168.0,168.0,167.0,167.0,3600
2021-03-16,167.0,208.0,156.0,186.0,48100
2021-03-17,186.0,193.0,184.0,184.0,6500
2021-03-18,188.0,190.0,184.0,184.0,5500
2021-03-19,191.0,191.0,191.0,191.0,100
2021-03-22,190.0,190.0,186.0,186.0,1600
2021-03-23,190.0,190.0,185.0,189.0,17400
2021-03-24,190.0,190.0,190.0,190.0,100
2021-03-25,190.0,190.0,190.0,190.0,0
2021-03-26,189.0,189.0,189.0,189.0,200
2021-03-29,189.0,200.0,189.0,193.0,14800
2021-03-30,193.0,260.0,180.0,187.0,178200
2021-03-31,197.0,200.0,180.0,187.0,46900
2021-04-01,193.0,193.0,181.0,189.0,32600
2021-04-05,189.0,193.0,187.0,192.0,15900
2021-04-06,202.0,202.0,192.0,192.0,137100
2021-04-07,188.0,192.0,188.0,192.0,200
2021-04-08,189.0,195.0,189.0,192.0,23300
2021-04-09,194.0,194.0,193.0,194.0,46700
2021-04-12,194.0,194.0,190.0,190.0,800
2021-04-13,194.0,194.0,190.0,193.0,3600
2021-04-14,193.0,210.0,180.0,180.0,1529800
2021-04-15,189.0,189.0,168.0,168.0,280800
