Date,Open,High,Low,Close,Volume
2021-01-04,103.0,104.0,99.0,102.0,8185300
2021-01-05,102.0,108.0,101.0,104.0,5843500
2021-01-06,103.0,114.0,101.0,106.0,31623500
2021-01-07,106.0,111.0,105.0,109.0,6406800
2021-01-08,109.0,114.0,108.0,109.0,11844300
2021-01-11,109.0,110.0,104.0,109.0,11757400
2021-01-12,109.0,109.0,106.0,108.0,5156900
2021-01-13,108.0,114.0,106.0,114.0,10404000
2021-01-14,114.0,116.0,111.0,112.0,8378800
2021-01-15,113.0,113.0,109.0,110.0,3394900
2021-01-18,110.0,114.0,104.0,112.0,8594300
2021-01-19,112.0,114.0,107.0,108.0,2209100
2021-01-20,108.0,110.0,106.0,106.0,1574100
2021-01-21,108.0,110.0,106.0,107.0,1498100
2021-01-22,106.0,106.0,101.0,103.0,2339700
2021-01-25,103.0,103.0,98.0,98.0,2354600
2021-01-26,98.0,100.0,93.0,96.0,1404800
2021-01-27,97.0,97.0,91.0,91.0,2336600
2021-01-28,91.0,92.0,85.0,90.0,3032100
2021-01-29,93.0,93.0,85.0,87.0,854400
2021-02-01,81.0,88.0,81.0,85.0,1200300
2021-02-02,85.0,92.0,85.0,89.0,653300
2021-02-03,90.0,91.0,88.0,91.0,798900
2021-02-04,94.0,95.0,89.0,91.0,919200
2021-02-05,93.0,103.0,90.0,92.0,13371000
2021-02-08,93.0,93.0,90.0,91.0,1829600
2021-02-09,91.0,94.0,90.0,92.0,2033300
2021-02-10,93.0,93.0,88.0,91.0,1525100
2021-02-11,92.0,92.0,88.0,90.0,678400
2021-02-15,91.0,92.0,89.0,90.0,661200
2021-02-16,90.0,92.0,90.0,90.0,1241400
2021-02-17,90.0,92.0,89.0,89.0,1761600
2021-02-18,89.0,92.0,89.0,92.0,1511400
2021-02-19,92.0,95.0,89.0,91.0,5011600
2021-02-22,91.0,91.0,89.0,90.0,1836600
2021-02-23,94.0,98.0,89.0,89.0,13835000
2021-02-24,87.0,92.0,87.0,88.0,3482900
2021-02-25,88.0,90.0,88.0,88.0,877100
2021-02-26,88.0,89.0,87.0,88.0,1348900
2021-03-01,90.0,90.0,85.0,87.0,544800
2021-03-02,88.0,89.0,87.0,88.0,778200
2021-03-03,90.0,90.0,87.0,87.0,570700
2021-03-04,88.0,89.0,86.0,87.0,1626900
2021-03-05,87.0,96.0,86.0,89.0,12426600
2021-03-08,91.0,97.0,88.0,97.0,21943900
2021-03-09,106.0,110.0,91.0,91.0,52475700
2021-03-10,91.0,92.0,87.0,87.0,8769700
2021-03-12,90.0,92.0,86.0,88.0,6559300
2021-03-15,89.0,90.0,88.0,90.0,1510700
2021-03-16,90.0,100.0,88.0,97.0,22669100
2021-03-17,98.0,99.0,91.0,94.0,11715500
2021-03-18,95.0,95.0,90.0,91.0,2814800
2021-03-19,88.0,92.0,88.0,91.0,886400
2021-03-22,90.0,93.0,89.0,91.0,2193200
2021-03-23,89.0,93.0,89.0,92.0,2628300
2021-03-24,95.0,100.0,89.0,90.0,13107800
2021-03-25,90.0,93.0,87.0,88.0,2488400
2021-03-26,88.0,91.0,88.0,89.0,1307500
2021-03-29,89.0,91.0,88.0,88.0,972500
2021-03-30,88.0,90.0,87.0,87.0,900100
2021-03-31,87.0,89.0,85.0,86.0,1232600
2021-04-01,86.0,88.0,85.0,86.0,1225500
2021-04-05,87.0,87.0,84.0,85.0,1664400
2021-04-06,85.0,86.0,83.0,85.0,1061200
2021-04-07,85.0,86.0,84.0,85.0,696100
2021-04-08,85.0,93.0,85.0,90.0,9422200
2021-04-09,91.0,91.0,87.0,88.0,2491300
2021-04-12,88.0,89.0,86.0,86.0,1250600
2021-04-13,86.0,89.0,85.0,88.0,517900
2021-04-14,89.0,89.0,86.0,88.0,610000
2021-04-15,89.0,89.0,87.0,87.0,323700
2021-04-16,87.0,89.0,86.0,87.0,563400
2021-04-19,87.0,88.0,86.0,86.0,651600
2021-04-20,86.0,89.0,86.0,87.0,668600
2021-04-21,87.0,88.0,87.0,87.0,269200
2021-04-22,88.0,88.0,86.0,87.0,371100
2021-04-23,88.0,88.0,86.0,87.0,537000
2021-04-26,87.0,88.0,85.0,85.0,642900
2021-04-27,86.0,86.0,84.0,84.0,951900
2021-04-28,84.0,87.0,84.0,84.0,320300
2021-04-29,84.0,86.0,83.0,85.0,314500
2021-04-30,85.0,85.0,84.0,85.0,668500
2021-05-03,85.0,86.0,84.0,85.0,323100
2021-05-04,84.0,86.0,83.0,85.0,83200
2021-05-05,85.0,85.0,83.0,85.0,1015100
2021-05-06,85.0,85.0,84.0,84.0,45400
2021-05-07,84.0,85.0,83.0,83.0,77800
2021-05-10,84.0,85.0,83.0,84.0,30300
2021-05-11,84.0,84.0,82.0,83.0,495400
2021-05-17,83.0,84.0,80.0,82.0,293800
2021-05-18,82.0,87.0,80.0,83.0,3361400
2021-05-19,83.0,83.0,81.0,81.0,660100
2021-05-20,80.0,83.0,80.0,81.0,376200
2021-05-21,83.0,83.0,81.0,81.0,239700
2021-05-24,80.0,82.0,79.0,80.0,442200
2021-05-25,80.0,82.0,79.0,80.0,444300
2021-05-27,79.0,81.0,79.0,81.0,157500
2021-05-28,82.0,82.0,79.0,81.0,554500
2021-05-31,81.0,91.0,79.0,87.0,12649900
2021-06-02,88.0,89.0,84.0,86.0,1055500
2021-06-03,86.0,89.0,85.0,86.0,329700
2021-06-04,85.0,87.0,84.0,84.0,339600
2021-06-07,85.0,85.0,83.0,84.0,430700
2021-06-08,85.0,85.0,82.0,82.0,266000
2021-06-09,82.0,84.0,82.0,84.0,161400
2021-06-10,84.0,85.0,83.0,84.0,177300
2021-06-11,84.0,85.0,83.0,83.0,259900
2021-06-14,83.0,85.0,82.0,83.0,227800
2021-06-15,83.0,84.0,82.0,83.0,607600
2021-06-16,84.0,84.0,82.0,82.0,162600
2021-06-17,83.0,83.0,80.0,82.0,723600
2021-06-18,81.0,83.0,79.0,80.0,644900
2021-06-21,80.0,80.0,76.0,77.0,1254100
2021-06-22,77.0,83.0,77.0,79.0,755600
2021-06-23,82.0,82.0,80.0,80.0,218700
2021-06-24,80.0,88.0,80.0,84.0,3045000
2021-06-25,85.0,87.0,83.0,86.0,680900
2021-06-28,87.0,88.0,81.0,82.0,541300
2021-06-29,82.0,86.0,79.0,81.0,311900
2021-06-30,81.0,82.0,80.0,81.0,290400
2021-07-01,81.0,84.0,80.0,82.0,711100
2021-07-02,83.0,84.0,79.0,80.0,713100
2021-07-05,81.0,82.0,79.0,79.0,433600
2021-07-06,79.0,81.0,78.0,81.0,1036800
2021-07-07,80.0,81.0,80.0,81.0,213200
2021-07-08,81.0,82.0,80.0,82.0,634300
2021-07-09,82.0,83.0,81.0,82.0,599000
2021-07-12,82.0,87.0,80.0,87.0,2911100
2021-07-13,87.0,92.0,81.0,81.0,9202100
2021-07-14,82.0,84.0,81.0,81.0,913600
2021-07-15,82.0,83.0,77.0,80.0,1950600
2021-07-16,80.0,80.0,78.0,79.0,355700
2021-07-19,79.0,80.0,78.0,80.0,93500
2021-07-21,79.0,82.0,78.0,80.0,287500
2021-07-22,80.0,81.0,78.0,79.0,293500
2021-07-23,80.0,81.0,79.0,80.0,48000
2021-07-26,80.0,80.0,79.0,80.0,34300
2021-07-27,81.0,81.0,79.0,79.0,214800
2021-07-28,80.0,80.0,79.0,80.0,123100
2021-07-29,81.0,81.0,78.0,79.0,79600
