Date,Open,High,Low,Close,Volume
2023-01-24,200.0,200.0,190.0,200.0,66020200
2023-01-25,250.0,270.0,208.0,244.0,556672100
2023-01-26,248.0,266.0,228.0,230.0,109291900
2023-01-27,230.0,242.0,214.0,230.0,33422400
2023-01-30,230.0,234.0,218.0,220.0,14253400
2023-01-31,218.0,222.0,206.0,206.0,13760200
2023-02-01,195.0,220.0,195.0,206.0,23668300
2023-02-02,204.0,214.0,204.0,210.0,10890800
2023-02-03,210.0,224.0,206.0,220.0,26039300
2023-02-06,222.0,228.0,212.0,212.0,11446100
2023-02-07,210.0,216.0,206.0,208.0,6278800
2023-02-08,210.0,210.0,204.0,204.0,3959600
2023-02-09,204.0,208.0,197.0,200.0,5139100
2023-02-10,202.0,206.0,198.0,200.0,4305200
2023-02-13,200.0,204.0,199.0,199.0,1992600
2023-02-14,199.0,216.0,199.0,208.0,14267200
2023-02-15,208.0,210.0,204.0,206.0,3077900
2023-02-16,206.0,208.0,200.0,202.0,3584400
2023-02-17,202.0,204.0,199.0,199.0,2791800
2023-02-20,199.0,204.0,198.0,202.0,4461200
2023-02-21,202.0,204.0,200.0,200.0,1893100
2023-02-22,200.0,202.0,198.0,199.0,2125900
2023-02-23,199.0,200.0,196.0,196.0,2492900
2023-02-24,196.0,200.0,195.0,197.0,2624100
2023-02-27,197.0,198.0,195.0,196.0,1147000
2023-02-28,196.0,198.0,184.0,195.0,5965900
2023-03-01,195.0,196.0,182.0,184.0,3626600
2023-03-02,183.0,189.0,182.0,185.0,2525100
2023-03-03,185.0,194.0,183.0,191.0,2799800
2023-03-06,191.0,193.0,182.0,185.0,3220900
2023-03-07,185.0,186.0,181.0,183.0,1651700
2023-03-08,183.0,184.0,173.0,173.0,8369800
2023-03-09,173.0,174.0,165.0,170.0,12999500
2023-03-10,170.0,170.0,165.0,166.0,12081400
2023-03-13,165.0,168.0,160.0,162.0,16208800
2023-03-14,160.0,162.0,151.0,153.0,4603700
2023-03-15,154.0,164.0,154.0,156.0,2091500
2023-03-16,158.0,158.0,150.0,154.0,1578100
2023-03-17,153.0,155.0,150.0,155.0,949500
2023-03-20,155.0,156.0,151.0,153.0,801300
2023-03-21,153.0,175.0,153.0,162.0,23015500
2023-03-24,164.0,170.0,164.0,170.0,5516100
2023-03-27,174.0,174.0,168.0,170.0,1597200
2023-03-28,171.0,172.0,166.0,169.0,1803400
2023-03-29,169.0,170.0,165.0,166.0,1809600
2023-03-30,167.0,167.0,163.0,164.0,1165600
2023-03-31,165.0,165.0,160.0,161.0,1388200
2023-04-03,159.0,161.0,155.0,157.0,19699100
2023-04-04,157.0,202.0,156.0,182.0,95713600
2023-04-05,184.0,186.0,170.0,173.0,9818400
2023-04-06,175.0,212.0,174.0,181.0,81041800
2023-04-10,182.0,186.0,172.0,178.0,7444700
2023-04-11,180.0,193.0,174.0,179.0,26063900
2023-04-12,180.0,187.0,175.0,178.0,9493200
2023-04-13,178.0,180.0,172.0,172.0,3535800
2023-04-14,172.0,173.0,161.0,162.0,49618900
2023-04-17,163.0,177.0,162.0,164.0,54342000
2023-04-18,165.0,177.0,164.0,168.0,9761500
2023-04-26,169.0,174.0,169.0,171.0,2094100
2023-04-27,171.0,173.0,167.0,171.0,2026600
2023-04-28,172.0,173.0,164.0,171.0,1773600
2023-05-02,171.0,171.0,164.0,166.0,2785200
2023-05-03,166.0,177.0,164.0,172.0,4515700
2023-05-04,173.0,176.0,170.0,171.0,1959100
2023-05-05,172.0,173.0,168.0,170.0,1315500
2023-05-08,172.0,173.0,169.0,170.0,2398000
2023-05-09,170.0,179.0,169.0,174.0,3064800
2023-05-10,175.0,186.0,174.0,186.0,8579200
2023-05-11,186.0,193.0,181.0,182.0,7500700
2023-05-12,182.0,182.0,174.0,174.0,2024000
2023-05-15,176.0,179.0,170.0,174.0,2277300
2023-05-16,174.0,179.0,174.0,174.0,2138900
2023-05-17,177.0,177.0,173.0,173.0,875400
2023-05-19,173.0,177.0,172.0,174.0,1019700
2023-05-22,174.0,176.0,170.0,171.0,1260200
2023-05-23,171.0,172.0,167.0,171.0,1906400
2023-05-24,171.0,177.0,171.0,173.0,1499800
2023-05-25,172.0,173.0,169.0,171.0,649800
2023-05-26,168.0,171.0,165.0,169.0,1346800
2023-05-29,170.0,171.0,167.0,167.0,517900
2023-05-30,167.0,172.0,165.0,167.0,947900
2023-05-31,167.0,168.0,164.0,165.0,881000
2023-06-05,165.0,167.0,163.0,165.0,405400
2023-06-06,163.0,167.0,163.0,166.0,320400
2023-06-07,165.0,167.0,163.0,166.0,584000
2023-06-08,166.0,167.0,163.0,166.0,279000
2023-06-09,166.0,167.0,165.0,167.0,489500
2023-06-12,167.0,170.0,166.0,169.0,872400
2023-06-13,169.0,179.0,167.0,177.0,4481800
2023-06-14,178.0,182.0,174.0,174.0,3131400
2023-06-15,173.0,174.0,169.0,170.0,1617100
2023-06-16,170.0,170.0,167.0,167.0,1247000
2023-06-19,167.0,170.0,166.0,167.0,562600
2023-06-20,167.0,169.0,166.0,169.0,686300
2023-06-21,169.0,170.0,166.0,168.0,668700
2023-06-22,169.0,169.0,166.0,168.0,232600
2023-06-23,168.0,172.0,166.0,171.0,903300
2023-06-26,172.0,172.0,169.0,171.0,362400
2023-06-27,171.0,174.0,171.0,172.0,1159900
2023-07-03,173.0,176.0,171.0,175.0,1675500
2023-07-04,175.0,176.0,173.0,173.0,769800
2023-07-05,172.0,174.0,169.0,170.0,1709700
2023-07-06,170.0,174.0,169.0,170.0,2034200
2023-07-07,170.0,171.0,169.0,170.0,349900
2023-07-10,171.0,173.0,170.0,173.0,1270700
2023-07-11,173.0,174.0,170.0,173.0,571100
2023-07-12,173.0,174.0,170.0,170.0,1111000
2023-07-13,169.0,171.0,169.0,171.0,697700
2023-07-14,172.0,180.0,170.0,178.0,2290400
2023-07-17,178.0,188.0,177.0,183.0,5765600
2023-07-18,183.0,184.0,174.0,176.0,4155500
2023-07-20,177.0,177.0,175.0,176.0,573600
2023-07-21,176.0,177.0,171.0,173.0,814500
2023-07-24,173.0,182.0,172.0,180.0,2025200
2023-07-25,180.0,184.0,178.0,182.0,2564900
