Date,Open,High,Low,Close,Volume
2021-01-04,246.0,246.0,246.0,246.0,0
2021-01-05,246.0,246.0,230.0,230.0,73400
2021-01-06,214.0,214.0,214.0,214.0,36000
2021-01-07,200.0,200.0,200.0,200.0,49700
2021-01-08,186.0,186.0,186.0,186.0,109400
2021-01-11,184.0,184.0,173.0,173.0,929500
2021-01-12,173.0,184.0,162.0,163.0,592800
2021-01-13,163.0,180.0,163.0,166.0,225800
2021-01-14,166.0,175.0,155.0,155.0,369200
2021-01-15,155.0,158.0,145.0,145.0,197900
2021-01-18,135.0,135.0,135.0,135.0,85500
2021-01-19,126.0,126.0,126.0,126.0,371100
2021-01-20,118.0,118.0,118.0,118.0,13000
2021-01-21,111.0,111.0,110.0,110.0,100900
2021-01-22,103.0,148.0,103.0,126.0,3922700
2021-01-25,126.0,134.0,118.0,118.0,993800
2021-01-26,118.0,118.0,110.0,110.0,147200
2021-01-27,110.0,110.0,103.0,103.0,104000
2021-01-28,96.0,96.0,96.0,96.0,7200
2021-01-29,90.0,90.0,90.0,90.0,18600
2021-02-01,84.0,84.0,84.0,84.0,97200
2021-02-02,84.0,93.0,79.0,79.0,1122200
2021-02-03,74.0,77.0,74.0,74.0,318300
2021-02-04,69.0,99.0,69.0,99.0,4181200
2021-02-05,99.0,133.0,99.0,133.0,2103500
2021-02-08,140.0,179.0,140.0,179.0,4889700
2021-02-09,189.0,240.0,189.0,216.0,7994700
2021-02-10,216.0,262.0,202.0,202.0,1348100
2021-02-11,198.0,198.0,188.0,188.0,62600
2021-02-15,188.0,188.0,175.0,175.0,109000
2021-02-16,175.0,175.0,163.0,163.0,112200
2021-02-17,218.0,218.0,152.0,154.0,6842900
2021-02-18,145.0,149.0,144.0,144.0,1179200
2021-02-19,154.0,154.0,135.0,148.0,478600
2021-02-22,144.0,165.0,144.0,152.0,1051400
2021-02-23,155.0,160.0,147.0,152.0,548500
2021-02-24,199.0,199.0,144.0,156.0,415800
2021-02-25,156.0,158.0,147.0,148.0,268600
2021-02-26,153.0,153.0,140.0,140.0,94800
2021-03-01,137.0,154.0,132.0,141.0,336100
2021-03-02,141.0,144.0,134.0,139.0,78600
2021-03-03,140.0,146.0,134.0,141.0,279000
2021-03-04,136.0,159.0,134.0,140.0,562100
2021-03-05,140.0,150.0,136.0,140.0,143300
2021-03-08,140.0,145.0,137.0,137.0,168300
2021-03-09,140.0,150.0,137.0,143.0,237900
2021-03-10,143.0,143.0,135.0,137.0,74300
2021-03-12,134.0,140.0,134.0,140.0,25000
2021-03-15,140.0,174.0,138.0,152.0,2677900
2021-03-16,152.0,197.0,143.0,150.0,2277700
2021-03-17,151.0,180.0,148.0,152.0,3343900
2021-03-18,153.0,159.0,152.0,152.0,276800
2021-03-19,154.0,154.0,142.0,146.0,284800
2021-03-22,142.0,148.0,138.0,147.0,66500
2021-03-23,149.0,149.0,137.0,145.0,49000
2021-03-24,145.0,145.0,138.0,143.0,38200
2021-03-25,143.0,143.0,136.0,141.0,40600
2021-03-26,144.0,144.0,143.0,144.0,27900
2021-03-29,144.0,150.0,137.0,137.0,346500
2021-03-30,140.0,147.0,128.0,131.0,421000
2021-03-31,131.0,140.0,123.0,126.0,118400
2021-04-01,136.0,137.0,125.0,126.0,54700
2021-04-05,122.0,125.0,118.0,122.0,101300
2021-04-06,122.0,130.0,119.0,122.0,92600
2021-04-07,122.0,122.0,120.0,120.0,25600
2021-04-08,125.0,129.0,113.0,128.0,89000
2021-04-09,128.0,128.0,128.0,128.0,1000
2021-04-12,130.0,130.0,120.0,120.0,69600
2021-04-13,120.0,130.0,116.0,125.0,84800
2021-04-14,125.0,130.0,119.0,121.0,16900
2021-04-15,126.0,127.0,119.0,122.0,60100
2021-04-16,123.0,129.0,119.0,122.0,20800
2021-04-19,125.0,125.0,114.0,121.0,194100
2021-04-20,121.0,147.0,115.0,123.0,1424900
2021-04-21,125.0,127.0,120.0,124.0,230000
2021-04-22,130.0,130.0,117.0,122.0,64900
2021-04-23,125.0,128.0,120.0,122.0,106100
2021-04-26,122.0,124.0,119.0,122.0,74700
2021-04-27,119.0,122.0,116.0,116.0,84800
2021-04-28,116.0,126.0,114.0,119.0,47500
2021-04-29,119.0,130.0,119.0,123.0,79300
2021-04-30,125.0,137.0,120.0,128.0,237100
2021-05-03,123.0,135.0,123.0,123.0,79400
2021-05-04,123.0,123.0,121.0,121.0,63100
2021-05-05,121.0,128.0,121.0,121.0,124400
2021-05-06,121.0,163.0,121.0,163.0,3816300
2021-05-07,184.0,210.0,165.0,168.0,10560100
2021-05-10,168.0,170.0,157.0,159.0,796800
2021-05-11,159.0,165.0,148.0,156.0,693200
2021-05-17,156.0,166.0,150.0,150.0,299200
2021-05-18,150.0,160.0,150.0,151.0,183700
2021-05-19,153.0,157.0,149.0,149.0,408400
2021-05-20,149.0,154.0,146.0,148.0,62500
2021-05-21,146.0,154.0,146.0,151.0,73200
2021-05-24,153.0,154.0,141.0,145.0,88300
2021-05-25,145.0,145.0,137.0,140.0,59500
2021-05-27,140.0,140.0,135.0,140.0,73600
2021-05-28,140.0,189.0,135.0,189.0,2555800
2021-05-31,230.0,250.0,176.0,176.0,17391800
2021-06-02,200.0,200.0,164.0,166.0,1017800
2021-06-03,166.0,175.0,158.0,171.0,263100
2021-06-04,171.0,187.0,164.0,172.0,449500
2021-06-07,172.0,175.0,165.0,170.0,229900
2021-06-08,170.0,174.0,166.0,168.0,95100
2021-06-09,168.0,171.0,157.0,167.0,94800
2021-06-10,165.0,165.0,156.0,161.0,229900
2021-06-11,163.0,169.0,159.0,160.0,398300
2021-06-14,167.0,182.0,160.0,173.0,739000
2021-06-15,175.0,178.0,165.0,173.0,355000
2021-06-16,172.0,173.0,165.0,168.0,112700
2021-06-17,167.0,175.0,162.0,169.0,70300
2021-06-18,168.0,168.0,162.0,162.0,37300
2021-06-21,218.0,218.0,160.0,168.0,98600
2021-06-22,168.0,170.0,157.0,157.0,327900
2021-06-23,157.0,169.0,157.0,159.0,80300
2021-06-24,149.0,167.0,149.0,157.0,62500
2021-06-25,157.0,162.0,157.0,161.0,63500
2021-06-28,161.0,164.0,155.0,155.0,79100
2021-06-29,155.0,159.0,146.0,150.0,185100
2021-06-30,150.0,202.0,150.0,202.0,4164000
2021-07-01,222.0,240.0,188.0,188.0,5244700
2021-07-02,176.0,240.0,175.0,195.0,3820700
2021-07-05,196.0,198.0,182.0,182.0,2110100
2021-07-06,180.0,180.0,170.0,170.0,2459200
2021-07-07,168.0,170.0,159.0,161.0,1249700
2021-07-08,161.0,186.0,155.0,176.0,7689700
2021-07-09,176.0,176.0,164.0,164.0,1151400
2021-07-12,157.0,167.0,153.0,157.0,637800
2021-07-13,157.0,157.0,149.0,151.0,467100
2021-07-14,151.0,156.0,143.0,149.0,351300
2021-07-15,152.0,160.0,150.0,153.0,411300
2021-07-16,153.0,160.0,149.0,153.0,94300
2021-07-19,153.0,153.0,147.0,149.0,176300
2021-07-21,149.0,151.0,144.0,149.0,196500
2021-07-22,149.0,163.0,143.0,157.0,924400
2021-07-23,157.0,160.0,155.0,160.0,385000
2021-07-26,162.0,164.0,155.0,160.0,320700
2021-07-27,160.0,160.0,155.0,160.0,39800
2021-07-28,165.0,165.0,157.0,158.0,82000
2021-07-29,150.0,162.0,150.0,159.0,94700
2021-07-30,160.0,162.0,154.0,156.0,140800
2021-08-02,158.0,162.0,158.0,158.0,65600
2021-08-03,158.0,158.0,155.0,155.0,106000
2021-08-04,161.0,161.0,155.0,155.0,102000
2021-08-05,150.0,160.0,150.0,156.0,192500
2021-08-06,156.0,159.0,151.0,153.0,154700
2021-08-09,154.0,157.0,153.0,153.0,30700
2021-08-10,160.0,160.0,149.0,150.0,480200
2021-08-12,154.0,158.0,149.0,150.0,111800
2021-08-13,151.0,155.0,143.0,149.0,488400
2021-08-16,149.0,154.0,147.0,148.0,28200
2021-08-18,148.0,157.0,148.0,148.0,94600
2021-08-19,148.0,149.0,147.0,147.0,25100
2021-08-20,150.0,151.0,145.0,149.0,58700
2021-08-23,150.0,151.0,140.0,148.0,127100
2021-08-24,149.0,149.0,145.0,146.0,78200
2021-08-25,146.0,154.0,146.0,154.0,85400
2021-08-26,154.0,157.0,147.0,154.0,45900
2021-08-27,152.0,154.0,147.0,147.0,48200
2021-08-30,152.0,155.0,147.0,147.0,77000
2021-08-31,148.0,150.0,141.0,147.0,41800
2021-09-01,144.0,147.0,144.0,147.0,6600
2021-09-02,147.0,148.0,147.0,147.0,16100
2021-09-03,150.0,152.0,147.0,151.0,130400
2021-09-06,151.0,151.0,149.0,150.0,24400
2021-09-07,150.0,150.0,149.0,149.0,17100
2021-09-08,157.0,157.0,149.0,149.0,66400
2021-09-09,156.0,156.0,149.0,149.0,21500
2021-09-10,151.0,151.0,149.0,149.0,47000
2021-09-13,149.0,152.0,140.0,144.0,75200
2021-09-14,150.0,194.0,150.0,194.0,6513500
2021-09-15,200.0,220.0,181.0,181.0,6979600
2021-09-16,181.0,181.0,169.0,169.0,2306700
2021-09-17,169.0,169.0,158.0,158.0,1567600
2021-09-20,158.0,174.0,154.0,155.0,786000
2021-09-21,155.0,163.0,155.0,163.0,244100
2021-09-22,164.0,167.0,157.0,159.0,208200
2021-09-23,160.0,161.0,155.0,160.0,79200
2021-09-24,161.0,161.0,156.0,157.0,52800
2021-09-27,156.0,160.0,147.0,157.0,30700
2021-09-28,157.0,159.0,156.0,158.0,90000
2021-09-29,159.0,169.0,155.0,159.0,277400
2021-09-30,151.0,159.0,151.0,159.0,19600
2021-10-01,166.0,166.0,153.0,158.0,83400
2021-10-04,159.0,160.0,154.0,158.0,110400
