Date,Open,High,Low,Close,Volume
2021-01-04,95.0,96.0,88.0,93.0,583265100
2021-01-05,94.0,104.0,90.0,99.0,963557100
2021-01-06,100.0,101.0,93.0,98.0,455189300
2021-01-07,99.0,104.0,98.0,100.0,603927600
2021-01-08,100.0,105.0,99.0,101.0,617547900
2021-01-11,101.0,103.0,99.0,99.0,247124500
2021-01-12,99.0,102.0,97.0,98.0,306428100
2021-01-13,98.0,114.0,98.0,105.0,2175568500
2021-01-14,106.0,107.0,101.0,102.0,518872600
2021-01-15,104.0,107.0,100.0,103.0,589584000
2021-01-18,104.0,107.0,100.0,100.0,563669900
2021-01-19,101.0,102.0,93.0,93.0,580527100
2021-01-20,95.0,100.0,89.0,94.0,301537700
2021-01-21,96.0,99.0,93.0,95.0,294719400
2021-01-22,96.0,96.0,89.0,91.0,244249000
2021-01-25,91.0,95.0,85.0,85.0,300657900
2021-01-26,85.0,88.0,80.0,80.0,342253000
2021-01-27,80.0,83.0,75.0,81.0,673547100
2021-01-28,81.0,87.0,76.0,76.0,572613900
2021-01-29,76.0,80.0,71.0,71.0,347413600
2021-02-01,71.0,75.0,67.0,75.0,444428400
2021-02-02,76.0,80.0,71.0,74.0,360970700
2021-02-03,75.0,77.0,73.0,75.0,123497300
2021-02-04,72.0,81.0,72.0,76.0,417223700
2021-02-05,76.0,78.0,75.0,77.0,111572900
2021-02-08,77.0,81.0,75.0,81.0,242022900
2021-02-09,82.0,85.0,78.0,80.0,308746300
2021-02-10,80.0,81.0,78.0,80.0,72472000
2021-02-11,81.0,81.0,79.0,79.0,44801800
2021-02-15,79.0,83.0,79.0,82.0,108065200
2021-02-16,82.0,84.0,80.0,82.0,158139400
2021-02-17,82.0,83.0,79.0,80.0,133972100
2021-02-18,81.0,82.0,79.0,80.0,84215900
2021-02-19,81.0,81.0,78.0,79.0,64855300
2021-02-22,80.0,81.0,78.0,78.0,91747800
2021-02-23,79.0,80.0,78.0,78.0,62586200
2021-02-24,79.0,79.0,77.0,77.0,64785600
2021-02-25,78.0,81.0,76.0,79.0,174096600
2021-02-26,80.0,84.0,77.0,82.0,266079900
2021-03-01,85.0,90.0,83.0,87.0,806091000
2021-03-02,87.0,90.0,83.0,83.0,261297300
2021-03-03,85.0,85.0,80.0,81.0,144031300
2021-03-04,80.0,83.0,78.0,80.0,229359500
2021-03-05,80.0,81.0,76.0,78.0,227058600
2021-03-08,79.0,80.0,77.0,77.0,76325100
2021-03-09,77.0,79.0,75.0,76.0,107652200
2021-03-10,77.0,81.0,76.0,77.0,148054500
2021-03-12,78.0,79.0,77.0,79.0,67322700
2021-03-15,79.0,81.0,78.0,81.0,125367500
2021-03-16,83.0,85.0,80.0,80.0,260273200
2021-03-17,81.0,82.0,79.0,80.0,90448300
