Date,Open,High,Low,Close,Volume
2021-01-04,975.0,1020.0,975.0,980.0,1904100
2021-01-05,980.0,1180.0,955.0,1145.0,15872200
2021-01-06,1160.0,1190.0,1070.0,1075.0,14318000
2021-01-07,1075.0,1095.0,1020.0,1030.0,3888100
2021-01-08,1030.0,1140.0,1030.0,1075.0,21938100
2021-01-11,1100.0,1340.0,1080.0,1340.0,71065600
2021-01-12,1440.0,1640.0,1420.0,1480.0,84653300
2021-01-13,1500.0,1540.0,1380.0,1380.0,35431400
2021-01-14,1340.0,1345.0,1285.0,1285.0,2193400
2021-01-15,1200.0,1215.0,1200.0,1200.0,1972200
2021-01-18,1120.0,1125.0,1120.0,1120.0,1404700
2021-01-19,1045.0,1080.0,1045.0,1045.0,4424500
2021-01-20,975.0,1055.0,975.0,1000.0,24088900
2021-01-21,1005.0,1050.0,980.0,990.0,8618100
2021-01-22,995.0,1005.0,925.0,935.0,5686200
2021-01-25,935.0,950.0,875.0,880.0,4515500
2021-01-26,880.0,940.0,830.0,890.0,6747500
2021-01-27,890.0,935.0,870.0,935.0,5119800
2021-01-28,935.0,940.0,905.0,905.0,3773200
2021-01-29,905.0,925.0,905.0,915.0,2169100
2021-02-01,915.0,970.0,900.0,955.0,3327400
2021-02-02,955.0,1085.0,955.0,1010.0,12825900
2021-02-03,1015.0,1080.0,1000.0,1010.0,7591300
2021-02-04,1020.0,1020.0,980.0,985.0,2668400
2021-02-05,980.0,1015.0,975.0,1010.0,1607600
2021-02-08,1030.0,1050.0,1000.0,1015.0,2870600
2021-02-09,1020.0,1135.0,1000.0,1050.0,10597400
2021-02-10,1050.0,1060.0,1005.0,1010.0,1760000
2021-02-11,1010.0,1055.0,1010.0,1050.0,2332300
2021-02-15,1055.0,1065.0,1015.0,1030.0,961500
2021-02-16,1045.0,1110.0,1025.0,1085.0,6102600
2021-02-17,1095.0,1140.0,1030.0,1040.0,4349700
2021-02-18,1010.0,1065.0,1010.0,1020.0,826400
2021-02-19,1040.0,1045.0,1000.0,1020.0,896600
2021-02-22,1020.0,1035.0,1010.0,1015.0,1371900
2021-02-23,1015.0,1020.0,1005.0,1015.0,730600
2021-02-24,1015.0,1015.0,1000.0,1000.0,851900
2021-02-25,985.0,1015.0,985.0,1015.0,1015300
2021-02-26,1015.0,1015.0,965.0,985.0,1602800
2021-03-01,985.0,1005.0,985.0,995.0,378700
2021-03-02,995.0,1000.0,985.0,990.0,408300
2021-03-03,995.0,995.0,960.0,965.0,1162700
2021-03-04,965.0,965.0,915.0,925.0,1366400
2021-03-05,935.0,935.0,910.0,920.0,456700
2021-03-08,910.0,940.0,910.0,910.0,396500
2021-03-09,910.0,960.0,900.0,915.0,1483000
2021-03-10,915.0,945.0,915.0,925.0,404600
2021-03-12,925.0,940.0,915.0,930.0,584700
2021-03-15,940.0,950.0,925.0,925.0,301400
2021-03-16,925.0,930.0,905.0,910.0,394300
2021-03-17,910.0,925.0,910.0,915.0,182500
2021-03-18,915.0,920.0,905.0,915.0,337100
2021-03-19,915.0,920.0,905.0,910.0,351300
2021-03-22,915.0,920.0,910.0,920.0,542500
2021-03-23,920.0,945.0,910.0,915.0,856800
2021-03-24,915.0,925.0,905.0,905.0,501500
2021-03-25,915.0,920.0,905.0,910.0,696000
2021-03-26,920.0,960.0,910.0,920.0,902200
2021-03-29,925.0,935.0,915.0,920.0,457200
2021-03-30,920.0,975.0,920.0,940.0,1688400
2021-03-31,950.0,955.0,920.0,930.0,816800
2021-04-01,940.0,1015.0,925.0,1015.0,4257700
2021-04-05,1030.0,1060.0,1005.0,1010.0,3704400
2021-04-06,1010.0,1035.0,1005.0,1030.0,1771100
2021-04-07,1040.0,1100.0,1010.0,1055.0,1963400
2021-04-08,1065.0,1090.0,1055.0,1055.0,1796400
2021-04-09,1055.0,1080.0,1025.0,1030.0,1486300
2021-04-12,1030.0,1035.0,960.0,1010.0,1053900
2021-04-13,1010.0,1015.0,960.0,1005.0,1390800
2021-04-14,990.0,1030.0,990.0,1025.0,678800
