Date,Open,High,Low,Close,Volume
2023-11-08,124.0,150.0,120.0,125.0,545672700
2023-11-09,117.0,125.0,97.0,97.0,198749200
2023-11-10,95.0,105.0,91.0,98.0,105321500
2023-11-13,98.0,107.0,96.0,105.0,51623800
2023-11-14,110.0,114.0,106.0,110.0,148478200
2023-11-15,110.0,111.0,103.0,104.0,43299600
2023-11-16,104.0,108.0,99.0,99.0,33797300
2023-11-17,99.0,103.0,95.0,96.0,29872200
2023-11-20,88.0,102.0,88.0,99.0,45990600
2023-11-21,99.0,101.0,96.0,100.0,25112900
2023-11-22,99.0,109.0,99.0,106.0,69869400
2023-11-23,107.0,107.0,102.0,102.0,21028300
2023-11-24,102.0,104.0,96.0,99.0,19696200
2023-11-27,90.0,100.0,90.0,97.0,16095900
2023-11-28,97.0,99.0,96.0,97.0,9278000
2023-11-29,97.0,99.0,96.0,96.0,8569300
2023-11-30,97.0,106.0,93.0,103.0,54660000
2023-12-01,105.0,105.0,101.0,103.0,12171100
2023-12-04,98.0,105.0,98.0,104.0,30319300
2023-12-05,104.0,105.0,100.0,104.0,15320800
2023-12-06,104.0,104.0,102.0,103.0,11515500
2023-12-07,103.0,104.0,100.0,104.0,19481100
2023-12-08,104.0,108.0,101.0,101.0,20906600
2023-12-11,101.0,102.0,98.0,98.0,15099300
2023-12-12,98.0,102.0,97.0,100.0,8456000
2023-12-13,99.0,103.0,99.0,102.0,8259500
2023-12-14,102.0,103.0,100.0,100.0,6289000
2023-12-15,100.0,102.0,99.0,100.0,2399500
2023-12-18,100.0,101.0,98.0,99.0,5257200
2023-12-19,99.0,100.0,95.0,98.0,17880100
2023-12-20,98.0,100.0,96.0,97.0,5540500
2023-12-21,97.0,99.0,96.0,97.0,2730800
2023-12-22,97.0,97.0,92.0,93.0,8871700
2023-12-27,83.0,96.0,83.0,90.0,6871200
2023-12-28,90.0,92.0,88.0,88.0,5315000
2023-12-29,91.0,92.0,88.0,92.0,5900500
2024-01-02,90.0,92.0,90.0,90.0,2212300
2024-01-03,74.0,92.0,74.0,89.0,1616500
2024-01-04,89.0,107.0,89.0,102.0,48086600
2024-01-05,105.0,105.0,93.0,97.0,10844000
2024-01-08,98.0,101.0,92.0,101.0,14725800
2024-01-09,101.0,102.0,97.0,102.0,9807300
2024-01-10,108.0,108.0,100.0,102.0,10283300
2024-01-11,109.0,109.0,99.0,103.0,11338100
2024-01-12,103.0,103.0,98.0,99.0,4385400
2024-01-15,99.0,99.0,99.0,99.0,0
2024-01-16,97.0,106.0,97.0,102.0,20938100
2024-01-17,103.0,106.0,100.0,100.0,19562700
2024-01-18,103.0,103.0,98.0,100.0,10130000
2024-01-19,101.0,106.0,98.0,99.0,29179400
2024-01-22,99.0,109.0,96.0,108.0,57194500
2024-01-23,109.0,109.0,102.0,106.0,17546500
2024-01-24,106.0,106.0,102.0,103.0,10675400
2024-01-25,103.0,118.0,101.0,114.0,143144400
2024-01-26,114.0,115.0,104.0,105.0,28552900
2024-01-29,105.0,113.0,102.0,107.0,20408500
2024-01-30,108.0,117.0,106.0,117.0,66093200
2024-01-31,118.0,119.0,112.0,119.0,55638900
2024-02-01,117.0,123.0,114.0,117.0,42737400
2024-02-02,118.0,118.0,113.0,113.0,10201600
2024-02-05,112.0,125.0,110.0,122.0,107423900
2024-02-06,123.0,126.0,115.0,116.0,84867100
2024-02-07,116.0,119.0,96.0,109.0,114480800
2024-02-12,109.0,115.0,106.0,112.0,39295600
2024-02-13,113.0,117.0,109.0,113.0,41297400
2024-02-15,113.0,124.0,111.0,123.0,106223600
2024-02-16,123.0,127.0,120.0,123.0,57826000
2024-02-19,123.0,124.0,116.0,120.0,32448900
2024-02-20,120.0,124.0,117.0,123.0,30948700
2024-02-21,123.0,126.0,119.0,120.0,15016500
2024-02-22,120.0,121.0,115.0,118.0,28719400
2024-02-23,117.0,121.0,115.0,116.0,30671900
2024-02-26,117.0,117.0,109.0,113.0,14550900
2024-02-27,113.0,113.0,96.0,96.0,52047700
2024-02-28,96.0,97.0,90.0,95.0,17127900
2024-02-29,95.0,98.0,92.0,95.0,9832700
2024-03-01,86.0,97.0,86.0,96.0,12992100
2024-03-04,64.0,96.0,64.0,95.0,11725000
2024-03-05,96.0,97.0,93.0,95.0,4894300
2024-03-06,87.0,99.0,87.0,91.0,15598300
2024-03-07,91.0,93.0,89.0,90.0,4842700
2024-03-08,76.0,91.0,76.0,89.0,2092200
2024-03-13,89.0,90.0,85.0,87.0,4960600
2024-03-14,87.0,89.0,85.0,88.0,2823800
2024-03-15,87.0,88.0,85.0,86.0,2040600
2024-03-18,80.0,87.0,80.0,85.0,2628500
2024-03-19,85.0,85.0,81.0,81.0,5274100
2024-03-20,73.0,82.0,73.0,79.0,2627200
2024-03-21,79.0,80.0,74.0,74.0,9689900
2024-03-22,68.0,76.0,68.0,73.0,2658000
2024-03-25,73.0,73.0,73.0,73.0,0
2024-03-26,73.0,73.0,73.0,73.0,0
2024-03-27,92.0,92.0,73.0,73.0,2312200
2024-03-28,80.0,80.0,68.0,70.0,3484900
2024-04-01,57.0,70.0,57.0,62.0,12619000
2024-04-02,69.0,69.0,50.0,62.0,4051100
2024-04-03,69.0,69.0,60.0,66.0,5853800
2024-04-04,70.0,70.0,64.0,65.0,3487000
2024-04-05,71.0,71.0,64.0,66.0,2052700
2024-04-16,66.0,73.0,62.0,65.0,1805200
2024-04-17,71.0,71.0,62.0,64.0,759500
2024-04-18,69.0,69.0,61.0,64.0,1501600
2024-04-19,63.0,65.0,62.0,64.0,2707300
2024-04-22,70.0,76.0,63.0,73.0,61907700
2024-04-23,72.0,90.0,69.0,87.0,217560800
2024-04-24,88.0,92.0,83.0,87.0,62443400
2024-04-25,82.0,90.0,82.0,87.0,23011400
2024-04-26,87.0,89.0,83.0,86.0,22639000
2024-04-29,86.0,88.0,83.0,85.0,7396200
2024-04-30,85.0,87.0,85.0,85.0,6135200
2024-05-02,85.0,87.0,77.0,79.0,8529100
2024-05-03,80.0,86.0,79.0,83.0,9878900
2024-05-06,82.0,91.0,82.0,88.0,25138100
2024-05-07,80.0,95.0,80.0,95.0,42978800
2024-05-08,95.0,98.0,93.0,94.0,17241100
2024-05-13,91.0,98.0,90.0,91.0,19800600
2024-05-14,89.0,103.0,89.0,102.0,19482500
2024-05-15,102.0,109.0,95.0,107.0,120631600
2024-05-16,102.0,107.0,95.0,99.0,27300400
2024-05-17,96.0,99.0,95.0,97.0,4399200
2024-05-20,97.0,99.0,96.0,97.0,4316500
2024-05-21,90.0,98.0,90.0,96.0,8901900
2024-05-22,93.0,97.0,93.0,94.0,11353800
2024-05-27,93.0,95.0,91.0,94.0,6408500
2024-05-28,95.0,95.0,92.0,93.0,1602600
2024-05-29,93.0,96.0,91.0,92.0,7550200
2024-05-30,91.0,97.0,90.0,95.0,12607300
2024-05-31,95.0,95.0,93.0,94.0,1868000
2024-06-03,94.0,100.0,92.0,100.0,17293700
2024-06-04,103.0,105.0,96.0,96.0,29868200
2024-06-05,96.0,104.0,96.0,97.0,21418600
2024-06-06,98.0,103.0,98.0,102.0,24737000
2024-06-07,103.0,103.0,98.0,98.0,18578800
2024-06-10,98.0,98.0,95.0,95.0,6414600
2024-06-11,95.0,99.0,94.0,98.0,5290300
2024-06-12,99.0,100.0,95.0,96.0,7156500
2024-06-13,96.0,96.0,94.0,94.0,2863000
2024-06-14,94.0,95.0,90.0,94.0,6117400
2024-06-19,93.0,93.0,90.0,90.0,4868600
2024-06-20,89.0,94.0,88.0,89.0,6464100
2024-06-21,89.0,93.0,87.0,90.0,7194100
2024-06-24,90.0,92.0,89.0,90.0,5553900
2024-06-25,90.0,94.0,89.0,92.0,7656400
2024-06-26,92.0,98.0,90.0,95.0,16058100
2024-06-27,97.0,97.0,93.0,94.0,3705600
2024-06-28,94.0,96.0,91.0,94.0,7534400
2024-07-01,94.0,94.0,91.0,92.0,1284800
2024-07-02,92.0,93.0,91.0,91.0,6036300
2024-07-03,91.0,92.0,90.0,92.0,1501500
2024-07-04,92.0,98.0,91.0,96.0,17843400
2024-07-05,96.0,97.0,92.0,92.0,8087800
2024-07-08,92.0,93.0,91.0,92.0,4272500
2024-07-09,93.0,97.0,91.0,95.0,44409100
2024-07-10,96.0,104.0,95.0,97.0,47210500
2024-07-11,97.0,100.0,94.0,96.0,18377400
2024-07-12,95.0,97.0,94.0,96.0,6647200
2024-07-15,96.0,99.0,91.0,92.0,15685400
2024-07-16,93.0,93.0,91.0,93.0,4091600
2024-07-17,93.0,94.0,87.0,87.0,23720100
2024-07-18,88.0,88.0,86.0,88.0,4520500
2024-07-19,88.0,90.0,87.0,88.0,6801000
2024-07-22,88.0,92.0,88.0,91.0,11985900
2024-07-23,92.0,92.0,91.0,92.0,3108900
2024-07-24,93.0,93.0,91.0,92.0,8621800
2024-07-25,92.0,93.0,91.0,92.0,2019400
2024-07-26,93.0,93.0,87.0,89.0,17153900
2024-07-29,89.0,90.0,87.0,87.0,4694400
2024-07-30,87.0,91.0,87.0,89.0,10729000
2024-07-31,89.0,89.0,87.0,87.0,1303400
2024-08-01,88.0,89.0,87.0,87.0,8468500
2024-08-02,87.0,88.0,87.0,87.0,1674800
2024-08-05,87.0,94.0,86.0,89.0,14742500
2024-08-06,90.0,91.0,88.0,91.0,9264300
2024-08-07,91.0,97.0,90.0,96.0,37644400
2024-08-08,96.0,98.0,92.0,93.0,18711900
2024-08-09,93.0,94.0,91.0,92.0,3993700
2024-08-12,92.0,93.0,90.0,92.0,5603400
2024-08-13,91.0,92.0,90.0,90.0,2589400
2024-08-14,91.0,92.0,90.0,92.0,6401600
2024-08-15,92.0,92.0,89.0,92.0,4483000
2024-08-16,92.0,92.0,89.0,90.0,8464900
2024-08-19,90.0,91.0,89.0,90.0,1892300
2024-08-20,90.0,91.0,89.0,90.0,5543700
2024-08-21,91.0,91.0,89.0,89.0,1888200
2024-08-22,89.0,94.0,89.0,93.0,20535600
2024-08-23,93.0,94.0,90.0,93.0,9566800
2024-08-26,92.0,93.0,91.0,91.0,1297900
2024-08-27,91.0,94.0,90.0,91.0,6028400
2024-08-28,91.0,92.0,90.0,90.0,4038300
2024-08-29,91.0,91.0,89.0,90.0,4335800
2024-08-30,90.0,91.0,90.0,90.0,2970100
2024-09-02,90.0,91.0,90.0,90.0,443000
2024-09-03,90.0,91.0,89.0,89.0,2995400
2024-09-04,89.0,95.0,88.0,94.0,18438700
2024-09-05,94.0,94.0,91.0,92.0,4099000
2024-09-06,92.0,95.0,92.0,93.0,22287400
2024-09-09,93.0,94.0,91.0,93.0,7128000
2024-09-10,93.0,93.0,91.0,91.0,9123000
2024-09-11,91.0,95.0,91.0,91.0,16445500
2024-09-12,92.0,95.0,91.0,92.0,30372400
2024-09-13,92.0,93.0,91.0,92.0,12701000
2024-09-17,92.0,92.0,91.0,91.0,1185900
2024-09-18,92.0,92.0,90.0,90.0,2315300
2024-09-19,90.0,91.0,90.0,90.0,2020900
2024-09-20,91.0,91.0,88.0,89.0,3462800
2024-09-23,89.0,90.0,88.0,90.0,2302600
2024-09-24,89.0,90.0,89.0,89.0,1732800
2024-09-25,89.0,90.0,88.0,89.0,792100
2024-09-26,89.0,89.0,87.0,87.0,5936900
2024-09-27,87.0,91.0,82.0,90.0,14105300
2024-09-30,90.0,90.0,89.0,90.0,2056800
2024-10-01,88.0,90.0,88.0,89.0,5797500
2024-10-02,88.0,90.0,87.0,90.0,9778500
2024-10-03,90.0,90.0,88.0,89.0,452500
2024-10-04,89.0,92.0,89.0,89.0,15691500
2024-10-07,89.0,89.0,88.0,88.0,822100
2024-10-08,88.0,92.0,87.0,90.0,16558000
2024-10-09,89.0,92.0,89.0,91.0,5963800
2024-10-10,91.0,92.0,90.0,91.0,1996600
2024-10-11,92.0,94.0,91.0,92.0,19495200
2024-10-14,92.0,93.0,91.0,92.0,5855900
2024-10-15,92.0,94.0,92.0,93.0,8210000
2024-10-16,93.0,97.0,92.0,94.0,37706600
2024-10-17,94.0,98.0,92.0,98.0,42492900
2024-10-18,98.0,100.0,97.0,97.0,22985000
2024-10-21,97.0,97.0,94.0,94.0,10091000
2024-10-22,95.0,95.0,93.0,95.0,5654600
2024-10-23,95.0,95.0,93.0,95.0,3826400
2024-10-24,94.0,95.0,93.0,93.0,4169200
2024-10-25,94.0,97.0,93.0,94.0,17939200
2024-10-28,100.0,100.0,93.0,94.0,3496700
2024-10-29,94.0,97.0,94.0,96.0,13742900
2024-10-30,96.0,98.0,95.0,95.0,13015600
2024-10-31,95.0,95.0,94.0,94.0,2395900
2024-11-01,94.0,99.0,93.0,99.0,28022200
2024-11-04,100.0,108.0,98.0,104.0,85337800
2024-11-05,104.0,107.0,98.0,103.0,64347300
2024-11-06,103.0,103.0,100.0,100.0,8344200
2024-11-07,102.0,105.0,99.0,105.0,23103600
2024-11-08,105.0,108.0,93.0,94.0,92041300
2024-11-11,90.0,96.0,89.0,95.0,42503600
2024-11-12,95.0,98.0,93.0,95.0,24549800
2024-11-13,95.0,96.0,94.0,95.0,9816500
2024-11-14,96.0,96.0,90.0,90.0,8710600
2024-11-15,90.0,95.0,87.0,95.0,18302600
2024-11-18,95.0,95.0,93.0,95.0,3581400
2024-11-19,95.0,95.0,93.0,93.0,3567800
2024-11-20,93.0,100.0,92.0,100.0,33533700
2024-11-21,100.0,104.0,98.0,101.0,53959900
2024-11-22,101.0,103.0,100.0,102.0,13976900
2024-11-25,101.0,102.0,100.0,100.0,3684900
2024-11-26,101.0,105.0,99.0,105.0,30564600
2024-11-28,105.0,107.0,102.0,106.0,21489600
2024-11-29,106.0,111.0,103.0,104.0,40655500
