Date,Open,High,Low,Close,Volume
2021-12-06,378.0,400.0,336.0,336.0,67770500
2021-12-07,330.0,330.0,314.0,328.0,29151600
2021-12-08,320.0,328.0,306.0,306.0,16977800
2021-12-09,306.0,308.0,286.0,286.0,13694100
2021-12-10,268.0,282.0,266.0,274.0,23629700
2021-12-13,274.0,280.0,260.0,264.0,3400100
2021-12-14,264.0,270.0,258.0,264.0,9640800
2021-12-15,264.0,270.0,252.0,252.0,5940000
2021-12-16,254.0,258.0,236.0,236.0,6303400
2021-12-17,220.0,238.0,220.0,222.0,11573700
2021-12-20,220.0,234.0,212.0,218.0,9336100
2021-12-21,218.0,224.0,216.0,218.0,4482400
2021-12-22,216.0,222.0,212.0,218.0,683400
2021-12-23,218.0,218.0,212.0,214.0,4642500
2021-12-24,214.0,216.0,208.0,212.0,8036500
2021-12-27,212.0,216.0,202.0,208.0,4866300
2021-12-28,210.0,210.0,198.0,198.0,3249200
2021-12-29,198.0,200.0,186.0,186.0,6585900
2021-12-30,186.0,190.0,177.0,178.0,1594400
2022-01-03,177.0,178.0,167.0,178.0,2871700
2022-01-04,178.0,222.0,178.0,200.0,9744000
2022-01-05,206.0,214.0,196.0,200.0,2035000
2022-01-06,200.0,200.0,188.0,198.0,998500
2022-01-07,199.0,208.0,196.0,206.0,2273500
2022-01-10,208.0,210.0,206.0,208.0,1169700
2022-01-11,210.0,222.0,200.0,220.0,4080100
2022-01-12,224.0,264.0,224.0,260.0,46065400
2022-01-13,262.0,264.0,242.0,242.0,15027700
2022-01-14,244.0,244.0,226.0,228.0,3765500
2022-01-17,230.0,240.0,228.0,232.0,3389200
2022-01-18,234.0,244.0,228.0,234.0,3582700
2022-01-19,234.0,234.0,222.0,228.0,2244100
2022-01-20,230.0,230.0,220.0,230.0,1263900
2022-01-21,230.0,238.0,228.0,234.0,4496000
2022-01-24,234.0,234.0,228.0,230.0,692700
2022-01-25,230.0,238.0,214.0,238.0,2701000
2022-01-26,238.0,246.0,222.0,222.0,9765900
2022-01-27,214.0,222.0,208.0,208.0,4804100
2022-01-28,196.0,206.0,194.0,194.0,7784600
2022-01-31,194.0,199.0,182.0,182.0,2449600
2022-02-02,183.0,194.0,182.0,190.0,1495600
2022-02-03,194.0,204.0,192.0,200.0,2053000
2022-02-04,198.0,212.0,198.0,198.0,1519700
2022-02-07,208.0,208.0,195.0,200.0,191100
2022-02-08,200.0,204.0,199.0,200.0,325800
2022-02-09,204.0,206.0,198.0,200.0,905800
2022-02-10,200.0,204.0,196.0,196.0,763900
2022-02-11,196.0,199.0,195.0,196.0,243800
2022-02-14,197.0,199.0,191.0,195.0,258300
2022-02-15,195.0,197.0,193.0,196.0,163400
2022-02-16,196.0,196.0,189.0,196.0,1239800
2022-02-17,195.0,195.0,189.0,192.0,1115700
