Date,Open,High,Low,Close,Volume
2021-01-04,442.0,442.0,442.0,442.0,10900
2021-01-05,442.0,442.0,442.0,442.0,700
2021-01-06,442.0,450.0,442.0,450.0,6100
2021-01-07,450.0,450.0,450.0,450.0,300
2021-01-08,450.0,470.0,450.0,470.0,7200
2021-01-11,450.0,470.0,440.0,470.0,600
2021-01-12,470.0,585.0,470.0,585.0,12500
2021-01-13,580.0,595.0,545.0,545.0,11200
2021-01-14,540.0,540.0,525.0,525.0,9500
2021-01-15,498.0,500.0,498.0,500.0,7600
2021-01-18,500.0,500.0,466.0,468.0,10100
2021-01-19,448.0,448.0,448.0,448.0,2400
2021-01-20,428.0,550.0,418.0,448.0,17100
2021-01-21,448.0,452.0,448.0,452.0,12800
2021-01-22,432.0,432.0,430.0,432.0,11100
2021-01-25,432.0,505.0,432.0,432.0,8600
2021-01-26,412.0,500.0,412.0,498.0,18000
2021-01-27,498.0,498.0,488.0,490.0,8400
2021-01-28,456.0,456.0,456.0,456.0,100
2021-01-29,456.0,456.0,436.0,456.0,8500
2021-02-01,426.0,505.0,426.0,430.0,20100
2021-02-02,430.0,525.0,430.0,452.0,9400
2021-02-03,452.0,452.0,450.0,450.0,8500
2021-02-04,448.0,448.0,430.0,430.0,11900
2021-02-05,410.0,535.0,400.0,535.0,68100
2021-02-08,498.0,515.0,498.0,500.0,5400
2021-02-09,500.0,550.0,480.0,480.0,5500
2021-02-10,450.0,460.0,450.0,460.0,400
2021-02-11,440.0,458.0,440.0,458.0,200
2021-02-15,458.0,458.0,458.0,458.0,2300
2021-02-16,458.0,458.0,458.0,458.0,100
2021-02-17,458.0,458.0,458.0,458.0,200
2021-02-18,458.0,458.0,458.0,458.0,0
2021-02-19,458.0,458.0,458.0,458.0,100
2021-02-22,458.0,458.0,458.0,458.0,0
2021-02-23,438.0,570.0,438.0,570.0,1400
2021-02-24,570.0,570.0,550.0,550.0,10500
2021-02-25,520.0,520.0,520.0,520.0,100
2021-02-26,520.0,520.0,520.0,520.0,1000
2021-03-01,520.0,520.0,520.0,520.0,0
2021-03-02,520.0,520.0,520.0,520.0,0
2021-03-03,520.0,520.0,520.0,520.0,100
2021-03-04,520.0,520.0,520.0,520.0,0
2021-03-05,520.0,520.0,520.0,520.0,0
2021-03-08,520.0,520.0,520.0,520.0,0
2021-03-09,484.0,484.0,484.0,484.0,700
2021-03-10,500.0,560.0,452.0,452.0,32600
2021-03-12,452.0,500.0,452.0,452.0,1300
2021-03-15,452.0,452.0,452.0,452.0,100
2021-03-16,452.0,452.0,452.0,452.0,2500
2021-03-17,452.0,452.0,452.0,452.0,100
2021-03-18,452.0,550.0,422.0,510.0,3300
2021-03-19,510.0,510.0,510.0,510.0,1800
2021-03-22,510.0,510.0,490.0,500.0,1000
2021-03-23,468.0,555.0,468.0,470.0,2600
2021-03-24,470.0,470.0,440.0,440.0,200
2021-03-25,440.0,440.0,440.0,440.0,0
2021-03-26,440.0,440.0,440.0,440.0,100
2021-03-29,440.0,440.0,440.0,440.0,0
2021-03-30,440.0,440.0,440.0,440.0,0
2021-03-31,440.0,440.0,440.0,440.0,100
2021-04-01,442.0,442.0,410.0,410.0,200
2021-04-05,492.0,500.0,492.0,500.0,900
2021-04-06,500.0,625.0,500.0,590.0,13400
2021-04-07,590.0,590.0,550.0,555.0,1000
2021-04-08,555.0,555.0,520.0,520.0,3400
2021-04-09,484.0,486.0,484.0,486.0,5200
2021-04-12,484.0,486.0,484.0,484.0,1300
2021-04-13,484.0,484.0,484.0,484.0,100
2021-04-14,484.0,585.0,476.0,525.0,8000
2021-04-15,490.0,525.0,490.0,490.0,4000
2021-04-16,470.0,600.0,470.0,585.0,8100
2021-04-19,585.0,585.0,545.0,545.0,8200
2021-04-20,545.0,545.0,545.0,545.0,3500
2021-04-21,535.0,545.0,510.0,510.0,2400
2021-04-22,510.0,510.0,476.0,482.0,2500
2021-04-23,476.0,496.0,476.0,482.0,800
2021-04-26,482.0,482.0,482.0,482.0,0
2021-04-27,482.0,482.0,482.0,482.0,300
2021-04-28,456.0,482.0,456.0,482.0,200
2021-04-29,464.0,464.0,464.0,464.0,200
2021-04-30,464.0,464.0,464.0,464.0,0
2021-05-03,464.0,464.0,464.0,464.0,100
2021-05-04,464.0,464.0,464.0,464.0,0
2021-05-05,470.0,470.0,470.0,470.0,200
2021-05-06,464.0,464.0,464.0,464.0,700
2021-05-07,464.0,464.0,464.0,464.0,100
2021-05-10,464.0,464.0,464.0,464.0,0
2021-05-11,440.0,440.0,440.0,440.0,200
2021-05-17,440.0,550.0,440.0,440.0,9800
2021-05-18,410.0,410.0,410.0,410.0,100
2021-05-19,410.0,410.0,410.0,410.0,0
2021-05-20,412.0,510.0,412.0,510.0,68600
2021-05-21,565.0,635.0,565.0,635.0,77000
2021-05-24,700.0,790.0,595.0,790.0,356400
2021-05-25,825.0,985.0,735.0,830.0,629300
2021-05-27,790.0,830.0,775.0,780.0,76100
2021-05-28,830.0,830.0,780.0,780.0,20000
2021-05-31,760.0,780.0,730.0,730.0,6800
2021-06-02,680.0,680.0,680.0,680.0,17300
2021-06-03,680.0,680.0,635.0,635.0,28500
2021-06-04,630.0,790.0,595.0,790.0,199200
2021-06-07,840.0,840.0,735.0,735.0,88200
2021-06-08,685.0,795.0,685.0,750.0,29600
2021-06-09,700.0,700.0,700.0,700.0,2300
2021-06-10,705.0,790.0,655.0,760.0,31400
2021-06-11,730.0,730.0,710.0,710.0,13500
2021-06-14,710.0,710.0,665.0,665.0,22200
2021-06-15,665.0,665.0,625.0,625.0,21600
2021-06-16,625.0,780.0,620.0,630.0,90900
2021-06-17,635.0,635.0,605.0,625.0,38800
2021-06-18,625.0,625.0,610.0,610.0,11400
2021-06-21,575.0,580.0,575.0,580.0,10600
2021-06-22,580.0,725.0,580.0,725.0,74500
2021-06-23,780.0,800.0,675.0,675.0,49600
2021-06-24,675.0,750.0,630.0,650.0,19400
2021-06-25,650.0,745.0,650.0,675.0,9200
2021-06-28,635.0,800.0,635.0,775.0,30300
2021-06-29,775.0,775.0,725.0,725.0,9600
2021-06-30,675.0,775.0,675.0,690.0,9300
2021-07-01,690.0,745.0,690.0,690.0,25800
2021-07-02,690.0,690.0,680.0,680.0,2100
2021-07-05,680.0,700.0,680.0,680.0,2500
2021-07-06,680.0,685.0,635.0,685.0,8300
2021-07-07,685.0,685.0,640.0,685.0,1000
2021-07-08,640.0,850.0,640.0,685.0,34100
2021-07-09,755.0,795.0,690.0,690.0,41000
2021-07-12,690.0,740.0,690.0,690.0,8400
2021-07-13,690.0,695.0,690.0,690.0,5100
2021-07-14,650.0,730.0,645.0,650.0,21600
2021-07-15,650.0,650.0,610.0,620.0,3700
2021-07-16,600.0,650.0,600.0,650.0,9200
2021-07-19,650.0,650.0,650.0,650.0,7600
2021-07-21,610.0,660.0,610.0,660.0,600
2021-07-22,650.0,660.0,650.0,660.0,25400
2021-07-23,620.0,655.0,620.0,655.0,8300
2021-07-26,655.0,670.0,655.0,670.0,200
2021-07-27,665.0,665.0,665.0,665.0,100
2021-07-28,700.0,700.0,665.0,665.0,2200
2021-07-29,625.0,640.0,625.0,635.0,4600
2021-07-30,670.0,680.0,640.0,640.0,4400
2021-08-02,640.0,640.0,640.0,640.0,0
2021-08-03,620.0,690.0,600.0,690.0,3200
2021-08-04,740.0,740.0,660.0,665.0,2000
2021-08-05,675.0,675.0,670.0,670.0,3300
2021-08-06,645.0,665.0,625.0,655.0,20700
2021-08-09,700.0,700.0,610.0,610.0,3500
2021-08-10,660.0,680.0,595.0,605.0,21200
2021-08-12,645.0,650.0,645.0,650.0,8100
2021-08-13,650.0,660.0,650.0,660.0,2800
2021-08-16,660.0,660.0,660.0,660.0,600
2021-08-18,615.0,650.0,615.0,650.0,300
2021-08-19,650.0,650.0,610.0,645.0,27200
2021-08-20,645.0,645.0,645.0,645.0,0
2021-08-23,650.0,650.0,650.0,650.0,5800
2021-08-24,650.0,650.0,650.0,650.0,0
2021-08-25,650.0,650.0,650.0,650.0,100
2021-08-26,620.0,650.0,620.0,650.0,3400
2021-08-27,650.0,650.0,650.0,650.0,200
2021-08-30,630.0,680.0,630.0,680.0,2600
2021-08-31,685.0,685.0,660.0,660.0,12900
2021-09-01,645.0,700.0,645.0,645.0,33600
2021-09-02,645.0,645.0,645.0,645.0,0
2021-09-03,650.0,650.0,650.0,650.0,100
2021-09-06,700.0,700.0,695.0,700.0,4500
2021-09-07,705.0,740.0,700.0,700.0,3400
2021-09-08,725.0,725.0,665.0,665.0,1300
2021-09-09,665.0,665.0,665.0,665.0,0
2021-09-10,660.0,660.0,630.0,630.0,700
2021-09-13,650.0,755.0,650.0,665.0,53500
2021-09-14,665.0,665.0,665.0,665.0,0
2021-09-15,665.0,665.0,665.0,665.0,0
2021-09-16,665.0,665.0,665.0,665.0,0
2021-09-17,750.0,830.0,640.0,640.0,256300
2021-09-20,700.0,725.0,650.0,660.0,13000
2021-09-21,660.0,720.0,650.0,650.0,9300
2021-09-22,655.0,690.0,655.0,685.0,2300
2021-09-23,685.0,690.0,645.0,685.0,13000
2021-09-24,680.0,680.0,655.0,680.0,1200
2021-09-27,680.0,680.0,680.0,680.0,100
2021-09-28,680.0,720.0,680.0,710.0,1200
2021-09-29,710.0,710.0,665.0,665.0,1000
2021-09-30,665.0,670.0,660.0,660.0,3000
2021-10-01,660.0,660.0,660.0,660.0,0
2021-10-04,665.0,665.0,660.0,660.0,2300
2021-10-05,660.0,695.0,660.0,695.0,600
2021-10-06,695.0,695.0,695.0,695.0,1500
2021-10-07,695.0,695.0,690.0,695.0,900
2021-10-08,695.0,695.0,665.0,665.0,200
2021-10-11,650.0,655.0,650.0,650.0,600
2021-10-12,650.0,650.0,650.0,650.0,2400
2021-10-13,655.0,695.0,655.0,655.0,700
2021-10-14,655.0,655.0,655.0,655.0,0
2021-10-15,710.0,790.0,660.0,735.0,3800
2021-10-18,725.0,725.0,685.0,685.0,7900
2021-10-19,685.0,685.0,655.0,655.0,2000
2021-10-21,655.0,730.0,655.0,665.0,24300
2021-10-22,665.0,710.0,665.0,710.0,2900
2021-10-25,700.0,700.0,700.0,700.0,700
2021-10-26,665.0,665.0,665.0,665.0,3400
2021-10-27,665.0,665.0,665.0,665.0,2800
2021-10-28,670.0,670.0,670.0,670.0,300
2021-10-29,670.0,670.0,670.0,670.0,0
2021-11-01,705.0,705.0,675.0,695.0,1000
2021-11-02,745.0,745.0,665.0,665.0,21400
2021-11-03,710.0,710.0,660.0,685.0,4700
2021-11-04,685.0,690.0,685.0,690.0,3900
2021-11-05,700.0,700.0,670.0,670.0,51200
2021-11-08,665.0,710.0,665.0,710.0,3100
2021-11-09,665.0,815.0,665.0,815.0,10900
2021-11-10,815.0,815.0,760.0,760.0,89200
2021-11-11,760.0,760.0,710.0,710.0,74000
2021-11-12,675.0,675.0,675.0,675.0,1600
2021-11-15,675.0,675.0,665.0,670.0,3300
2021-11-16,670.0,725.0,650.0,650.0,21600
2021-11-17,650.0,710.0,650.0,700.0,700
2021-11-18,700.0,745.0,675.0,740.0,6700
2021-11-19,740.0,740.0,690.0,690.0,15500
2021-11-22,690.0,690.0,690.0,690.0,2400
2021-11-23,700.0,750.0,670.0,670.0,15800
2021-11-24,725.0,735.0,680.0,700.0,16700
2021-11-25,710.0,735.0,685.0,735.0,43200
2021-11-26,785.0,785.0,685.0,730.0,2600
2021-11-29,730.0,730.0,685.0,725.0,900
2021-11-30,725.0,725.0,725.0,725.0,1400
2021-12-01,680.0,680.0,680.0,680.0,1600
2021-12-02,800.0,800.0,690.0,705.0,9300
2021-12-03,700.0,730.0,670.0,730.0,1300
2021-12-06,685.0,720.0,685.0,685.0,1600
2021-12-07,685.0,745.0,685.0,745.0,700
2021-12-08,695.0,730.0,695.0,730.0,400
2021-12-09,730.0,750.0,730.0,750.0,8800
2021-12-10,740.0,745.0,720.0,735.0,400
2021-12-13,720.0,720.0,720.0,720.0,4800
2021-12-14,725.0,725.0,720.0,720.0,800
2021-12-15,725.0,750.0,725.0,725.0,1100
2021-12-16,720.0,720.0,720.0,720.0,2400
2021-12-17,720.0,720.0,720.0,720.0,500
2021-12-20,720.0,720.0,720.0,720.0,0
2021-12-21,720.0,720.0,720.0,720.0,2100
2021-12-22,710.0,710.0,710.0,710.0,2100
2021-12-23,710.0,710.0,710.0,710.0,6900
2021-12-24,710.0,710.0,710.0,710.0,1000
2021-12-27,710.0,710.0,710.0,710.0,0
2021-12-28,710.0,710.0,710.0,710.0,0
2021-12-29,710.0,710.0,710.0,710.0,0
2021-12-30,710.0,710.0,710.0,710.0,0
2022-01-03,675.0,675.0,665.0,665.0,900
2022-01-04,665.0,690.0,625.0,650.0,20000
2022-01-05,690.0,690.0,690.0,690.0,600
2022-01-06,690.0,690.0,690.0,690.0,0
2022-01-07,650.0,670.0,650.0,670.0,2100
2022-01-10,650.0,650.0,650.0,650.0,400
2022-01-11,650.0,715.0,605.0,715.0,14100
2022-01-12,690.0,690.0,665.0,690.0,2900
2022-01-13,690.0,690.0,690.0,690.0,100
2022-01-14,690.0,715.0,685.0,715.0,2000
2022-01-17,710.0,720.0,710.0,720.0,4900
2022-01-18,715.0,715.0,715.0,715.0,100
2022-01-19,715.0,715.0,715.0,715.0,0
2022-01-20,715.0,715.0,715.0,715.0,0
2022-01-21,670.0,715.0,670.0,675.0,4800
2022-01-24,650.0,650.0,650.0,650.0,100
2022-01-25,650.0,650.0,650.0,650.0,5000
2022-01-26,650.0,650.0,650.0,650.0,2500
2022-01-27,650.0,650.0,650.0,650.0,200
2022-01-28,650.0,650.0,650.0,650.0,3600
2022-01-31,650.0,650.0,650.0,650.0,2000
2022-02-02,650.0,650.0,650.0,650.0,4400
2022-02-03,650.0,650.0,650.0,650.0,100
2022-02-04,670.0,670.0,655.0,670.0,1300
2022-02-07,675.0,675.0,650.0,650.0,200
2022-02-08,650.0,650.0,650.0,650.0,0
2022-02-09,650.0,650.0,650.0,650.0,0
2022-02-10,650.0,650.0,650.0,650.0,0
2022-02-11,650.0,650.0,650.0,650.0,1800
2022-02-14,675.0,680.0,675.0,675.0,3800
2022-02-15,675.0,675.0,675.0,675.0,0
2022-02-16,675.0,675.0,670.0,670.0,300
2022-02-17,670.0,670.0,670.0,670.0,0
2022-02-18,710.0,710.0,655.0,655.0,400
2022-02-21,655.0,710.0,655.0,655.0,2400
2022-02-22,655.0,655.0,655.0,655.0,200
2022-02-23,655.0,655.0,655.0,655.0,100
2022-02-24,650.0,685.0,650.0,650.0,2500
2022-02-25,650.0,690.0,650.0,670.0,1600
2022-03-01,670.0,670.0,670.0,670.0,0
2022-03-02,670.0,670.0,670.0,670.0,0
