Date,Open,High,Low,Close,Volume
2021-01-04,51.0,51.0,50.0,50.0,41900
2021-01-05,50.0,51.0,50.0,51.0,324500
2021-01-06,51.0,52.0,50.0,50.0,31200
2021-01-07,50.0,50.0,50.0,50.0,21600
2021-01-08,50.0,50.0,50.0,50.0,400
2021-01-11,50.0,50.0,50.0,50.0,300
2021-01-12,50.0,50.0,50.0,50.0,105700
2021-01-13,50.0,50.0,50.0,50.0,7500
2021-01-14,50.0,50.0,50.0,50.0,0
2021-01-15,50.0,50.0,50.0,50.0,200
2021-01-18,50.0,50.0,50.0,50.0,36900
2021-01-19,50.0,50.0,50.0,50.0,254200
2021-01-20,50.0,50.0,50.0,50.0,0
2021-01-21,50.0,50.0,50.0,50.0,1000
2021-01-22,50.0,50.0,50.0,50.0,23200
2021-01-25,50.0,50.0,50.0,50.0,0
2021-01-26,50.0,50.0,50.0,50.0,500
2021-01-27,50.0,50.0,50.0,50.0,0
2021-01-28,50.0,50.0,50.0,50.0,0
2021-01-29,50.0,50.0,50.0,50.0,100
2021-02-01,50.0,50.0,50.0,50.0,0
2021-02-02,50.0,55.0,50.0,50.0,9200
2021-02-03,56.0,56.0,50.0,50.0,205300
2021-02-04,50.0,50.0,50.0,50.0,1000
2021-02-05,50.0,50.0,50.0,50.0,11400
2021-02-08,50.0,50.0,50.0,50.0,10300
2021-02-09,50.0,50.0,50.0,50.0,400
2021-02-10,50.0,50.0,50.0,50.0,0
2021-02-11,50.0,50.0,50.0,50.0,40700
2021-02-15,50.0,55.0,50.0,51.0,97000
2021-02-16,51.0,52.0,50.0,50.0,43200
2021-02-17,50.0,50.0,50.0,50.0,7600
2021-02-18,50.0,50.0,50.0,50.0,10600
2021-02-19,50.0,50.0,50.0,50.0,10700
2021-02-22,50.0,50.0,50.0,50.0,300
2021-02-23,50.0,50.0,50.0,50.0,800
2021-02-24,50.0,50.0,50.0,50.0,15300
2021-02-25,50.0,50.0,50.0,50.0,1100
2021-02-26,50.0,50.0,50.0,50.0,51500
2021-03-01,50.0,50.0,50.0,50.0,5000
2021-03-02,51.0,52.0,50.0,50.0,9400
2021-03-03,50.0,50.0,50.0,50.0,158600
2021-03-04,50.0,50.0,50.0,50.0,6000
2021-03-05,50.0,51.0,50.0,50.0,82300
2021-03-08,50.0,50.0,50.0,50.0,152500
2021-03-09,50.0,50.0,50.0,50.0,100
2021-03-10,50.0,50.0,50.0,50.0,52200
2021-03-12,50.0,50.0,50.0,50.0,258700
2021-03-15,50.0,50.0,50.0,50.0,12000
2021-03-16,50.0,50.0,50.0,50.0,15000
2021-03-17,50.0,50.0,50.0,50.0,37500
2021-03-18,50.0,50.0,50.0,50.0,600
2021-03-19,50.0,50.0,50.0,50.0,13700
2021-03-22,50.0,54.0,50.0,53.0,682900
2021-03-23,52.0,53.0,50.0,50.0,1880600
2021-03-24,50.0,50.0,50.0,50.0,18400
2021-03-25,50.0,50.0,50.0,50.0,300
2021-03-26,50.0,50.0,50.0,50.0,112600
2021-03-29,50.0,50.0,50.0,50.0,57000
2021-03-30,50.0,50.0,50.0,50.0,2600
2021-03-31,50.0,50.0,50.0,50.0,8700
2021-04-01,50.0,50.0,50.0,50.0,4000
2021-04-05,50.0,50.0,50.0,50.0,15900
2021-04-06,50.0,50.0,50.0,50.0,2600
2021-04-07,50.0,50.0,50.0,50.0,0
2021-04-08,50.0,50.0,50.0,50.0,0
2021-04-09,50.0,50.0,50.0,50.0,0
2021-04-12,50.0,50.0,50.0,50.0,52600
2021-04-13,50.0,50.0,50.0,50.0,7600
2021-04-14,50.0,50.0,50.0,50.0,6000
2021-04-15,50.0,50.0,50.0,50.0,2700
2021-04-16,53.0,53.0,50.0,50.0,121300
2021-04-19,50.0,50.0,50.0,50.0,3700
2021-04-20,50.0,50.0,50.0,50.0,25100
2021-04-21,50.0,50.0,50.0,50.0,4100
2021-04-22,50.0,52.0,50.0,50.0,231800
2021-04-23,50.0,50.0,50.0,50.0,1300
2021-04-26,50.0,50.0,50.0,50.0,600
2021-04-27,50.0,50.0,50.0,50.0,5100
2021-04-28,50.0,50.0,50.0,50.0,90000
2021-04-29,50.0,53.0,50.0,52.0,2215000
2021-04-30,52.0,52.0,50.0,50.0,278500
2021-05-03,50.0,51.0,50.0,50.0,35800
2021-05-04,50.0,50.0,50.0,50.0,8900
2021-05-05,50.0,50.0,50.0,50.0,7300
2021-05-06,50.0,51.0,50.0,50.0,4017700
2021-05-07,50.0,62.0,50.0,55.0,8592700
2021-05-10,56.0,59.0,52.0,52.0,3111400
2021-05-11,50.0,65.0,50.0,54.0,12563600
2021-05-17,56.0,58.0,51.0,51.0,2284500
2021-05-18,51.0,52.0,50.0,50.0,1521100
2021-05-19,50.0,51.0,50.0,50.0,243400
2021-05-20,50.0,51.0,50.0,50.0,842300
2021-05-21,50.0,51.0,50.0,50.0,278100
2021-05-24,50.0,51.0,50.0,50.0,79600
2021-05-25,50.0,50.0,50.0,50.0,85500
2021-05-27,50.0,50.0,50.0,50.0,67700
2021-05-28,50.0,50.0,50.0,50.0,62500
2021-05-31,50.0,50.0,50.0,50.0,90000
2021-06-02,50.0,50.0,50.0,50.0,104700
2021-06-03,50.0,50.0,50.0,50.0,30900
2021-06-04,50.0,50.0,50.0,50.0,300
2021-06-07,50.0,50.0,50.0,50.0,8900
2021-06-08,50.0,50.0,50.0,50.0,11900
2021-06-09,50.0,50.0,50.0,50.0,13100
2021-06-10,50.0,52.0,50.0,50.0,563200
2021-06-11,50.0,50.0,50.0,50.0,2600
2021-06-14,50.0,50.0,50.0,50.0,358000
2021-06-15,50.0,51.0,50.0,50.0,27300
2021-06-16,50.0,50.0,50.0,50.0,30200
2021-06-17,50.0,50.0,50.0,50.0,10000
2021-06-18,50.0,51.0,50.0,51.0,6400
2021-06-21,51.0,51.0,50.0,50.0,26800
2021-06-22,51.0,52.0,50.0,50.0,196300
2021-06-23,50.0,50.0,50.0,50.0,30100
2021-06-24,50.0,50.0,50.0,50.0,11500
