Date,Open,High,Low,Close,Volume
2021-01-04,615.0,630.0,610.0,630.0,3034400
2021-01-05,630.0,655.0,625.0,655.0,3273300
2021-01-06,655.0,660.0,645.0,650.0,3188000
2021-01-07,650.0,655.0,640.0,655.0,3013700
2021-01-08,655.0,680.0,655.0,680.0,3485500
2021-01-11,680.0,720.0,635.0,635.0,7862900
2021-01-12,630.0,630.0,595.0,595.0,641700
2021-01-13,570.0,575.0,555.0,560.0,777000
2021-01-14,545.0,585.0,535.0,585.0,3568000
2021-01-15,590.0,595.0,575.0,580.0,2399600
2021-01-18,580.0,590.0,540.0,540.0,4684300
2021-01-19,540.0,565.0,505.0,505.0,1206100
2021-01-20,500.0,515.0,480.0,505.0,4460500
2021-01-21,505.0,525.0,498.0,510.0,6237100
2021-01-22,505.0,510.0,484.0,486.0,3897800
2021-01-25,486.0,490.0,470.0,470.0,4399700
2021-01-26,468.0,474.0,460.0,460.0,3267100
2021-01-27,462.0,498.0,452.0,492.0,11151000
2021-01-28,492.0,492.0,468.0,468.0,1065200
2021-01-29,466.0,480.0,464.0,464.0,2543100
2021-02-01,464.0,478.0,460.0,476.0,1988900
2021-02-02,476.0,486.0,474.0,476.0,2849200
2021-02-03,476.0,486.0,474.0,478.0,2840200
2021-02-04,478.0,482.0,466.0,468.0,3085400
2021-02-05,468.0,472.0,458.0,460.0,1910400
2021-02-08,458.0,472.0,456.0,462.0,3026300
2021-02-09,462.0,482.0,456.0,456.0,7050800
2021-02-10,456.0,468.0,448.0,448.0,3766400
2021-02-11,448.0,456.0,446.0,452.0,1771300
2021-02-15,450.0,456.0,436.0,438.0,3424100
2021-02-16,438.0,442.0,436.0,438.0,1101200
2021-02-17,438.0,438.0,426.0,430.0,1881100
2021-02-18,428.0,430.0,420.0,420.0,1269200
2021-02-19,416.0,418.0,412.0,412.0,761900
2021-02-22,412.0,412.0,408.0,408.0,736700
2021-02-23,408.0,434.0,406.0,418.0,14237400
2021-02-24,418.0,436.0,416.0,418.0,6477500
2021-02-25,420.0,426.0,416.0,418.0,2334600
2021-02-26,416.0,416.0,404.0,406.0,1892300
2021-03-01,404.0,404.0,392.0,394.0,1266700
