Date,Open,High,Low,Close,Volume
2021-06-10,135.0,135.0,135.0,135.0,6500
2021-06-11,182.0,182.0,182.0,182.0,16700
2021-06-14,244.0,244.0,206.0,244.0,22008400
2021-06-15,298.0,304.0,282.0,304.0,3438600
2021-06-16,380.0,380.0,380.0,380.0,1514700
2021-06-17,400.0,474.0,400.0,474.0,3064800
2021-06-18,505.0,590.0,505.0,590.0,3569600
2021-06-21,590.0,590.0,590.0,590.0,0
2021-06-22,590.0,735.0,590.0,735.0,3076500
2021-06-23,850.0,915.0,685.0,685.0,6317900
2021-06-24,640.0,640.0,640.0,640.0,182300
2021-06-25,600.0,600.0,600.0,600.0,96700
2021-06-28,560.0,560.0,560.0,560.0,98300
2021-06-29,525.0,525.0,525.0,525.0,39000
2021-06-30,490.0,490.0,490.0,490.0,49400
2021-07-01,456.0,456.0,456.0,456.0,108700
2021-07-02,426.0,426.0,426.0,426.0,157800
2021-07-05,426.0,426.0,398.0,398.0,259300
2021-07-06,372.0,372.0,372.0,372.0,127000
2021-07-07,346.0,464.0,346.0,464.0,25943100
2021-07-08,494.0,580.0,494.0,580.0,11788100
2021-07-09,650.0,725.0,540.0,540.0,16327100
2021-07-12,540.0,550.0,505.0,505.0,332900
2021-07-13,470.0,610.0,470.0,482.0,9806800
2021-07-14,484.0,525.0,450.0,478.0,1760600
2021-07-15,478.0,550.0,470.0,482.0,4168600
2021-07-16,482.0,520.0,468.0,474.0,1920700
2021-07-19,474.0,590.0,474.0,590.0,15880900
2021-07-21,615.0,635.0,550.0,550.0,10050500
2021-07-22,550.0,685.0,515.0,685.0,33017200
2021-07-23,710.0,815.0,640.0,710.0,42655000
2021-07-26,710.0,735.0,665.0,665.0,10031900
2021-07-27,665.0,725.0,620.0,620.0,14967900
2021-07-28,640.0,670.0,595.0,660.0,4825500
2021-07-29,670.0,825.0,670.0,825.0,18802700
2021-07-30,890.0,1030.0,810.0,920.0,54012300
2021-08-02,920.0,920.0,920.0,920.0,0
2021-08-03,920.0,920.0,920.0,920.0,0
2021-08-04,920.0,920.0,920.0,920.0,0
2021-08-05,920.0,920.0,920.0,920.0,0
2021-08-06,920.0,1005.0,860.0,860.0,20603400
2021-08-09,840.0,840.0,800.0,800.0,673500
2021-08-10,745.0,865.0,745.0,825.0,12260200
2021-08-12,830.0,865.0,770.0,785.0,9681300
2021-08-13,790.0,820.0,740.0,740.0,7351000
2021-08-16,740.0,800.0,705.0,775.0,1617700
2021-08-18,785.0,835.0,725.0,725.0,103441000
2021-08-19,675.0,700.0,675.0,675.0,911300
2021-08-20,630.0,630.0,630.0,630.0,251800
2021-08-23,630.0,670.0,590.0,650.0,3676400
2021-08-24,650.0,715.0,605.0,605.0,19378500
2021-08-25,625.0,665.0,565.0,565.0,43024200
2021-08-26,530.0,570.0,530.0,530.0,10514500
2021-08-27,515.0,580.0,494.0,494.0,71267000
2021-08-30,460.0,470.0,460.0,460.0,11215800
2021-08-31,454.0,462.0,428.0,428.0,30158300
2021-09-01,428.0,438.0,400.0,400.0,15954600
2021-09-02,396.0,412.0,372.0,372.0,21308800
2021-09-03,368.0,384.0,346.0,346.0,22489800
2021-09-06,348.0,348.0,322.0,322.0,25720700
2021-09-07,322.0,402.0,300.0,300.0,410128300
2021-09-08,300.0,300.0,280.0,280.0,21429600
2021-09-09,262.0,262.0,262.0,262.0,2468100
2021-09-10,244.0,276.0,244.0,244.0,32297500
2021-09-13,228.0,228.0,228.0,228.0,2430400
2021-09-14,214.0,234.0,214.0,214.0,82334400
2021-09-15,204.0,266.0,202.0,266.0,181984100
2021-09-16,292.0,332.0,290.0,332.0,233971800
2021-09-17,364.0,380.0,310.0,310.0,472971600
2021-09-20,290.0,290.0,290.0,290.0,4979100
2021-09-21,270.0,270.0,270.0,270.0,3459000
2021-09-22,256.0,292.0,252.0,262.0,226585900
2021-09-23,262.0,278.0,250.0,252.0,37681400
2021-09-24,250.0,260.0,236.0,236.0,28145200
2021-09-27,236.0,236.0,220.0,220.0,17390100
2021-09-28,218.0,254.0,206.0,224.0,119919000
2021-09-29,224.0,248.0,224.0,232.0,62740700
2021-09-30,232.0,236.0,216.0,218.0,20545700
2021-10-01,220.0,232.0,220.0,220.0,15873800
2021-10-04,222.0,226.0,216.0,216.0,10511300
2021-10-05,218.0,240.0,214.0,224.0,36329200
2021-10-06,224.0,228.0,216.0,218.0,13829200
2021-10-07,220.0,222.0,216.0,216.0,7038600
2021-10-08,218.0,218.0,214.0,214.0,4958700
2021-10-11,216.0,216.0,206.0,208.0,10221800
2021-10-12,210.0,220.0,202.0,208.0,34510500
2021-10-13,206.0,210.0,202.0,204.0,6032500
2021-10-14,204.0,244.0,204.0,236.0,162582900
2021-10-15,238.0,258.0,228.0,230.0,123270000
2021-10-18,232.0,258.0,214.0,214.0,275765900
2021-10-19,200.0,250.0,200.0,200.0,344591500
2021-10-21,202.0,204.0,186.0,188.0,162013500
2021-10-22,188.0,194.0,175.0,175.0,501157300
2021-10-25,175.0,183.0,163.0,163.0,256864000
2021-10-26,165.0,165.0,156.0,156.0,30080400
2021-10-27,157.0,169.0,157.0,165.0,90996500
2021-10-28,165.0,166.0,158.0,160.0,20586200
2021-10-29,161.0,162.0,155.0,159.0,18380500
2021-11-01,159.0,164.0,159.0,159.0,16186000
2021-11-02,160.0,161.0,153.0,156.0,10821200
2021-11-03,156.0,157.0,152.0,153.0,10355900
2021-11-04,153.0,165.0,152.0,160.0,64032800
2021-11-05,160.0,161.0,157.0,157.0,11094500
2021-11-08,157.0,159.0,155.0,158.0,7302300
2021-11-09,158.0,164.0,158.0,161.0,17875000
2021-11-10,161.0,162.0,157.0,160.0,8181700
2021-11-11,160.0,160.0,156.0,158.0,4919900
2021-11-12,159.0,159.0,156.0,156.0,7519700
2021-11-15,157.0,158.0,152.0,153.0,8887000
2021-11-16,153.0,154.0,151.0,152.0,6315300
2021-11-17,153.0,153.0,150.0,152.0,4914400
2021-11-18,154.0,170.0,152.0,158.0,199715300
2021-11-19,159.0,173.0,155.0,165.0,341005100
2021-11-22,167.0,173.0,154.0,154.0,754048100
2021-11-23,144.0,149.0,144.0,144.0,51820200
2021-11-24,134.0,137.0,134.0,135.0,106160800
2021-11-25,135.0,141.0,126.0,128.0,370724500
2021-11-26,129.0,130.0,120.0,121.0,30653800
2021-11-29,121.0,123.0,113.0,113.0,28694100
2021-11-30,113.0,115.0,106.0,106.0,24277400
2021-12-01,106.0,111.0,100.0,101.0,27496200
2021-12-02,100.0,101.0,98.0,98.0,14583700
2021-12-03,98.0,101.0,92.0,92.0,142808700
2021-12-06,93.0,101.0,87.0,96.0,120434600
2021-12-07,96.0,100.0,95.0,98.0,41970000
2021-12-08,98.0,113.0,96.0,106.0,166118900
2021-12-09,106.0,131.0,106.0,130.0,330121000
2021-12-10,140.0,142.0,121.0,124.0,378342600
2021-12-13,126.0,126.0,116.0,117.0,54373800
2021-12-14,117.0,124.0,117.0,121.0,55771200
2021-12-15,123.0,128.0,113.0,116.0,219718200
2021-12-16,117.0,120.0,110.0,113.0,22334300
2021-12-17,118.0,118.0,110.0,110.0,13848600
2021-12-20,110.0,115.0,106.0,107.0,14078800
2021-12-21,103.0,110.0,100.0,106.0,13325700
