Date,Open,High,Low,Close,Volume
2021-01-04,51.0,51.0,50.0,51.0,8500200
2021-01-05,51.0,51.0,50.0,50.0,17533500
2021-01-06,50.0,51.0,50.0,50.0,13111300
2021-01-07,50.0,50.0,50.0,50.0,1329800
2021-01-08,50.0,50.0,50.0,50.0,3167500
2021-01-11,50.0,50.0,50.0,50.0,296400
2021-01-12,50.0,50.0,50.0,50.0,234800
2021-01-13,50.0,53.0,50.0,52.0,49772700
2021-01-14,52.0,53.0,50.0,50.0,42478400
2021-01-15,51.0,52.0,50.0,50.0,27965800
2021-01-18,50.0,55.0,50.0,52.0,57912700
2021-01-19,52.0,54.0,50.0,50.0,29714400
2021-01-20,50.0,52.0,50.0,51.0,9022600
2021-01-21,51.0,51.0,50.0,51.0,6535200
2021-01-22,51.0,51.0,50.0,50.0,12562500
2021-01-25,50.0,51.0,50.0,50.0,12113300
2021-01-26,50.0,51.0,50.0,50.0,22424400
2021-01-27,50.0,51.0,50.0,50.0,12259300
2021-01-28,50.0,50.0,50.0,50.0,4713400
2021-01-29,50.0,50.0,50.0,50.0,310800
2021-02-01,50.0,50.0,50.0,50.0,4137200
2021-02-02,50.0,51.0,50.0,50.0,3034400
2021-02-03,50.0,51.0,50.0,50.0,2755800
2021-02-04,50.0,53.0,50.0,50.0,29999100
2021-02-05,50.0,51.0,50.0,50.0,3420900
2021-02-08,50.0,51.0,50.0,50.0,13174800
2021-02-09,50.0,51.0,50.0,50.0,2367300
2021-02-10,50.0,51.0,50.0,50.0,5974600
2021-02-11,50.0,51.0,50.0,50.0,1455100
2021-02-15,50.0,50.0,50.0,50.0,59500
2021-02-16,50.0,50.0,50.0,50.0,94600
2021-02-17,50.0,50.0,50.0,50.0,559800
2021-02-18,50.0,65.0,50.0,50.0,805015100
2021-02-19,51.0,52.0,50.0,50.0,35160600
2021-02-22,50.0,51.0,50.0,50.0,38995400
2021-02-23,50.0,51.0,50.0,50.0,17164600
2021-02-24,50.0,50.0,50.0,50.0,4687800
2021-02-25,50.0,51.0,50.0,50.0,11310500
2021-02-26,50.0,50.0,50.0,50.0,465800
2021-03-01,50.0,50.0,50.0,50.0,1827400
2021-03-02,50.0,50.0,50.0,50.0,4995200
2021-03-03,50.0,50.0,50.0,50.0,233400
2021-03-04,50.0,50.0,50.0,50.0,246000
2021-03-05,50.0,50.0,50.0,50.0,33000
2021-03-08,50.0,54.0,50.0,52.0,198970700
2021-03-09,53.0,53.0,50.0,50.0,52729900
2021-03-10,50.0,51.0,50.0,50.0,10101700
2021-03-12,50.0,61.0,50.0,51.0,463413100
2021-03-15,52.0,57.0,50.0,52.0,334673500
2021-03-16,52.0,70.0,51.0,70.0,1253112600
2021-03-17,83.0,88.0,66.0,78.0,1303158000
