Date,Open,High,Low,Close,Volume
2021-01-04,404.0,404.0,400.0,400.0,800
2021-01-05,400.0,400.0,372.0,372.0,5800
2021-01-06,352.0,352.0,352.0,352.0,1200
2021-01-07,336.0,436.0,336.0,428.0,4500
2021-01-08,428.0,428.0,400.0,400.0,3700
2021-01-11,394.0,394.0,374.0,380.0,5700
2021-01-12,372.0,372.0,360.0,360.0,9300
2021-01-13,358.0,360.0,358.0,360.0,500
2021-01-14,342.0,342.0,342.0,342.0,100
2021-01-15,342.0,342.0,342.0,342.0,100
2021-01-18,342.0,342.0,342.0,342.0,100
2021-01-19,338.0,426.0,338.0,410.0,9700
2021-01-20,410.0,410.0,410.0,410.0,1200
2021-01-21,406.0,505.0,406.0,505.0,17500
2021-01-22,500.0,500.0,472.0,488.0,1300
2021-01-25,488.0,488.0,454.0,454.0,1700
2021-01-26,454.0,454.0,424.0,424.0,500
2021-01-27,396.0,396.0,396.0,396.0,200
2021-01-28,370.0,380.0,370.0,380.0,6200
2021-01-29,354.0,360.0,354.0,354.0,3400
2021-02-01,330.0,390.0,330.0,380.0,7400
2021-02-02,474.0,474.0,380.0,380.0,1500
2021-02-03,380.0,380.0,354.0,354.0,4400
2021-02-04,354.0,442.0,354.0,390.0,11700
2021-02-05,390.0,390.0,364.0,388.0,2900
2021-02-08,388.0,484.0,362.0,484.0,56400
2021-02-09,500.0,595.0,500.0,570.0,46100
2021-02-10,580.0,600.0,535.0,535.0,17300
2021-02-11,498.0,650.0,498.0,580.0,17500
2021-02-15,540.0,580.0,540.0,570.0,3400
2021-02-16,570.0,570.0,535.0,535.0,3500
2021-02-17,530.0,590.0,530.0,590.0,4100
2021-02-18,590.0,690.0,550.0,650.0,4000
2021-02-19,630.0,650.0,605.0,605.0,5600
2021-02-22,605.0,605.0,600.0,600.0,1400
2021-02-23,560.0,750.0,560.0,730.0,6800
2021-02-24,730.0,730.0,680.0,680.0,1600
2021-02-25,635.0,635.0,635.0,635.0,8900
2021-02-26,635.0,635.0,635.0,635.0,100
2021-03-01,635.0,635.0,635.0,635.0,0
2021-03-02,595.0,595.0,595.0,595.0,4100
2021-03-03,595.0,595.0,555.0,555.0,6800
2021-03-04,555.0,555.0,520.0,520.0,1400
2021-03-05,515.0,640.0,484.0,620.0,57700
2021-03-08,620.0,620.0,580.0,580.0,3300
2021-03-09,540.0,540.0,540.0,540.0,1800
2021-03-10,505.0,505.0,505.0,505.0,5100
2021-03-12,470.0,470.0,470.0,470.0,8300
2021-03-15,440.0,550.0,438.0,550.0,19500
2021-03-16,515.0,520.0,515.0,515.0,9500
2021-03-17,515.0,515.0,480.0,480.0,3000
2021-03-18,480.0,480.0,480.0,480.0,300
2021-03-19,480.0,480.0,480.0,480.0,100
2021-03-22,480.0,480.0,480.0,480.0,100
2021-03-23,460.0,460.0,450.0,450.0,800
2021-03-24,452.0,452.0,450.0,450.0,2100
2021-03-25,430.0,430.0,430.0,430.0,300
2021-03-26,430.0,430.0,402.0,402.0,600
2021-03-29,382.0,500.0,374.0,500.0,13900
2021-03-30,550.0,620.0,466.0,466.0,133300
2021-03-31,466.0,466.0,434.0,436.0,19400
2021-04-01,436.0,440.0,410.0,410.0,4000
2021-04-05,390.0,510.0,382.0,390.0,18700
2021-04-06,390.0,486.0,390.0,486.0,75100
2021-04-07,486.0,570.0,466.0,466.0,42900
2021-04-08,466.0,550.0,436.0,520.0,8800
2021-04-09,490.0,580.0,484.0,484.0,15700
2021-04-12,480.0,484.0,472.0,480.0,1700
2021-04-13,476.0,476.0,476.0,476.0,700
2021-04-14,446.0,446.0,444.0,444.0,5600
2021-04-15,444.0,540.0,414.0,494.0,14800
2021-04-16,494.0,494.0,460.0,460.0,8500
2021-04-19,432.0,440.0,432.0,432.0,3800
2021-04-20,432.0,432.0,432.0,432.0,100
2021-04-21,434.0,434.0,402.0,414.0,600
2021-04-22,390.0,396.0,390.0,396.0,1000
2021-04-23,400.0,406.0,400.0,406.0,1600
2021-04-26,408.0,408.0,408.0,408.0,500
2021-04-27,408.0,408.0,408.0,408.0,300
2021-04-28,412.0,412.0,408.0,408.0,4000
2021-04-29,450.0,488.0,384.0,464.0,22600
2021-04-30,464.0,464.0,432.0,436.0,10200
2021-05-03,436.0,436.0,436.0,436.0,700
2021-05-04,410.0,452.0,410.0,452.0,300
2021-05-05,450.0,460.0,450.0,460.0,1300
2021-05-06,458.0,458.0,430.0,430.0,1200
2021-05-07,410.0,410.0,410.0,410.0,100
2021-05-10,410.0,410.0,410.0,410.0,1400
2021-05-11,410.0,410.0,382.0,390.0,1900
2021-05-17,390.0,400.0,390.0,400.0,800
2021-05-18,400.0,400.0,400.0,400.0,300
2021-05-19,400.0,400.0,400.0,400.0,800
2021-05-20,400.0,400.0,374.0,378.0,800
2021-05-21,370.0,472.0,370.0,382.0,59300
2021-05-24,380.0,450.0,360.0,384.0,19000
2021-05-25,384.0,400.0,358.0,400.0,2700
2021-05-27,476.0,476.0,390.0,470.0,42000
2021-05-28,472.0,474.0,452.0,452.0,5900
2021-05-31,436.0,436.0,436.0,436.0,1100
2021-06-02,436.0,436.0,436.0,436.0,2700
2021-06-03,420.0,422.0,420.0,422.0,700
2021-06-04,422.0,472.0,422.0,466.0,15500
2021-06-07,446.0,452.0,438.0,440.0,2700
2021-06-08,424.0,462.0,424.0,462.0,4100
2021-06-09,482.0,482.0,456.0,456.0,11100
2021-06-10,436.0,440.0,436.0,440.0,200
2021-06-11,420.0,440.0,420.0,440.0,300
2021-06-14,440.0,440.0,424.0,424.0,600
2021-06-15,410.0,410.0,410.0,410.0,500
2021-06-16,412.0,412.0,412.0,412.0,1600
2021-06-17,412.0,412.0,398.0,398.0,200
2021-06-18,384.0,402.0,384.0,402.0,800
2021-06-21,382.0,382.0,382.0,382.0,100
2021-06-22,368.0,384.0,368.0,384.0,200
2021-06-23,384.0,384.0,384.0,384.0,100
2021-06-24,384.0,384.0,384.0,384.0,0
2021-06-25,384.0,384.0,384.0,384.0,100
2021-06-28,384.0,384.0,384.0,384.0,0
2021-06-29,384.0,386.0,384.0,386.0,1800
2021-06-30,386.0,386.0,386.0,386.0,0
2021-07-01,366.0,452.0,366.0,424.0,1400
2021-07-02,410.0,424.0,410.0,424.0,200
2021-07-05,428.0,428.0,418.0,418.0,1100
2021-07-06,404.0,492.0,404.0,472.0,700
2021-07-07,472.0,472.0,440.0,440.0,700
2021-07-08,412.0,472.0,412.0,468.0,2300
2021-07-09,468.0,468.0,468.0,468.0,300
2021-07-12,450.0,450.0,440.0,440.0,400
2021-07-13,420.0,464.0,420.0,464.0,1100
2021-07-14,474.0,474.0,434.0,468.0,900
2021-07-15,466.0,466.0,466.0,466.0,1200
2021-07-16,472.0,472.0,470.0,470.0,200
